dataset,encoder,m2_r10,m4_r10,m4_ndcg10,m6_r10,m6_ndcg10,im1_r1,im1_r10,best_weight,best_hit1,best_ndcg10
VRU,CLIP ViT-B/32,0.0615776229444195,0.2467097951683595,0.2451973818258013,0.4928367753969497,0.6232410419287345,0.755,0.98,RW_t4_v1,0.8442622950819673,0.8847406657616024
VRU,SigLIP base p16-224,0.0142822896416248,0.244242774332578,0.2228686820029752,0.4708109750885517,0.5826441203286218,0.802,0.991,RW_t4_v1,0.860655737704918,0.884938779597613
AI Hub CCTV,CLIP ViT-B/32,0.0999698107337969,0.7524390959461603,0.7436968350938995,0.8015597301985936,0.8950926575366422,0.8810408921933085,1.0,RW_t4_v1,0.9699248120300752,0.9767789118525744
AI Hub CCTV,SigLIP base p16-224,0.0278146378654794,0.7304484482584855,0.6845939726527664,0.7920941216223634,0.8661075610717234,0.9144981412639404,1.0,RW_t4_v1,0.9774436090225564,0.9751076688138468
