predicate,pair,selectivity,method,recall_at_10_newseed
CTRL(s=0.0264)|hour==01,hour==01,0.02637,postfilter_hnsw_K4x,0.7239
CTRL(s=0.0264)|hour==01,hour==01,0.02637,single_stage_ivf_batch_np8,0.9203
CTRL(s=0.0264)|hour==01,hour==01,0.02637,single_stage_ivf_batch_np32,0.9956
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K1x,0.8836
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K2x,0.9494
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K4x,0.9494
CTRL(s=0.0657)|hour==02,hour==02,0.06573,single_stage_ivf_batch_np8,0.9751
CTRL(s=0.0657)|hour==02,hour==02,0.06573,single_stage_ivf_batch_np32,0.9986
CTRL(s=0.0531)|hour==05,hour==05,0.05311,postfilter_hnsw_K1x,0.8612
CTRL(s=0.0531)|hour==05,hour==05,0.05311,postfilter_hnsw_K2x,0.9144
CTRL(s=0.0531)|hour==05,hour==05,0.05311,postfilter_hnsw_K4x,0.9144
CTRL(s=0.0531)|hour==05,hour==05,0.05311,single_stage_ivf_batch_np8,0.9636
CTRL(s=0.0531)|hour==05,hour==05,0.05311,single_stage_ivf_batch_np32,0.9972
CTRL(s=0.1829)|hour==06,hour==06,0.18291,postfilter_hnsw_K1x,0.8946
CTRL(s=0.1829)|hour==06,hour==06,0.18291,postfilter_hnsw_K2x,0.9971
CTRL(s=0.1829)|hour==06,hour==06,0.18291,postfilter_hnsw_K4x,0.9972
CTRL(s=0.1829)|hour==06,hour==06,0.18291,single_stage_ivf_batch_np8,0.9902
CTRL(s=0.1829)|hour==06,hour==06,0.18291,single_stage_ivf_batch_np32,0.9998
CTRL(s=0.0474)|hour==07,hour==07,0.0474,postfilter_hnsw_K1x,0.8512
CTRL(s=0.0474)|hour==07,hour==07,0.0474,postfilter_hnsw_K2x,0.8873
CTRL(s=0.0474)|hour==07,hour==07,0.0474,postfilter_hnsw_K4x,0.8873
CTRL(s=0.0474)|hour==07,hour==07,0.0474,single_stage_ivf_batch_np8,0.9653
CTRL(s=0.0474)|hour==07,hour==07,0.0474,single_stage_ivf_batch_np32,0.9979
CTRL(s=0.0298)|hour==08,hour==08,0.02978,postfilter_hnsw_K1x,0.7672
CTRL(s=0.0298)|hour==08,hour==08,0.02978,postfilter_hnsw_K2x,0.7738
CTRL(s=0.0298)|hour==08,hour==08,0.02978,postfilter_hnsw_K4x,0.7738
CTRL(s=0.0298)|hour==08,hour==08,0.02978,single_stage_ivf_batch_np8,0.9329
CTRL(s=0.0298)|hour==08,hour==08,0.02978,single_stage_ivf_batch_np32,0.9948
