dose,replicate,scoring,recall_at_10,mrr,ndcg_at_10
0.0,0,strict,0.0019056244966989926,0.04996364780242844,0.016455267986256964
0.0,0,semantic,0.0014236302339782582,0.12476143451788027,0.050068014870119415
0.25,0,strict,0.05182259686773174,0.3695739189888342,0.2332904871773125
0.25,0,semantic,0.05454277446183211,0.8492156862745098,0.8004047158594947
0.25,1,strict,0.059960531258834576,0.40581887526893634,0.2428744173362396
0.25,1,semantic,0.054845452749688314,0.842549019607843,0.8017832060475242
0.25,2,strict,0.05753739681015559,0.36827520313018974,0.24449473832770632
0.25,2,semantic,0.05618857108658677,0.812156862745098,0.8002856970824234
0.25,3,strict,0.05656279625701054,0.3675857125492173,0.22928177600274693
0.25,3,semantic,0.05579813410154476,0.8337254901960783,0.7711431337627811
0.25,4,strict,0.05707859130165445,0.3683386173050932,0.23563320539203703
0.25,4,semantic,0.05377364723692348,0.854313725490196,0.7963043281288906
0.25,5,strict,0.06283742914722858,0.4325905484260518,0.26766001004582823
0.25,5,semantic,0.05693475119652999,0.9150980392156862,0.8533572074337922
0.25,6,strict,0.057355231135566724,0.42204311615648066,0.2537674346599923
0.25,6,semantic,0.05649534035200102,0.8531372549019608,0.8236409633630288
0.25,7,strict,0.05602017449756982,0.38776769442095227,0.2427096641863357
0.25,7,semantic,0.05724886494537302,0.850392156862745,0.8395237500562115
0.25,8,strict,0.06514503334866661,0.42328847454503365,0.24677452974876907
0.25,8,semantic,0.05587793616647902,0.8784313725490197,0.8283474382047297
0.25,9,strict,0.050548809188457534,0.40753858422871475,0.2380138246363823
0.25,9,semantic,0.05549483194286705,0.9194117647058824,0.8049983810710586
0.25,10,strict,0.06033421815395645,0.4111287637899332,0.24434131091135716
0.25,10,semantic,0.05528028029271245,0.8572549019607842,0.8074235160658092
0.25,11,strict,0.05027869479132187,0.38730712027507164,0.2311245173452336
0.25,11,semantic,0.05465832601801535,0.8723529411764707,0.7834131558371825
0.25,12,strict,0.057355025796704394,0.389426897053609,0.24319859096820592
0.25,12,semantic,0.054925441064158025,0.8194117647058824,0.815584935146701
0.25,13,strict,0.056514735370334176,0.3906245143141284,0.23628350041414747
0.25,13,semantic,0.05482579756270062,0.8533333333333333,0.8028308702690939
0.25,14,strict,0.05510453122960603,0.36877181706180256,0.24002432087687875
0.25,14,semantic,0.057180945731043896,0.8229411764705883,0.8238713956591315
0.25,15,strict,0.05888778412256849,0.390491387401331,0.24971170626754458
0.25,15,semantic,0.05716449911559845,0.8764705882352941,0.827195323233441
0.25,16,strict,0.05510398728380872,0.39533391382797783,0.251754059596516
0.25,16,semantic,0.05672037863246716,0.8664705882352942,0.8419353586931064
0.25,17,strict,0.0571707474769457,0.4392291052224234,0.2551862192845611
0.25,17,semantic,0.058090745406644086,0.9117647058823529,0.8609387698291306
0.25,18,strict,0.05742441900751781,0.39977898856702976,0.2563381494216001
0.25,18,semantic,0.05893235561072213,0.8572549019607842,0.8490293645741971
0.25,19,strict,0.059061281754531805,0.3972484258013266,0.24949819903780943
0.25,19,semantic,0.057309171372746805,0.8149019607843138,0.8170474219689645
0.25,20,strict,0.054419003057640525,0.3843681252142872,0.2390741258453303
0.25,20,semantic,0.057216421057766934,0.8245098039215686,0.8273436355108107
0.25,21,strict,0.05688155670933503,0.388173733835453,0.24223026909813858
0.25,21,semantic,0.057415786207339954,0.8970588235294118,0.8329888575821124
0.25,22,strict,0.06079958789822312,0.4076955388406636,0.2445667873432824
0.25,22,semantic,0.0544814684084552,0.9156862745098039,0.814275399725192
0.25,23,strict,0.0531846664599661,0.3806818935098248,0.23679777837791735
0.25,23,semantic,0.05566669793463313,0.8733333333333333,0.8220987639745047
0.25,24,strict,0.05676001548679797,0.3651805795629039,0.2381673541167584
