condition,scoring,recall_at_1,recall_at_5,recall_at_10,recall_at_20,mrr,ndcg_at_10
clean_b2,strict,0.003865621380767354,0.009852463535862565,0.01185526240348688,0.017312467213338335,0.154823503668307,0.05883920074255566
oracle_qrel_filter,strict,0.042177010655572916,0.2108850532778646,0.376205213932013,0.5500947696660149,1.0,1.0
clean_b2,semantic,0.0005530174792398053,0.0055275672058702355,0.008421850378714986,0.014636086223338628,0.3066392338345585,0.17003348904727908
oracle_qrel_filter,semantic,0.0065575371842499395,0.0327876859212497,0.0655753718424994,0.1311507436849988,1.0,1.0
random_same_selectivity_mean,strict,0.0005215292352091146,0.0023478318301514713,0.004235148313647092,0.007168295720693315,0.09587419714243804,0.032543181754604654
random_same_selectivity_mean,semantic,0.0006744916295207226,0.0026558520640407026,0.004562603047602451,0.007971719515437506,0.2763759149098669,0.10675183841390899
