scoring,treatment,control,queries,pair_clusters,mean_delta_ndcg10,query_bootstrap_ci_lo,query_bootstrap_ci_hi,pair_cluster_bootstrap_ci_lo,pair_cluster_bootstrap_ci_hi,wilcoxon_p_two_sided,negative,zero,positive
strict,oracle_qrel_filter,clean_b2,85,25,0.9411607992574443,0.9162510041271924,0.9625994090956553,0.9115845880329545,0.9650638191379897,7.44333831020276e-17,0,0,85
strict,oracle_qrel_filter,random_same_selectivity_mean,85,25,0.9674568182453951,0.9584473797538796,0.9755176896404931,0.9515124739712011,0.9780830634384571,1.169004136580968e-15,0,0,85
semantic,oracle_qrel_filter,clean_b2,85,25,0.829966510952721,0.7923333160440071,0.866564579961237,0.7476949326816609,0.9124516764447761,8.184372987659125e-16,0,0,85
semantic,oracle_qrel_filter,random_same_selectivity_mean,85,25,0.8932481615860911,0.8738677173069545,0.9111044429066744,0.8493266279987478,0.931349532274489,1.169004136580968e-15,0,0,85
