fact_id,L1_surface,L2_alias,L3_inverse,L4_alt_path,L5_prompt,S1_fact_parity,S2_world_parity,S3_token_ratio,S3_within_tol
bd0398dddb5236a8,False,False,False,False,False,True,True,1.091,True
fc0ddb78563f6b62,False,False,False,False,False,True,True,1.079,True
86343998b942d97b,False,False,False,False,False,True,True,1.086,True
eea74e3e40c3af38,False,False,False,False,False,True,True,1.086,True
e7fed86f3045491b,False,False,False,False,False,True,True,1.073,True
f3115f6ef873a6dd,False,False,False,False,False,True,True,1.107,False
063b2e3bfed90cde,False,False,False,False,False,True,True,1.073,True
d5a620bcb3a0488d,False,False,False,False,False,True,True,1.086,True
00f97390b70711fa,False,False,False,False,False,True,True,1.077,True
7a8d2a319df71305,False,False,False,False,False,True,True,1.111,False
9f56a4dafd1e0d50,False,False,False,False,False,True,True,1.088,True
259353b7683d7dc2,False,False,False,False,False,True,True,1.091,True
a90cdb5fa9ee648f,False,False,False,False,False,True,True,1.088,True
3aad4e41a1510677,False,False,False,False,False,True,True,1.097,True
59bc9235d231e30c,False,False,False,False,False,True,True,1.103,True
74f29afb4f3af176,False,False,False,False,False,True,True,1.088,True
b3528d8b475c0336,False,False,False,False,False,True,True,1.1,True
f5cc37c96f2b48f5,False,False,False,False,False,True,True,1.079,True
4f73c77692753143,False,False,False,False,False,True,True,1.1,True
50de3c0fb4b71f72,False,False,False,False,False,True,True,1.086,True
63ed61d87b9625dd,False,False,False,False,False,True,True,1.077,True
2e552014e0bdbe74,False,False,False,False,False,True,True,1.097,True
cea5440c2b711c2e,False,False,False,False,False,True,True,1.073,True
92b6ec55a8731b70,False,False,False,False,False,True,True,1.088,True
eec5b0bc83a04b86,False,False,False,False,False,True,True,1.079,True
ab68975adf92c68e,False,False,False,False,False,True,True,1.103,True
78422193f446e473,False,False,False,False,False,True,True,1.073,True
bf783a93ff7a6081,False,False,False,False,False,True,True,1.075,True
b85c9048796d398d,False,False,False,False,False,True,True,1.1,True
d7f123f110c73918,False,False,False,False,False,True,True,1.083,True
e7569f6b18e2c4b4,False,False,False,False,False,True,True,1.1,True
c92683e460de82c1,False,False,False,False,False,True,True,1.088,True
049c12eda3bf512b,False,False,False,False,False,True,True,1.088,True
e97ed7279610b138,False,False,False,False,False,True,True,1.083,True
9c60f4cfc4988302,False,False,False,False,False,True,True,1.086,True
70c29927a3cbda7e,False,False,False,False,False,True,True,1.073,True
2cfddff8c0a8eefe,False,False,False,False,False,True,True,1.097,True
f529ffd429600b3c,False,False,False,False,False,True,True,1.083,True
b69f79f255e83163,False,False,False,False,False,True,True,1.088,True
6fd67b743899ddc0,False,False,False,False,False,True,True,1.073,True
6facd5b341e6b30d,False,False,False,False,False,True,True,1.075,True
420fed5b7097d36a,False,False,False,False,False,True,True,1.107,False
80d2ee5fcc3565d0,False,False,False,False,False,True,True,1.081,True
fdaddb5012cab970,False,False,False,False,False,True,True,1.073,True
34e67c59db9f0adb,False,False,False,False,False,True,True,1.097,True
8f4ce05398194b40,False,False,False,False,False,True,True,1.088,True
a0b7ec1d396c83f9,False,False,False,False,False,True,True,1.097,True
80803194b43f48ed,False,False,False,False,False,True,True,1.094,True
722e78d16a485c64,False,False,False,False,False,True,True,1.094,True
8f9e748fa3c2e87a,False,False,False,False,False,True,True,1.088,True
5601ac45d58bfe0d,False,False,False,False,False,True,True,1.079,True
03639e90b89defbb,False,False,False,False,False,True,True,1.088,True
fcfff2a30175907c,False,False,False,False,False,True,True,1.086,True
50435b148ddc2172,False,False,False,False,False,True,True,1.081,True
60bedf21db36f251,False,False,False,False,False,True,True,1.083,True
b783f60eee7016ba,False,False,False,False,False,True,True,1.086,True
f6ecd1a7e9dd9429,False,False,False,False,False,True,True,1.081,True
1c20d04467278ed2,False,False,False,False,False,True,True,1.083,True
70a215279a4ef0ef,False,False,False,False,False,True,True,1.091,True
f07cb294051082ce,False,False,False,False,False,True,True,1.073,True
9364d0436f33662e,False,False,False,False,False,True,True,1.088,True
1a12a4389603e2e6,False,False,False,False,False,True,True,1.083,True
a473f872a94e9e46,False,False,False,False,False,True,True,1.079,True
54a8694971fec6c8,False,False,False,False,False,True,True,1.091,True
b2c72436529979f1,False,False,False,False,False,True,True,1.088,True
0fb4f5a751a6a5a0,False,False,False,False,False,True,True,1.075,True
21578c4c513a3996,False,False,False,False,False,True,True,1.088,True
ad546de920bd9cf6,False,False,False,False,False,True,True,1.086,True
d32b17addedad067,False,False,False,False,False,True,True,1.097,True
8531b10ab2fa5292,False,False,False,False,False,True,True,1.103,True
31b32bf488bacb17,False,False,False,False,False,True,True,1.103,True
975aa0b1479a2b8b,False,False,False,False,False,True,True,1.081,True
282f49b45d27acd2,False,False,False,False,False,True,True,1.077,True
04fd52481b139560,False,False,False,False,False,True,True,1.086,True
d2881c6f2a494247,False,False,False,False,False,True,True,1.073,True
21ea69b6c0a0e129,False,False,False,False,False,True,True,1.086,True
804f47765833b625,False,False,False,False,False,True,True,1.075,True
c0df43d44f6a3851,False,False,False,False,False,True,True,1.086,True
978ccfc91677a312,False,False,False,False,False,True,True,1.094,True
867ca4f4d7021d6a,False,False,False,False,False,True,True,1.086,True
e2b9ce9d0fd665bf,False,False,False,False,False,True,True,1.107,False
c9ac61fa82031d7f,False,False,False,False,False,True,True,1.086,True
95562798021c68a9,False,False,False,False,False,True,True,1.081,True
734f34545a5ac723,False,False,False,False,False,True,True,1.088,True
cc6934c1652c9e21,False,False,False,False,False,True,True,1.077,True
06f07c32263b5719,False,False,False,False,False,True,True,1.111,False
0615d004ad3d0c19,False,False,False,False,False,True,True,1.079,True
5763e274dfa065f8,False,False,False,False,False,True,True,1.115,False
1a2494f376f3955c,False,False,False,False,False,True,True,1.083,True
8184816f931fd5dd,False,False,False,False,False,True,True,1.094,True
1527dd0206481113,False,False,False,False,False,True,True,1.079,True
a83d0617cd620be7,False,False,False,False,False,True,True,1.1,True
b54bc44b876c3ce0,False,False,False,False,False,True,True,1.097,True
170dc6a5cf81d60e,False,False,False,False,False,True,True,1.073,True
36bd5b19a46844d9,False,False,False,False,False,True,True,1.097,True
56fb705d8c34bc4e,False,False,False,False,False,True,True,1.103,True
2253174607f0ade0,False,False,False,False,False,True,True,1.088,True
766ef1509a965bc7,False,False,False,False,False,True,True,1.083,True
94e2af97156d1fe8,False,False,False,False,False,True,True,1.091,True
b9ab4968ca65fda4,False,False,False,False,False,True,True,1.094,True
617eb6f67c0673eb,False,False,False,False,False,True,True,1.091,True
