method,anchor,mean_within_selectivity_slope
ivf,0,0.39955996274948113
ivf,1,0.4268499851226807
ivf,2,0.43090999126434326
ivf,3,0.40683998465538035
ivf,4,0.4152800142765046
ivf,5,0.40119001269340515
ivf,6,0.4894800066947937
ivf,7,0.3960199892520904
ivf,8,0.4821600139141083
ivf,9,0.39216995835304264
