method,predicate,natural_loss,shuffle_mean_loss,natural_minus_shuffle,shuffle_sd,z_score,p_two_sided,holm_p
ivf,location==BC2000801,0.871999979019165,0.019500011801719664,0.8524999672174454,0.0014307598418112641,595.8372204088611,0.019801980198019802,0.4752475247524752
ivf,location==중동사거리,0.9649999737739563,0.03785701334476471,0.9271429604291916,0.0020728278338188718,447.2841136646988,0.019801980198019802,0.4752475247524752
ivf,location==원골네거리,0.8707000017166138,0.03874201476573944,0.8319579869508743,0.002031028438131867,409.6239970505319,0.019801980198019802,0.4752475247524752
ivf,location==연구단지네거리,0.9016000032424927,0.04269801557064056,0.8589019876718521,0.0023821354785761037,360.5596723597147,0.019801980198019802,0.4752475247524752
ivf,location==삼정고가교,0.9559999704360962,0.04530501425266266,0.9106949561834335,0.002510839874880672,362.70531040005665,0.019801980198019802,0.4752475247524752
ivf,location==계룡대교네거리,0.8844000101089478,0.04895901262760163,0.8354409974813461,0.0023179661411361708,360.4198450767049,0.019801980198019802,0.4752475247524752
ivf,date==20200907,0.7411999702453613,0.02199100613594055,0.7192089641094208,0.0015617348498599797,460.51925150668364,0.019801980198019802,0.4752475247524752
ivf,date==20200908,0.7052000164985657,0.026598015427589418,0.6786020010709762,0.002001815838752261,338.9932220208385,0.019801980198019802,0.4752475247524752
ivf,date==20200909,0.7017999887466431,0.028475009799003602,0.6733249789476394,0.0020136103605243702,334.386926163956,0.019801980198019802,0.4752475247524752
ivf,date==20200915,0.7280999422073364,0.036791011691093445,0.691308930516243,0.001986476090841844,348.00767736563836,0.019801980198019802,0.4752475247524752
ivf,hour==01,0.8330000042915344,0.08024701297283172,0.7527529913187027,0.0033118240994479994,227.29256407191681,0.019801980198019802,0.4752475247524752
ivf,hour==02,0.7757999897003174,0.026082007884979247,0.7497179818153381,0.0016543448955514037,453.1811859977676,0.019801980198019802,0.4752475247524752
ivf,hour==05,0.6622999906539917,0.033340014815330506,0.6289599758386611,0.002083652613543775,301.85452783751543,0.019801980198019802,0.4752475247524752
ivf,hour==06,0.3264999985694885,0.00939001202583313,0.3171099865436554,0.0007984179397388839,397.1729225515194,0.019801980198019802,0.4752475247524752
ivf,hour==07,0.6344000101089478,0.03844301462173462,0.5959569954872131,0.002065503894387391,288.52862350277405,0.019801980198019802,0.4752475247524752
ivf,hour==08,0.6577000021934509,0.06932102143764496,0.588378980755806,0.0035860028166546172,164.07655287474225,0.019801980198019802,0.4752475247524752
ivf,hour==11,0.7511000037193298,0.03240401208400726,0.7186959916353226,0.0021855305060020118,328.8428094055902,0.019801980198019802,0.4752475247524752
ivf,hour==12,0.40890002250671387,0.010665006637573242,0.3982350158691406,0.0008906182115412306,447.1444786425239,0.019801980198019802,0.4752475247524752
ivf,hour==13,0.6430000066757202,0.0366560161113739,0.6063439905643463,0.0023063111291891894,262.90641487625896,0.019801980198019802,0.4752475247524752
ivf,hour==14,0.6369999647140503,0.04136402070522308,0.5956359440088272,0.002370163783737332,251.30581611943032,0.019801980198019802,0.4752475247524752
ivf,hour==16,0.761900007724762,0.05749001681804657,0.7044099909067154,0.002857933673729785,246.47527595957663,0.019801980198019802,0.4752475247524752
ivf,hour==17,0.33369994163513184,0.013114008903503418,0.32058593273162844,0.001173529357767837,273.18100787986504,0.019801980198019802,0.4752475247524752
ivf,hour==18,0.5952000021934509,0.04049401342868805,0.5547059887647628,0.002215182023144054,250.41101948699327,0.019801980198019802,0.4752475247524752
ivf,hour==19,0.7541999816894531,0.020685008764266967,0.7335149729251862,0.0015012672283585546,488.59720579339614,0.019801980198019802,0.4752475247524752
