method,predicate,natural_loss,shuffle_mean_loss,natural_minus_shuffle,shuffle_sd,z_score,p_two_sided,holm_p
hnsw,location==BC2000801,0.8662999868392944,0.027538018226623537,0.8387619686126709,0.0018681136687975887,448.98872195102564,0.019801980198019802,0.4752475247524752
hnsw,location==중동사거리,0.9599000215530396,0.10733301818370819,0.8525670033693313,0.004200625415775547,202.96192090051542,0.019801980198019802,0.4752475247524752
hnsw,location==원골네거리,0.8680999875068665,0.11371602296829224,0.7543839645385743,0.004628451284912863,162.98842055389088,0.019801980198019802,0.4752475247524752
hnsw,location==연구단지네거리,0.8662000298500061,0.12712302565574646,0.7390770041942596,0.004365172097602626,169.31222587997487,0.019801980198019802,0.4752475247524752
hnsw,location==삼정고가교,0.9527999758720398,0.13996902287006377,0.812830953001976,0.0049173520887666085,165.29850584806383,0.019801980198019802,0.4752475247524752
hnsw,location==계룡대교네거리,0.8618999719619751,0.15776302099227904,0.7041369509696961,0.005027072785195192,140.0689787192639,0.019801980198019802,0.4752475247524752
hnsw,date==20200907,0.7748000025749207,0.03780601859092712,0.7369939839839935,0.002158926331494259,341.3706031710204,0.019801980198019802,0.4752475247524752
hnsw,date==20200908,0.6985000371932983,0.057600027322769164,0.6409000098705292,0.003603139331415159,177.87266905907052,0.019801980198019802,0.4752475247524752
hnsw,date==20200909,0.6884000301361084,0.06600703001022339,0.622393000125885,0.0033485202199331813,185.87105922815803,0.019801980198019802,0.4752475247524752
hnsw,date==20200915,0.7307000160217285,0.1029280298948288,0.6277719861268998,0.003702226249414642,169.56607830927584,0.019801980198019802,0.4752475247524752
hnsw,hour==01,0.8513000011444092,0.27234300434589387,0.5789569967985153,0.006381350500153182,90.72640607730568,0.019801980198019802,0.4752475247524752
hnsw,hour==02,0.7918000221252441,0.05576102316379547,0.7360389989614486,0.003129689269636652,235.1795771236103,0.019801980198019802,0.4752475247524752
hnsw,hour==05,0.7107999920845032,0.08835402667522431,0.6224459654092789,0.004143258931827032,150.2310079217767,0.019801980198019802,0.4752475247524752
hnsw,hour==06,0.5123000144958496,0.0029169994592666624,0.5093830150365829,0.000579289280221636,879.3240828514779,0.019801980198019802,0.4752475247524752
hnsw,hour==07,0.669700026512146,0.11088702738285065,0.5588129991292954,0.004145013652324527,134.8157198024939,0.019801980198019802,0.4752475247524752
hnsw,hour==08,0.7080000042915344,0.23475200355052947,0.4732480007410049,0.0055958190683759665,84.57171237281484,0.019801980198019802,0.4752475247524752
hnsw,hour==11,0.7656000256538391,0.08381903231143951,0.6817809933423996,0.003835027626849748,177.77733557096772,0.019801980198019802,0.4752475247524752
hnsw,hour==12,0.48100000619888306,0.004371007084846497,0.47662899911403656,0.0006908158097102482,689.9509137087513,0.019801980198019802,0.4752475247524752
hnsw,hour==13,0.6527000069618225,0.10367202877998352,0.549027978181839,0.004378436888407802,125.39360328235553,0.019801980198019802,0.4752475247524752
hnsw,hour==14,0.6571999788284302,0.12276202261447906,0.5344379562139511,0.004544128763771037,117.61065409828682,0.019801980198019802,0.4752475247524752
hnsw,hour==16,0.7712000012397766,0.19041000962257384,0.5807899916172028,0.005610678998470324,103.5150989346472,0.019801980198019802,0.4752475247524752
hnsw,hour==17,0.45249998569488525,0.009033012390136718,0.44346697330474855,0.0010720586660409148,413.6592402563758,0.019801980198019802,0.4752475247524752
hnsw,hour==18,0.659500002861023,0.12085202991962433,0.5386479729413987,0.0038380390379333107,140.344578994029,0.019801980198019802,0.4752475247524752
hnsw,hour==19,0.753000020980835,0.03362601935863495,0.7193740016222,0.0023194672032086677,310.14622695550247,0.019801980198019802,0.4752475247524752
