method,anchor,mean_within_selectivity_slope
hnsw,0,0.5038799822330475
hnsw,1,0.5394100069999694
hnsw,2,0.5380600094795227
hnsw,3,0.49212999343872066
hnsw,4,0.5309499859809875
hnsw,5,0.48846997618675236
hnsw,6,0.5713599741458892
hnsw,7,0.47729000449180603
hnsw,8,0.5693199574947357
hnsw,9,0.4965699672698975
