corpus,method,mask_type,name,repeat,anchor,selectivity_target,concentration,count,selectivity,mask_sha256,mean_recall_at_10,recall_loss,queries_below_full_recall,kprime,mean_pairwise_cosine,gt_mode,exact_top_l,coverage_failure_fraction
A,hnsw,shuffle,location==BC2000801,21.0,,,,11455,0.08643913040197403,d66762b772b990e6d8abdd8d27474a998543ab4d39aef12a1af10f47d3113e07,0.9757999777793884,0.024200022220611572,182,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,22.0,,,,11455,0.08643913040197403,d43e253cbd53427dd7488211921f1eaf8ccc9d86b36b8370c7e51cde313f3b65,0.9715999960899353,0.028400003910064697,206,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,23.0,,,,11455,0.08643913040197403,7fef03f2f5bb63f0e4f4ebe07bf2396d10bdc3e50d3c45e1dd2d5d15cba814dc,0.9703999757766724,0.029600024223327637,214,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,24.0,,,,11455,0.08643913040197403,d229a90d45cc26228a90f4780d68cbbcbdce7fb4efe9dea9bdf88a0cf14182ab,0.9735000133514404,0.02649998664855957,189,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,25.0,,,,11455,0.08643913040197403,ad1272a641ea1683dbe011e5b1ed4ed43ba15b7ed18a5e19cbc498fb3bc722c6,0.9756999611854553,0.024300038814544678,185,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,26.0,,,,11455,0.08643913040197403,4a27b5f2fb953772ce9ef09689464cb3479486ad891d7373f3626940b346f465,0.973099946975708,0.026900053024291992,200,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,27.0,,,,11455,0.08643913040197403,e8ff42ed8ce66a76bc33121a411eeb1130a03f44f46f071ef10118fe27d5829a,0.9718999862670898,0.028100013732910156,208,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,28.0,,,,11455,0.08643913040197403,e53af275a6a468e1fb149bf6df10399b96f71bba7b24269c44e7c80a5df307b6,0.9750999808311462,0.02490001916885376,189,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,29.0,,,,11455,0.08643913040197403,b081db9be3a8486940b591d7558d8ef2725d183622d1985bf1a689e9ff1d20bf,0.9723999500274658,0.02760004997253418,202,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,30.0,,,,11455,0.08643913040197403,5ab18581666a5a9905f52c3987ffee1f98bb1b3d45a847e22241f2e2d37c8d93,0.9740999937057495,0.02590000629425049,194,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,31.0,,,,11455,0.08643913040197403,accee7d5323ade3f41b552f43f72b4cdca0f677510cb706dedc1b49c8ef452b7,0.9715999960899353,0.028400003910064697,209,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,32.0,,,,11455,0.08643913040197403,252bf61c57e18be124ee6c2a68d33c17a73bae55002450b7cc98eb819a084fc8,0.9731999635696411,0.026800036430358887,199,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,33.0,,,,11455,0.08643913040197403,ac16ed863b48d28a8ba076823daea4abdf16b0913df03165fb38493973cb3419,0.9683999419212341,0.03160005807876587,226,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,34.0,,,,11455,0.08643913040197403,5e71a4779cb0aa7e2844f88c7c0ec54143703a121c14adb9ff8162b9d343a042,0.971799910068512,0.028200089931488037,204,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,35.0,,,,11455,0.08643913040197403,26688b207f8422827f1083dd3c50ec9310d6a88ea900bcea55679fb864d50ee6,0.9699000120162964,0.030099987983703613,212,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,36.0,,,,11455,0.08643913040197403,6e409ef25f35bab425bc09b2b57ab60c0ef667798f5f1fe191708916cb5a8df0,0.9717999696731567,0.02820003032684326,202,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,37.0,,,,11455,0.08643913040197403,ae7e1b988407140c046dc2a215331b56904ec26c1ae19638fd64b0014453f5b2,0.9735000133514404,0.02649998664855957,203,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,38.0,,,,11455,0.08643913040197403,5b8e514e28386546967c6bbd04dbe8ad70ef83ff261f01f403080f9158430257,0.9710999727249146,0.02890002727508545,212,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,39.0,,,,11455,0.08643913040197403,7464b46dd0485eb4970c25b772705e7e6ca44b19f266741b3d51ccd5353fc80e,0.9701999425888062,0.029800057411193848,205,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,40.0,,,,11455,0.08643913040197403,05b0852b091e7faa74573f08189721d60eabaefb8e87795b560b2b56551de729,0.9733999967575073,0.026600003242492676,197,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,41.0,,,,11455,0.08643913040197403,207f328c7902976322ead15ee27f0bce076dc1f1a0bf3d44fec7e0a841d8cc6e,0.9740999937057495,0.02590000629425049,197,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,42.0,,,,11455,0.08643913040197403,a775b4ccb992837235359a031c1b977d81a44b5114ff69741c2e4b2494f9ed4c,0.9723999500274658,0.02760004997253418,204,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,43.0,,,,11455,0.08643913040197403,e30946294dfd340f8c3749da9687bf035331d8db922046ead06a88bcaeef6839,0.9695999622344971,0.03040003776550293,215,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,44.0,,,,11455,0.08643913040197403,1e85e191ad5eb534094e66a079e7333f7313e2d8532ceec6be76cbfa43d27dc3,0.9749000072479248,0.025099992752075195,191,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,45.0,,,,11455,0.08643913040197403,f0aeb47cbc144662af88b6d40370fe5713f267ca339bbb4ce34d70d079130c9a,0.9732999801635742,0.02670001983642578,200,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,46.0,,,,11455,0.08643913040197403,148021f58cbc19debdb353a274d025a74b9f871ce5120dbf4a03eb0876b90f07,0.9729999899864197,0.027000010013580322,206,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,47.0,,,,11455,0.08643913040197403,3026d5848d3f4dd253dbdcae546f966da454443579fa89e627ab5627efa5d3d5,0.9725000262260437,0.0274999737739563,205,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,48.0,,,,11455,0.08643913040197403,93f982c9cc4966225af5c9593c4bd62970f0b3d0af37a2f9410045e0bf431901,0.9722999334335327,0.027700066566467285,200,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,49.0,,,,11455,0.08643913040197403,301615768a027c00f22cfd2bdd5f4e57ad8d52db01166be30a24a4b10e3f928c,0.9714000225067139,0.028599977493286133,212,464,,global_top_l_filter,5000,0.0
