seed,structure,M,efSearch,nlist,nprobe,recall_at_10,build_s,index_mb,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
20260717,hnsw,32.0,256.0,,,0.9905882352941179,185.5368874715641,1217.399274,1.7121575352941176,1.409189,3.132176649999999,3.655984839999999
20260717,hnsw,32.0,512.0,,,1.0,185.5368874715641,1217.399274,3.2424164494117647,2.7744565000000003,5.98086465,10.556402429999997
20260717,hnsw,32.0,1024.0,,,1.0,185.5368874715641,1217.399274,5.674553610588236,4.8745555,9.74147475,14.57602558
20260718,hnsw,32.0,256.0,,,0.9870588235294119,188.52125119464472,1217.397226,1.70017346,1.361034,3.1788838499999987,10.52878438999999
20260718,hnsw,32.0,512.0,,,0.996470588235294,188.52125119464472,1217.397226,3.220565228235294,2.6441169999999996,6.356161749999999,9.671004289999994
20260718,hnsw,32.0,1024.0,,,1.0,188.52125119464472,1217.397226,5.892480967058824,5.138227499999999,10.147963149999994,17.22583747
20260719,hnsw,32.0,256.0,,,0.9882352941176471,184.30998043715954,1217.396586,1.624657057647059,1.2975370000000002,3.2178803999999994,6.078590529999999
20260719,hnsw,32.0,512.0,,,0.996470588235294,184.30998043715954,1217.396586,3.098385877647059,2.6009845,5.665616849999998,12.071059289999997
20260719,hnsw,32.0,1024.0,,,1.0,184.30998043715954,1217.396586,5.930001257647059,5.061154,10.654725549999993,19.552181619999995
20260720,hnsw,32.0,256.0,,,0.9894117647058823,184.29017283115536,1217.40529,1.5524902011764705,1.2851965,3.0797451999999996,4.263760489999999
20260720,hnsw,32.0,512.0,,,0.9976470588235293,184.29017283115536,1217.40529,2.768979908235294,2.4349550000000004,4.77978485,6.785759099999999
20260720,hnsw,32.0,1024.0,,,1.0,184.29017283115536,1217.40529,6.0307462258823525,5.2198565,10.4847353,22.12029717
20260721,hnsw,32.0,256.0,,,0.9917647058823531,184.9145855968818,1217.39569,1.6743212764705881,1.456802,3.29456525,4.814697529999999
20260721,hnsw,32.0,512.0,,,1.0,184.9145855968818,1217.39569,3.063083131764706,2.5085435,5.757020099999992,8.803471089999999
20260721,hnsw,32.0,1024.0,,,1.0,184.9145855968818,1217.39569,5.60939996117647,5.0566534999999995,9.610154549999999,12.368927809999999
20260717,ivfflat,,,1024.0,128.0,0.9964705882352941,75.16023484431207,1187.802939,12.132039864705883,10.423624,20.935857499999997,26.52018843
20260717,ivfflat,,,1024.0,256.0,1.0,75.16023484431207,1187.802939,23.404159937647055,22.1519095,37.58741344999999,45.10476066
20260717,ivfflat,,,1024.0,512.0,1.0,75.16023484431207,1187.802939,48.743147297647056,47.808130500000004,70.30008289999999,82.16733756999999
20260718,ivfflat,,,1024.0,128.0,0.9894117647058824,76.00392585713416,1187.802939,13.06867040352941,11.633006,23.002607649999998,30.007675799999998
20260718,ivfflat,,,1024.0,256.0,0.9988235294117648,76.00392585713416,1187.802939,24.513293552941178,23.307565500000003,37.122325749999995,50.527945859999996
20260718,ivfflat,,,1024.0,512.0,1.0,76.00392585713416,1187.802939,48.04514935294117,47.702383499999996,68.57995274999999,80.78706616000001
20260719,ivfflat,,,1024.0,128.0,0.9941176470588236,75.90693418076262,1187.802939,12.711338909411765,11.4349775,21.155066799999997,30.20619253999999
20260719,ivfflat,,,1024.0,256.0,1.0,75.90693418076262,1187.802939,24.09730679882353,22.5753025,37.857371549999996,48.05871117
20260719,ivfflat,,,1024.0,512.0,1.0,75.90693418076262,1187.802939,48.71308619764705,47.692010499999995,67.87934624999998,89.04532962
20260720,ivfflat,,,1024.0,128.0,0.9905882352941175,75.36053888592869,1187.802939,11.695259945882354,9.912955499999999,22.1964707,27.18257628
20260720,ivfflat,,,1024.0,256.0,0.9988235294117648,75.36053888592869,1187.802939,23.159626785882356,21.009525,36.963966899999996,46.675958099999995
20260720,ivfflat,,,1024.0,512.0,1.0,75.36053888592869,1187.802939,47.703403120000004,46.795531,69.43799175,86.73665335999998
20260721,ivfflat,,,1024.0,128.0,0.9952941176470588,75.10622638184577,1187.802939,11.758400315294116,10.1940445,19.782327249999998,27.137513219999995
20260721,ivfflat,,,1024.0,256.0,1.0,75.10622638184577,1187.802939,23.76720872705882,22.023107,39.008690349999995,46.46133178
20260721,ivfflat,,,1024.0,512.0,1.0,75.10622638184577,1187.802939,47.901713627058825,47.3129885,66.21251635,79.85114598
