experiment,scoring,treatment,control,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi
C1,strict,oracle_qrel_filter,qwen_clean,0.9373591739717939,0.9109427178695784,0.9607766789576379,0.9000653013356776,0.961964956863627
C1,strict,oracle_qrel_filter,random_same_selectivity_mean,0.9663712012019496,0.9575222173776001,0.9745082116375348,0.9523912138471489,0.975867436695065
C2,strict,qwen_full_contamination,qwen_clean,0.20329950249819725,0.16258865468857836,0.24672490263048605,0.15570712181097987,0.2727208905442754
C1,semantic,oracle_qrel_filter,qwen_clean,0.818995394455337,0.7802002948350617,0.8552869377873478,0.7379502811218659,0.8816817296618183
C1,semantic,oracle_qrel_filter,random_same_selectivity_mean,0.8799587877673379,0.8677669083280023,0.8924062519223918,0.8600181820237975,0.9061029741183529
C2,semantic,qwen_full_contamination,qwen_clean,0.6726820381989732,0.6261285406521094,0.7181900961055309,0.567531682903986,0.7520049284097663
