fact_id,L1_surface,L2_alias,L3_inverse,L4_alt_path,L5_prompt,S1_fact_parity,S2_world_parity,S3_token_ratio,S3_within_tol
b3fc732d7ce0cefd,False,False,False,False,False,True,True,1.158,False
a96eb1d7f0437d6f,False,False,False,False,False,True,True,1.167,False
4f2a8af902c08f9f,False,False,False,False,False,True,True,1.176,False
007a4c99d924c261,False,False,False,False,False,True,True,1.167,False
60331b79e39f0d7d,False,False,False,False,False,True,True,1.176,False
f5851bb95034f827,False,False,False,False,False,True,True,1.176,False
198bcd9709793618,False,False,False,False,False,True,True,1.15,False
62c337775ebeaf42,False,False,False,False,False,True,True,1.167,False
eb8917bbb0278247,False,False,False,False,False,True,True,1.176,False
b19dc2ae0bbd63e1,False,False,False,False,False,True,True,1.158,False
6f72b785f4863709,False,False,False,False,False,True,True,1.176,False
692f583897962341,False,False,False,False,False,True,True,1.176,False
526c167bca90b0ff,False,False,False,False,False,True,True,1.167,False
bf5530731f3999ed,False,False,False,False,False,True,True,1.125,False
5b010406e14aa21c,False,False,False,False,False,True,True,1.167,False
0ca0e14e96eb91d3,False,False,False,False,False,True,True,1.167,False
4922f3979d67f6d5,False,False,False,False,False,True,True,1.115,False
1beea7d49ce58fce,False,False,False,False,False,True,True,1.136,False
b4e310bc4fddc7d8,False,False,False,False,False,True,True,1.143,False
fb507190e9f08173,False,False,False,False,False,True,True,1.158,False
d85328118e6b36cf,False,False,False,False,False,True,True,1.167,False
b4c4c9ee3eec871f,False,False,False,False,False,True,True,1.167,False
2ab5d734872a456b,False,False,False,False,False,True,True,1.167,False
4a0784410616c309,False,False,False,False,False,True,True,1.176,False
30d5d7d53f4a18be,False,False,False,False,False,True,True,1.176,False
3ca4d85e73a17fc9,False,False,False,False,False,True,True,1.176,False
0f203ff2cecf5b6e,False,False,False,False,False,True,True,1.167,False
b755052e2246a724,False,False,False,False,False,True,True,1.158,False
19500ca79228d7c6,False,False,False,False,False,True,True,1.143,False
a52fe5f91a9e414e,False,False,False,False,False,True,True,1.167,False
1075f94df3dfda88,False,False,False,False,False,True,True,1.167,False
75be784940311ed7,False,False,False,False,False,True,True,1.143,False
cfce0b017a4febe9,False,False,False,False,False,True,True,1.167,False
ddae8a4228aa7201,False,False,False,False,False,True,True,1.15,False
1c2ccb4094245f35,False,False,False,False,False,True,True,1.158,False
2684d78acbc1e715,False,False,False,False,False,True,True,1.158,False
379d01f7c2f94731,False,False,False,False,False,True,True,1.15,False
4ebff280efc2d1f3,False,False,False,False,False,True,True,1.176,False
208a5f168ec45630,False,False,False,False,False,True,True,1.158,False
86c5d13761ff1b9d,False,False,False,False,False,True,True,1.176,False
b61059858474f834,False,False,False,False,False,True,True,1.15,False
9f6f86f6a5d3542e,False,False,False,False,False,True,True,1.158,False
74759f94db6238e7,False,False,False,False,False,True,True,1.167,False
2042a4bdbdbfe866,False,False,False,False,False,True,True,1.158,False
7694dc3630c4d687,False,False,False,False,False,True,True,1.158,False
c9472c9340b9ab47,False,False,False,False,False,True,True,1.176,False
c19186afc3946a8f,False,False,False,False,False,True,True,1.167,False
bddc4fc2fd214eb6,False,False,False,False,False,True,True,1.158,False
cfa47d371ce3154d,False,False,False,False,False,True,True,1.188,False
c1e5f3bc4c93c873,False,False,False,False,False,True,True,1.13,False
f1d98e0504f8f9db,False,False,False,False,False,True,True,1.15,False
73f9411c85416084,False,False,False,False,False,True,True,1.158,False
343a83630b5e6168,False,False,False,False,False,True,True,1.176,False
a366d5e520adec9c,False,False,False,False,False,True,True,1.176,False
ee68884f8ad262a9,False,False,False,False,False,True,True,1.167,False
f7bc99c707e68a9c,False,False,False,False,False,True,True,1.167,False
5584f47a0c909943,False,False,False,False,False,True,True,1.188,False
b5b03e76a8d2839b,False,False,False,False,False,True,True,1.167,False
7e23c37e613cc2b5,False,False,False,False,False,True,True,1.176,False
918c8320a1a70f81,False,False,False,False,False,True,True,1.158,False
ac45896e35aed179,False,False,False,False,False,True,True,1.158,False
523d73d4320114b8,False,False,False,False,False,True,True,1.188,False
69c70e669d823ff4,False,False,False,False,False,True,True,1.176,False
49d3a19ae2df6270,False,False,False,False,False,True,True,1.167,False
8cdd2e71c4afe94a,False,False,False,False,False,True,True,1.15,False
3d9fa8639eb09328,False,False,False,False,False,True,True,1.167,False
e1940221a03c7804,False,False,False,False,False,True,True,1.15,False
0f54e64e8d8f5f55,False,False,False,False,False,True,True,1.167,False
c6bc8d56bf70a5b9,False,False,False,False,False,True,True,1.143,False
65a952df356889a2,False,False,False,False,False,True,True,1.158,False
155dbf3f0005e6f5,False,False,False,False,False,True,True,1.176,False
7a0905283c4641c8,False,False,False,False,False,True,True,1.176,False
9f6a5b7d68403642,False,False,False,False,False,True,True,1.176,False
8ad1dbb5650059ef,False,False,False,False,False,True,True,1.167,False
64ba4f1e378343ea,False,False,False,False,False,True,True,1.167,False
