representation,scoring,queries,ndcg_at_10,mrr,recall_at_10,hit_at_10,latency_mean_ms,latency_p50_ms,latency_p95_ms,vector_payload_mb
caption,strict,85,0.06264082602820618,0.1802149265820523,0.012443049762324332,0.3411764705882353,1.1993164305882353,1.1460795,1.4880945999999997,24.576
caption,semantic,85,0.18100460554466297,0.44037720897376087,0.01189103032749934,0.8235294117647058,1.1993164305882353,1.1460795,1.4880945999999997,24.576
representative_frame,strict,85,0.062518077846588,0.17122446350218845,0.01105009388974014,0.35294117647058826,1.2172748847058823,1.172104,1.4790260499999999,24.576
representative_frame,semantic,85,0.1864947145108729,0.44177249925519824,0.00845612829396421,0.8,1.2172748847058823,1.172104,1.4790260499999999,24.576
joint_matched,strict,85,0.07943465832179739,0.20788876225127786,0.019473336825294167,0.4235294117647059,1.1833001752941177,1.137616,1.4431609499999998,24.576
joint_matched,semantic,85,0.21816450040594734,0.5118194294609204,0.013563786153865318,0.8117647058823529,1.1833001752941177,1.137616,1.4431609499999998,24.576
joint_shuffled,strict,85,0.057163545020220204,0.19182726444722867,0.007716231730994354,0.3411764705882353,1.220363445882353,1.169657,1.5226930499999998,24.576
joint_shuffled,semantic,85,0.19575103315150308,0.5047290949894222,0.0075185516677934204,0.7176470588235294,1.220363445882353,1.169657,1.5226930499999998,24.576
