candidate,baseline,dataset,scoring,strategy,queries,mean_delta_ndcg10,ci_lo,ci_hi,wins,ties,losses
qwen35_9b,qwen25vl_7b,522,strict,B2_vector_only,85,0.022969872281874987,-0.01160566849099961,0.05827630448878769,24,43,18
qwen35_9b,qwen25vl_7b,522,semantic,B2_vector_only,85,0.10218102843252559,0.03479881429720457,0.1705835343944041,44,10,31
qwen35_9b,qwen25vl_7b,522,strict,B3_vector_postfilter,82,0.06042292874808616,0.004572883394831829,0.11519704377380968,44,13,25
qwen35_9b,qwen25vl_7b,522,semantic,B3_vector_postfilter,82,0.06030702425911155,0.005041996388925064,0.11472856105549899,44,13,25
qwen35_9b,qwen25vl_7b,522,strict,B4_prefilter_vector,85,0.06882224968783861,0.015973761518954743,0.1217381779556058,47,13,25
qwen35_9b,qwen25vl_7b,522,semantic,B4_prefilter_vector,85,0.06903046044139304,0.01854734162840983,0.12055929664573864,47,13,25
qwen35_9b,qwen25vl_7b,522,strict,B5_hybrid,85,0.029552300601353377,-0.012889222150017,0.07354453733975086,36,19,30
qwen35_9b,qwen25vl_7b,522,semantic,B5_hybrid,85,0.03134644229098959,-0.01024900300024339,0.07481369231641298,36,19,30
qwen35_9b,qwen25vl_7b,meva,strict,B0_metadata_only,193,0.0,0.0,0.0,0,193,0
qwen35_9b,qwen25vl_7b,meva,semantic,B0_metadata_only,193,0.0,0.0,0.0,0,193,0
qwen35_9b,qwen25vl_7b,meva,strict,B1_bm25_only,193,-0.008385054686809296,-0.020277996769833006,0.003376491232333987,42,101,50
qwen35_9b,qwen25vl_7b,meva,semantic,B1_bm25_only,193,-0.006451620236960179,-0.02773994705504601,0.01479272303808597,92,20,81
qwen35_9b,qwen25vl_7b,meva,strict,B2_vector_only,193,0.04273751969121196,0.03012767250865776,0.05609642838012766,79,99,15
qwen35_9b,qwen25vl_7b,meva,semantic,B2_vector_only,193,0.16812555844551264,0.14406279782563985,0.19320250648210072,159,10,24
qwen35_9b,qwen25vl_7b,meva,strict,B3_vector_postfilter,193,0.13934790437228958,0.11257559680567716,0.16697350199935865,139,18,36
qwen35_9b,qwen25vl_7b,meva,semantic,B3_vector_postfilter,193,0.13473085028357903,0.10940606072273934,0.16007270767552542,139,18,36
qwen35_9b,qwen25vl_7b,meva,strict,B4_prefilter_vector,193,0.13820294158892685,0.11084673348242778,0.16567943834325924,139,18,36
qwen35_9b,qwen25vl_7b,meva,semantic,B4_prefilter_vector,193,0.13344510136643215,0.10778935636275815,0.1589888593046487,139,18,36
qwen35_9b,qwen25vl_7b,meva,strict,B5_hybrid,193,0.10596438887704111,0.08013475915947288,0.13157496804051944,121,32,40
qwen35_9b,qwen25vl_7b,meva,semantic,B5_hybrid,193,0.10351507742679274,0.07930932150091988,0.1278038827465249,121,32,40
qwen35_9b,qwen25vl_7b,uca,strict,B0_metadata_only,135,0.0,0.0,0.0,0,135,0
qwen35_9b,qwen25vl_7b,uca,semantic,B0_metadata_only,135,0.0,0.0,0.0,0,135,0
qwen35_9b,qwen25vl_7b,uca,strict,B1_bm25_only,135,-0.0022892340076375037,-0.016951822572552178,0.0117734018575,22,95,18
qwen35_9b,qwen25vl_7b,uca,semantic,B1_bm25_only,135,0.0026328849443662357,-0.01562356862859621,0.01939411829969801,54,62,19
qwen35_9b,qwen25vl_7b,uca,strict,B2_vector_only,135,0.007612574358031587,-0.010416894303164356,0.025261747694413052,41,71,23
qwen35_9b,qwen25vl_7b,uca,semantic,B2_vector_only,135,0.05403732528806064,0.01510425928947284,0.09204148323140521,87,0,48
qwen35_9b,qwen25vl_7b,uca,strict,B3_vector_postfilter,134,0.02105419905783705,-0.011051727631774609,0.05328207197357392,63,20,51
qwen35_9b,qwen25vl_7b,uca,semantic,B3_vector_postfilter,134,0.02082886554555689,-0.010318903995152314,0.052768025875502514,63,20,51
qwen35_9b,qwen25vl_7b,uca,strict,B4_prefilter_vector,135,0.02019464392843922,-0.011486276592361806,0.05133553273309728,66,15,54
qwen35_9b,qwen25vl_7b,uca,semantic,B4_prefilter_vector,135,0.020124232210438,-0.01113726307945721,0.05167650344966139,66,15,54
qwen35_9b,qwen25vl_7b,uca,strict,B5_hybrid,135,0.024581192795501847,-0.0089282526835673,0.05694708694626054,67,20,48
qwen35_9b,qwen25vl_7b,uca,semantic,B5_hybrid,135,0.022641674647298826,-0.009564622910008076,0.05424402915657309,67,20,48
