experiment_kind,domain,protocol,scenario,repeat,checkpoint,fact_id,commit,path,expected_version,expected_epoch,dense_versions,sparse_versions,answer_label,snapshot_correct,current_correct,latency_ms
answer,flask,cross_naive,,0,manifest_published,10,aa6d4c3e92bd11a7d449f49f524e54bbb88b89c0,docs/patterns/appdispatch.rst,2,0,1,1,MISSING,0,0,2.921096049249172
answer,flask,cross_naive,,0,manifest_published,11,6b9acd565cded9c805760037b69754c11749c830,docs/patterns/packages.rst,2,0,1,1,MISSING,0,0,3.0926931649446487
answer,flask,cross_naive,,0,manifest_published,12,83d777bebfb3031de51d458b47d06e8e612f3a3d,docs/index.rst,2,0,1,1,MISSING,0,0,2.910046838223934
answer,flask,cross_naive,,0,manifest_published,13,2e8fe7b2f2b541a60c90c625446647b22c5cacc2,docs/extensiondev.rst,2,0,1,1,MISSING,0,0,3.063610754907131
answer,flask,cross_naive,,0,manifest_published,14,0bc6be604d465406c5909b13162e7097ab0ea2f8,docs/installation.rst,2,0,1,1,MISSING,0,0,3.2131774351000786
answer,flask,cross_naive,,0,manifest_published,15,9c02f07f9bb4c88207c2a6860742c452c35d2948,docs/security.rst,2,0,1,1,MISSING,0,0,3.071940504014492
answer,flask,cross_naive,,0,manifest_published,16,dca8cf013b2c0086539697ae6e4515a1c819092c,docs/patterns/celery.rst,2,0,1,1,MISSING,0,0,2.9200464487075806
answer,flask,cross_naive,,0,manifest_published,17,8f13f5b6d672f1ba434f9c8ebe2c1b1dd385962e,docs/cli.rst,2,0,1,1,MISSING,0,0,3.0052242800593376
answer,flask,cross_naive,,0,manifest_published,18,4c08e3a2ba3d42fbee63577bceedfe325f51b81d,docs/cli.rst,2,0,1,1,MISSING,0,0,3.2082078978419304
answer,flask,cross_naive,,0,manifest_published,19,6751f68560bfa7c51133d2712830645ed551ace8,docs/async-await.rst,2,0,1,1,MISSING,0,0,3.3051306381821632
answer,flask,cross_naive,,0,manifest_published,20,b46bfcfa63e3c7b32b66dd4870f1c8c17fe1cb46,docs/extensiondev.rst,2,0,1,1,MISSING,0,0,3.113741986453533
answer,flask,cross_naive,,0,manifest_published,21,46433e9807a1c960d6b2bb0e125cf16a90167d97,docs/patterns/streaming.rst,2,0,1,1,MISSING,0,0,2.9668016359210014
answer,flask,cross_naive,,0,manifest_published,22,2ea77c278282f04a8a18c3ced88ef1e048f8ed4a,docs/async-await.rst,2,0,1,1,MISSING,0,0,3.5912394523620605
answer,flask,cross_naive,,0,manifest_published,23,2f3c87dcb8492f082a2f3ece444773d9db30171b,docs/patterns/index.rst,2,0,1,1,MISSING,0,0,3.3581145107746124
answer,flask,cross_naive,,0,manifest_published,24,bab5a65e6eaee20ac1706fc9439ee538f59e652f,docs/views.rst,2,0,1,1,MISSING,0,0,3.100593574345112
answer,flask,cross_naive,,0,dense_inserted,0,ac5664d2281533eacafd64f5cc7d5edcdaccab60,docs/async-await.rst,2,0,1;2,1,MISSING,0,0,3.298746421933174
answer,flask,cross_naive,,0,dense_inserted,1,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,docs/appcontext.rst,2,0,1;2,1,MISSING,0,0,3.144427202641964
answer,flask,cross_naive,,0,dense_inserted,2,edebd3704437f19b5b137eaffe97130fe817d144,docs/templating.rst,2,0,1;2,1,MISSING,0,0,3.0892491340637207
answer,flask,cross_naive,,0,dense_inserted,3,d8259eb11900285af9b80b0fa47f841174c054e3,docs/design.rst,2,0,1;2,1,MISSING,0,0,2.941071055829525
answer,flask,cross_naive,,0,dense_inserted,4,ff64079a516c269f171ababf3d92b86886a62ffd,docs/web-security.rst,2,0,1;2,1,MISSING,0,0,2.8429124504327774
answer,flask,cross_naive,,0,dense_inserted,5,85cc71046475f9cb3efd17d496356795961249f9,docs/index.rst,2,0,1;2,1,MISSING,0,0,2.967439591884613
answer,flask,cross_naive,,0,dense_inserted,6,a758915893352f5986c6ee101cdf7e3b7a64fa28,docs/index.rst,2,0,1;2,1,MISSING,0,0,2.9289647936820984
answer,flask,cross_naive,,0,dense_inserted,7,7bf3be8dfa5832ef03a3fd8f07f6736e770440e4,docs/server.rst,2,0,1;2,1,MISSING,0,0,2.8783194720745087
answer,flask,cross_naive,,0,dense_inserted,8,c7a53888a1a514619b0611fd8b7928592f4ed612,docs/web-security.rst,2,0,1;2,1,MISSING,0,0,3.052588552236557
answer,flask,cross_naive,,0,dense_inserted,9,be6ec06894b55b1b5a360ce3f8178c7963332ccd,docs/deploying/asgi.rst,2,0,1;2,1,MISSING,0,0,2.986564300954342
answer,flask,cross_naive,,0,dense_inserted,10,aa6d4c3e92bd11a7d449f49f524e54bbb88b89c0,docs/patterns/appdispatch.rst,2,0,1;2,1,MISSING,0,0,3.073987551033497
answer,flask,cross_naive,,0,dense_inserted,11,6b9acd565cded9c805760037b69754c11749c830,docs/patterns/packages.rst,2,0,1;2,1,MISSING,0,0,2.884829416871071
answer,flask,cross_naive,,0,dense_inserted,12,83d777bebfb3031de51d458b47d06e8e612f3a3d,docs/index.rst,2,0,1;2,1,MISSING,0,0,2.96794343739748
answer,flask,cross_naive,,0,dense_inserted,13,2e8fe7b2f2b541a60c90c625446647b22c5cacc2,docs/extensiondev.rst,2,0,1;2,1,MISSING,0,0,3.038673661649227
answer,flask,cross_naive,,0,dense_inserted,14,0bc6be604d465406c5909b13162e7097ab0ea2f8,docs/installation.rst,2,0,1;2,1,MISSING,0,0,2.9976489022374153
answer,flask,cross_naive,,0,dense_inserted,15,9c02f07f9bb4c88207c2a6860742c452c35d2948,docs/security.rst,2,0,1;2,1,MISSING,0,0,3.0638808384537697
