experiment_kind,domain,protocol,scenario,repeat,checkpoint,fact_id,commit,path,expected_version,expected_epoch,dense_versions,sparse_versions,answer_label,snapshot_correct,current_correct,latency_ms
fault,flask,cross_staged,partial_dense_crash,0,after_gc,15,9c02f07f9bb4c88207c2a6860742c452c35d2948,docs/security.rst,2,0,2,2,NEW_ONLY,1,1,3.506151959300041
fault,flask,cross_staged,partial_dense_crash,0,after_gc,16,dca8cf013b2c0086539697ae6e4515a1c819092c,docs/patterns/celery.rst,2,0,2,2,NEW_ONLY,1,1,2.782108262181282
fault,flask,cross_staged,partial_dense_crash,0,after_gc,17,8f13f5b6d672f1ba434f9c8ebe2c1b1dd385962e,docs/cli.rst,2,0,2,2,NEW_ONLY,1,1,2.960236743092537
fault,flask,cross_staged,partial_dense_crash,0,after_gc,18,4c08e3a2ba3d42fbee63577bceedfe325f51b81d,docs/cli.rst,2,0,2,2,NEW_ONLY,1,1,2.921353094279766
fault,flask,cross_staged,partial_dense_crash,0,after_gc,19,6751f68560bfa7c51133d2712830645ed551ace8,docs/async-await.rst,2,0,2,2,NEW_ONLY,1,1,3.065102733671665
fault,flask,cross_staged,partial_dense_crash,0,after_gc,20,b46bfcfa63e3c7b32b66dd4870f1c8c17fe1cb46,docs/extensiondev.rst,2,0,2,2,NEW_ONLY,1,1,2.9141865670681
fault,flask,cross_staged,partial_dense_crash,0,after_gc,21,46433e9807a1c960d6b2bb0e125cf16a90167d97,docs/patterns/streaming.rst,2,0,2,2,NEW_ONLY,1,1,2.9653459787368774
fault,flask,cross_staged,partial_dense_crash,0,after_gc,22,2ea77c278282f04a8a18c3ced88ef1e048f8ed4a,docs/async-await.rst,2,0,2,2,NEW_ONLY,1,1,2.990798093378544
fault,flask,cross_staged,partial_dense_crash,0,after_gc,23,2f3c87dcb8492f082a2f3ece444773d9db30171b,docs/patterns/index.rst,2,0,2,2,NEW_ONLY,1,1,3.08268703520298
fault,flask,cross_staged,partial_dense_crash,0,after_gc,24,bab5a65e6eaee20ac1706fc9439ee538f59e652f,docs/views.rst,2,0,2,2,NEW_ONLY,1,1,3.6575719714164734
fault,flask,cross_staged,partial_dense_crash,1,after_crash,0,ac5664d2281533eacafd64f5cc7d5edcdaccab60,docs/async-await.rst,1,0,1,1,OLD_ONLY,1,0,66.40377268195152
fault,flask,cross_staged,partial_dense_crash,1,after_crash,1,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,docs/appcontext.rst,1,0,1,1,OLD_ONLY,1,0,3.497060388326645
fault,flask,cross_staged,partial_dense_crash,1,after_crash,2,edebd3704437f19b5b137eaffe97130fe817d144,docs/templating.rst,1,0,1,1,OLD_ONLY,1,0,4.083709791302681
fault,flask,cross_staged,partial_dense_crash,1,after_crash,3,d8259eb11900285af9b80b0fa47f841174c054e3,docs/design.rst,1,0,1,1,OLD_ONLY,1,0,3.133567050099373
fault,flask,cross_staged,partial_dense_crash,1,after_crash,4,ff64079a516c269f171ababf3d92b86886a62ffd,docs/web-security.rst,1,0,1,1,OLD_ONLY,1,0,3.2071582973003387
fault,flask,cross_staged,partial_dense_crash,1,after_crash,5,85cc71046475f9cb3efd17d496356795961249f9,docs/index.rst,1,0,1,1,OLD_ONLY,1,0,3.5376567393541336
fault,flask,cross_staged,partial_dense_crash,1,after_crash,6,a758915893352f5986c6ee101cdf7e3b7a64fa28,docs/index.rst,1,0,1,1,OLD_ONLY,1,0,3.349173814058304
fault,flask,cross_staged,partial_dense_crash,1,after_crash,7,7bf3be8dfa5832ef03a3fd8f07f6736e770440e4,docs/server.rst,1,0,1,1,OLD_ONLY,1,0,3.1633367761969566
fault,flask,cross_staged,partial_dense_crash,1,after_crash,8,c7a53888a1a514619b0611fd8b7928592f4ed612,docs/web-security.rst,1,0,1,1,OLD_ONLY,1,0,3.3233854919672012
fault,flask,cross_staged,partial_dense_crash,1,after_crash,9,be6ec06894b55b1b5a360ce3f8178c7963332ccd,docs/deploying/asgi.rst,1,0,1,1,OLD_ONLY,1,0,3.226008266210556
fault,flask,cross_staged,partial_dense_crash,1,after_crash,10,aa6d4c3e92bd11a7d449f49f524e54bbb88b89c0,docs/patterns/appdispatch.rst,1,0,1,1,OLD_ONLY,1,0,3.12101561576128
fault,flask,cross_staged,partial_dense_crash,1,after_crash,11,6b9acd565cded9c805760037b69754c11749c830,docs/patterns/packages.rst,1,0,1,1,OLD_ONLY,1,0,3.116006962954998
fault,flask,cross_staged,partial_dense_crash,1,after_crash,12,83d777bebfb3031de51d458b47d06e8e612f3a3d,docs/index.rst,1,0,1,1,OLD_ONLY,1,0,3.1504426151514053
fault,flask,cross_staged,partial_dense_crash,1,after_crash,13,2e8fe7b2f2b541a60c90c625446647b22c5cacc2,docs/extensiondev.rst,1,0,1,1,OLD_ONLY,1,0,3.2765530049800873
fault,flask,cross_staged,partial_dense_crash,1,after_crash,14,0bc6be604d465406c5909b13162e7097ab0ea2f8,docs/installation.rst,1,0,1,1,OLD_ONLY,1,0,3.1267479062080383
fault,flask,cross_staged,partial_dense_crash,1,after_crash,15,9c02f07f9bb4c88207c2a6860742c452c35d2948,docs/security.rst,1,0,1,1,OLD_ONLY,1,0,3.120466135442257
fault,flask,cross_staged,partial_dense_crash,1,after_crash,16,dca8cf013b2c0086539697ae6e4515a1c819092c,docs/patterns/celery.rst,1,0,1,1,OLD_ONLY,1,0,3.1531518325209618
fault,flask,cross_staged,partial_dense_crash,1,after_crash,17,8f13f5b6d672f1ba434f9c8ebe2c1b1dd385962e,docs/cli.rst,1,0,1,1,OLD_ONLY,1,0,2.7472171932458878
fault,flask,cross_staged,partial_dense_crash,1,after_crash,18,4c08e3a2ba3d42fbee63577bceedfe325f51b81d,docs/cli.rst,1,0,1,1,OLD_ONLY,1,0,3.008553758263588
