dataset,model,scoring,strategy,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
522,qwen25vl_7b,strict,B0_metadata_only,0.0070455383725777,0.3529411764705882,0.0216607187269854,0.5764705882352941,0.0437066661093947,0.7294117647058823,0.0699536002178636,0.8117647058823529,0.4678075600566624,0.2180668688794056
522,qwen25vl_7b,semantic,B0_metadata_only,0.0009479318026393,0.3529411764705882,0.0045246649971377,0.5764705882352941,0.0081639703139079,0.7294117647058823,0.0115191875024961,0.8117647058823529,0.4678075600566624,0.217297488411546
522,qwen25vl_7b,strict,B1_bm25_only,0.0,0.0,0.0009220055649163,0.1058823529411764,0.0019056244966989,0.1764705882352941,0.0039085677332628,0.2470588235294117,0.0499636478024284,0.0164552679862569
522,qwen25vl_7b,semantic,B1_bm25_only,0.0,0.0,0.0009553357333474,0.3647058823529411,0.0014236302339782,0.4823529411764706,0.0030870906083802,0.5647058823529412,0.1247614345178802,0.0500680148701194
522,qwen25vl_7b,strict,B2_vector_only,0.0038656213807673,0.0705882352941176,0.0098524635358625,0.2470588235294117,0.0118552624034868,0.3176470588235294,0.0173124672133383,0.4117647058823529,0.154823503668307,0.0588392007425556
522,qwen25vl_7b,semantic,B2_vector_only,0.0005530174792398,0.1058823529411764,0.0055275672058702,0.5294117647058824,0.0084218503787149,0.6470588235294118,0.0146360862233386,0.8823529411764706,0.3066392338345585,0.170033489047279
522,qwen25vl_7b,strict,B3_vector_postfilter,0.0060833049618207,0.1529411764705882,0.0260766974146387,0.4705882352941176,0.0380145828298093,0.5764705882352941,0.0546414223561456,0.6705882352941176,0.2916615026429716,0.1523338496791838
522,qwen25vl_7b,semantic,B3_vector_postfilter,0.0008057110247658,0.1529411764705882,0.0046029619016155,0.4705882352941176,0.0069771252916347,0.5764705882352941,0.0112622771074732,0.6705882352941176,0.2916615026429716,0.1498733079973848
522,qwen25vl_7b,strict,B4_prefilter_vector,0.0060833049618207,0.1529411764705882,0.028877817862818,0.4941176470588235,0.0438597180867093,0.611764705882353,0.0795793493478557,0.7176470588235294,0.3031999853448434,0.1571037866736813
522,qwen25vl_7b,semantic,B4_prefilter_vector,0.0008057110247658,0.1529411764705882,0.0046846928865636,0.4941176470588235,0.0071455554353275,0.611764705882353,0.0127815999711452,0.7176470588235294,0.3031999853448434,0.1542677217507489
522,qwen25vl_7b,strict,B5_hybrid,0.0046768930789861,0.1294117647058823,0.0216839524296443,0.4588235294117647,0.0330502961531512,0.6235294117647059,0.0631986380076356,0.8117647058823529,0.2903946045606579,0.1350649862451781
522,qwen25vl_7b,semantic,B5_hybrid,0.0006702237909109,0.1294117647058823,0.003370391967171,0.4588235294117647,0.0053695906662226,0.6235294117647059,0.0099518756132942,0.8117647058823529,0.2903946045606579,0.1328527810080028
522,qwen3vl_8b,strict,B0_metadata_only,0.0070455383725777,0.3529411764705882,0.0216607187269854,0.5764705882352941,0.0437066661093947,0.7294117647058823,0.0699536002178636,0.8117647058823529,0.4678075600566624,0.2180668688794056
522,qwen3vl_8b,semantic,B0_metadata_only,0.0009479318026393,0.3529411764705882,0.0045246649971377,0.5764705882352941,0.0081639703139079,0.7294117647058823,0.0115191875024961,0.8117647058823529,0.4678075600566624,0.217297488411546
522,qwen3vl_8b,strict,B1_bm25_only,5.656108597285068e-05,0.0117647058823529,0.0019416390952153,0.0941176470588235,0.005620122189334,0.2235294117647059,0.0096541990211703,0.2941176470588235,0.0714604445405876,0.0374316581557131
