band,families,mean_delta_b4_b2,ci_lo,ci_hi
low,19,-0.014736922623856999,-0.03386330872085408,0.0011549028189430167
mid,4,-0.014689515178597838,-0.05360258705148049,0.020896859612079724
high,2,0.17961138349086367,0.1162524067856228,0.24297036019610455
