difficulty,queries,avg_positive_count,B0_metadata_only__recall_at_10,B0_metadata_only__ndcg_at_10,B0_metadata_only__mrr,B0_metadata_only__latency_ms,B1_bm25_only__recall_at_10,B1_bm25_only__ndcg_at_10,B1_bm25_only__mrr,B1_bm25_only__latency_ms,B2_vector_only__recall_at_10,B2_vector_only__ndcg_at_10,B2_vector_only__mrr,B2_vector_only__latency_ms,B3_vector_postfilter__recall_at_10,B3_vector_postfilter__ndcg_at_10,B3_vector_postfilter__mrr,B3_vector_postfilter__latency_ms,B4_prefilter_vector__recall_at_10,B4_prefilter_vector__ndcg_at_10,B4_prefilter_vector__mrr,B4_prefilter_vector__latency_ms,B5_hybrid__recall_at_10,B5_hybrid__ndcg_at_10,B5_hybrid__mrr,B5_hybrid__latency_ms
weak,39,43.666666666666664,0.010247622526111718,0.046813829460625705,0.0896861120999052,0.13842662939658532,0.5191228786003931,0.9466058907880753,0.9319658119658119,124.36899469974331,0.4895286120244104,0.9117901658308677,0.9002479901265326,116.04984563130598,0.4895286120244104,0.9117901658308677,0.9002479901265326,4.901978426063672,0.4895286120244104,0.9117901658308677,0.9002479901265326,128.90316443279002,0.498095045590844,0.944015133198759,0.9505681246857717,255.54174589566313
medium,119,24.41176470588235,0.14819250883842192,0.16976219129327752,0.20286765052544636,0.05842496038359754,0.45276396742020636,0.4630925769156935,0.4901697332515889,132.21639675722153,0.45515105199469125,0.48517021072329486,0.5239641028798455,119.52400998361095,0.7494315691440702,0.965045475219018,0.9668963173504697,4.90712932851009,0.7662382918331458,0.9794865934949845,0.9752996786950074,49.744093602820605,0.7534861480557296,0.9561314497085915,0.9643086289774376,180.73590941914992
strong,86,10.232558139534884,0.397713010810498,0.3403091397502879,0.3664521210575913,0.017461247828810714,0.2723403856562629,0.20517415510809833,0.2585353687577405,132.61753169624785,0.24127013233016775,0.18506928898045488,0.25363634562536447,117.61369142508092,0.8242881809408514,0.9432287865386718,0.9748062015503876,4.822950127946083,0.8823372765480866,0.9935041604963364,0.9864341085271318,12.99013868840628,0.878746305275857,0.9871932521070601,0.9941860465116279,142.73760293415467
