pair,kind,selectivity,replicate,method,recall_at_10
location==원골네거리,natural,0.04678,5,single_stage_ivf_batch_np32,0.9973
location==연구단지네거리,natural,0.04417,1,postfilter_hnsw_K1x,0.8413
location==연구단지네거리,natural,0.04417,1,postfilter_hnsw_K2x,0.8788
location==연구단지네거리,natural,0.04417,1,postfilter_hnsw_K4x,0.8788
location==연구단지네거리,natural,0.04417,1,single_stage_ivf_batch_np8,0.9612
location==연구단지네거리,natural,0.04417,1,single_stage_ivf_batch_np32,0.9981
location==연구단지네거리,natural,0.04417,2,postfilter_hnsw_K1x,0.843
location==연구단지네거리,natural,0.04417,2,postfilter_hnsw_K2x,0.8755
location==연구단지네거리,natural,0.04417,2,postfilter_hnsw_K4x,0.8755
location==연구단지네거리,natural,0.04417,2,single_stage_ivf_batch_np8,0.9586
location==연구단지네거리,natural,0.04417,2,single_stage_ivf_batch_np32,0.9984
location==연구단지네거리,natural,0.04417,3,postfilter_hnsw_K1x,0.8424
location==연구단지네거리,natural,0.04417,3,postfilter_hnsw_K2x,0.8737
location==연구단지네거리,natural,0.04417,3,postfilter_hnsw_K4x,0.8737
location==연구단지네거리,natural,0.04417,3,single_stage_ivf_batch_np8,0.9599
location==연구단지네거리,natural,0.04417,3,single_stage_ivf_batch_np32,0.998
location==연구단지네거리,natural,0.04417,4,postfilter_hnsw_K1x,0.8403
location==연구단지네거리,natural,0.04417,4,postfilter_hnsw_K2x,0.8749
location==연구단지네거리,natural,0.04417,4,postfilter_hnsw_K4x,0.8749
location==연구단지네거리,natural,0.04417,4,single_stage_ivf_batch_np8,0.9576
location==연구단지네거리,natural,0.04417,4,single_stage_ivf_batch_np32,0.9978
location==연구단지네거리,natural,0.04417,5,postfilter_hnsw_K1x,0.8391
location==연구단지네거리,natural,0.04417,5,postfilter_hnsw_K2x,0.8725
location==연구단지네거리,natural,0.04417,5,postfilter_hnsw_K4x,0.8725
location==연구단지네거리,natural,0.04417,5,single_stage_ivf_batch_np8,0.9576
location==연구단지네거리,natural,0.04417,5,single_stage_ivf_batch_np32,0.9976
location==삼정고가교,natural,0.04187,1,postfilter_hnsw_K1x,0.8359
location==삼정고가교,natural,0.04187,1,postfilter_hnsw_K2x,0.8652
location==삼정고가교,natural,0.04187,1,postfilter_hnsw_K4x,0.8652
location==삼정고가교,natural,0.04187,1,single_stage_ivf_batch_np8,0.9543
location==삼정고가교,natural,0.04187,1,single_stage_ivf_batch_np32,0.9967
