engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w1,CTRL(s=0.0546)|hour==11,control,hour==11,0.05464,7241,96.1,1.0,1.0,1.0,6.367,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==12,natural,hour==12,0.15815,20958,175.4,0.9977,0.9967,0.9986,11.359,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.1581)|hour==12,control,hour==12,0.15815,20958,32.0,1.0,1.0,1.0,12.419,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==13,natural,hour==13,0.04921,6522,1000.0,0.9989,0.9982,0.9995,9.851,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0492)|hour==13,control,hour==13,0.04921,6522,105.9,0.9999,0.9997,1.0,11.859,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==14,natural,hour==14,0.0449,5950,1000.0,0.9977,0.9967,0.9986,7.029,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0449)|hour==14,control,hour==14,0.0449,5950,116.5,0.9997,0.9993,1.0,6.864,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==16,natural,hour==16,0.03445,4565,1000.0,0.9984,0.9976,0.9991,5.745,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0344)|hour==16,control,hour==16,0.03445,4565,148.7,1.0,1.0,1.0,6.393,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==17,natural,hour==17,0.12603,16702,218.4,0.9985,0.9977,0.9992,9.431,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.1260)|hour==17,control,hour==17,0.12603,16702,40.2,0.9998,0.9995,1.0,8.459,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==18,natural,hour==18,0.04525,5996,768.0,0.9986,0.9978,0.9993,5.589,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0452)|hour==18,control,hour==18,0.04525,5996,117.1,1.0,1.0,1.0,6.329,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,hour==19,natural,hour==19,0.08022,10631,1000.0,0.9984,0.9976,0.9991,6.85,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0802)|hour==19,control,hour==19,0.08022,10631,65.5,0.9999,0.9997,1.0,7.199,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"hour in [06,18] (daytime)",composite,"hour in [06,18] (daytime)",0.7737,102532,4.5,0.9984,0.9976,0.9991,3.935,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,"hour in [06,18] (daytime)",0.7737,102532,5.9,0.9986,0.9978,0.9993,4.021,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"hour in [11,14] (midday)",composite,"hour in [11,14] (midday)",0.3069,40671,80.8,0.9335,0.919,0.9473,4.275,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"CTRL(s=0.3069)|hour in [11,14] (midday)",control,"hour in [11,14] (midday)",0.3069,40671,16.4,0.9872,0.9838,0.9902,4.401,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"hour in [17,19] (evening peak)",composite,"hour in [17,19] (evening peak)",0.2515,33329,123.5,0.9984,0.9976,0.9992,13.514,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,"hour in [17,19] (evening peak)",0.2515,33329,20.2,0.9997,0.9993,1.0,15.789,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location in top-5,composite,location in top-5,0.26776,35484,830.5,0.997,0.9959,0.998,17.586,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.2678)|location in top-5,control,location in top-5,0.26776,35484,18.6,0.9997,0.9993,1.0,16.561,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,date in 2020-09,composite,date in 2020-09,0.32112,42555,1000.0,0.9708,0.9658,0.9755,6.106,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.3211)|date in 2020-09,control,date in 2020-09,0.32112,42555,15.5,0.9848,0.9816,0.9877,3.631,40000,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==BC2000801,natural,location==BC2000801,0.08644,11455,1000.0,0.9634,0.9574,0.9691,3.971,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0864)|location==BC2000801,control,location==BC2000801,0.08644,11455,61.0,0.9558,0.9503,0.9609,4.091,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==중동사거리,natural,location==중동사거리,0.04851,6429,1000.0,0.8852,0.8695,0.901,4.252,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
