query_id,category,document,split,view,budget,selected_chunks,prompt_chars,hit,coverage,precision,evidence_f1,sufficient,gold_chars,retrieved_union_chars,overlap_chars
2,contractnli,contractnli/INFOMAGNET%20NDA.txt,dev,naive512,4096,8,4096,1.0,0.31496062992125984,0.029296875,0.05360732633459906,0.0,381.0,4096.0,120.0
2,contractnli,contractnli/INFOMAGNET%20NDA.txt,dev,naive512,8192,16,8190,1.0,1.0,0.04652014652014652,0.08890444522226111,1.0,381.0,8190.0,381.0
2,contractnli,contractnli/INFOMAGNET%20NDA.txt,dev,rcts512,2048,10,1996,1.0,0.31496062992125984,0.06012024048096192,0.10096760622633572,0.0,381.0,1996.0,120.0
2,contractnli,contractnli/INFOMAGNET%20NDA.txt,dev,rcts512,4096,15,4087,1.0,0.994750656167979,0.09273305603131882,0.16965085049239034,1.0,381.0,4087.0,379.0
2,contractnli,contractnli/INFOMAGNET%20NDA.txt,dev,rcts512,8192,25,8098,1.0,1.0,0.04704865398863917,0.08986908833588866,1.0,381.0,8098.0,381.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive1024,2048,2,2048,0.0,0.0,0.0,0.0,0.0,570.0,2048.0,0.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive1024,4096,4,4096,0.0,0.0,0.0,0.0,0.0,570.0,4096.0,0.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive1024,8192,8,8189,1.0,0.8912280701754386,0.06203443643912566,0.11599497659550177,0.0,570.0,8189.0,508.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive256,2048,8,2045,1.0,0.5666666666666667,0.15794621026894864,0.24703632887189295,0.0,570.0,2045.0,323.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive256,4096,16,4092,1.0,0.6754385964912281,0.09408602150537634,0.16516516516516516,0.0,570.0,4092.0,385.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive256,8192,32,8184,1.0,0.9982456140350877,0.06952590420332355,0.12999771533013477,1.0,570.0,8184.0,569.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive512,2048,4,2046,1.0,0.5666666666666667,0.15786901270772238,0.24694189602446484,0.0,570.0,2046.0,323.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive512,4096,8,4093,1.0,0.6754385964912281,0.09406303444905936,0.1651297447994853,0.0,570.0,4093.0,385.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,naive512,8192,16,8186,1.0,0.9982456140350877,0.0695089176643049,0.1299680219278209,1.0,570.0,8186.0,569.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,rcts512,2048,10,2020,1.0,0.9859649122807017,0.27821782178217824,0.433976833976834,1.0,570.0,2020.0,562.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,rcts512,4096,15,4075,1.0,0.9964912280701754,0.13938650306748465,0.24456404736275564,1.0,570.0,4075.0,568.0
3,contractnli,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,dev,rcts512,8192,27,8121,1.0,1.0,0.07018840044329516,0.13117017604418366,1.0,570.0,8121.0,570.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive1024,2048,2,1705,0.0,0.0,0.0,0.0,0.0,389.0,1705.0,0.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive1024,4096,4,3753,1.0,1.0,0.10365041300293099,0.18783196523418638,1.0,389.0,3753.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive1024,8192,8,7847,1.0,1.0,0.04957308525551166,0.09446333171442449,1.0,389.0,7847.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive256,2048,8,2048,1.0,1.0,0.18994140625,0.3192449733278621,1.0,389.0,2048.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive256,4096,16,4094,1.0,1.0,0.09501709819247679,0.17354450144992192,1.0,389.0,4094.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive256,8192,31,7839,1.0,1.0,0.04962367648934813,0.09455517744287797,1.0,389.0,7839.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive512,2048,4,2046,1.0,1.0,0.19012707722385142,0.3195071868583162,1.0,389.0,2046.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive512,4096,8,4092,1.0,1.0,0.09506353861192571,0.17362195938406608,1.0,389.0,4092.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,naive512,8192,16,7843,1.0,1.0,0.0495983679714395,0.0945092322643343,1.0,389.0,7843.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,rcts512,2048,9,2017,1.0,1.0,0.19286068418443233,0.32335827098919373,1.0,389.0,2017.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,rcts512,4096,16,4028,1.0,1.0,0.09657398212512414,0.17613764998868012,1.0,389.0,4028.0,389.0
4,contractnli,contractnli/Evelozcity%20OESA%20NDA.txt,holdout,rcts512,8192,28,7850,1.0,1.0,0.049554140127388534,0.09442893555043089,1.0,389.0,7850.0,389.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive1024,2048,2,2048,1.0,1.0,0.08935546875,0.1640519946212461,1.0,183.0,2048.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive1024,4096,5,4096,1.0,1.0,0.044677734375,0.08553400327179247,1.0,183.0,4096.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive1024,8192,7,6144,1.0,1.0,0.02978515625,0.057847321005215745,1.0,183.0,6144.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive256,2048,9,2044,1.0,0.8688524590163934,0.07778864970645792,0.14279299506061965,0.0,183.0,2044.0,159.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive256,4096,17,4090,1.0,0.994535519125683,0.04449877750611247,0.08518605195413058,1.0,183.0,4090.0,182.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive256,8192,25,6137,1.0,0.994535519125683,0.029656183803161155,0.057594936708860754,1.0,183.0,6137.0,182.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive512,2048,5,2047,1.0,1.0,0.0893991206643869,0.16412556053811658,1.0,183.0,2047.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive512,4096,9,4095,1.0,1.0,0.04468864468864469,0.08555399719495091,1.0,183.0,4095.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,naive512,8192,13,6142,1.0,1.0,0.029794855096059916,0.05786561264822135,1.0,183.0,6142.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,rcts512,2048,7,2046,1.0,1.0,0.08944281524926687,0.16419919246298792,1.0,183.0,2046.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,rcts512,4096,13,4087,1.0,1.0,0.04477611940298507,0.08571428571428572,1.0,183.0,4087.0,183.0
5,contractnli,contractnli/NU%20Confidentiality%20Non-Disclosure%20%20Information%20Security%20Agreement%20Final%20....txt,dev,rcts512,8192,19,6146,1.0,1.0,0.029775463716238203,0.05782904092273661,1.0,183.0,6146.0,183.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive1024,2048,2,2048,0.0,0.0,0.0,0.0,0.0,841.0,2048.0,0.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive1024,4096,4,4096,1.0,0.7919143876337693,0.16259765625,0.2697994733643913,0.0,841.0,4096.0,666.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive1024,8192,8,8190,1.0,1.0,0.10268620268620268,0.18624737016941642,1.0,841.0,8190.0,841.0
