method,n_pairs,ctrl_minus_real,ci,p,p_holm,sig
prefilter_flat,25,0.0,"[0.000,0.000]",,,"(Δ≡0, no test)"
prefilter_hnsw_ef64,25,0.0035,"[0.002,0.006]",8.857457687860837e-05,8.857457687860837e-05,✓
postfilter_hnsw_K4x,25,0.289,"[0.219,0.359]",1.2290322210173343e-05,4.9161288840693373e-05,✓
single_stage_ivf_batch_np8,25,0.2173,"[0.144,0.294]",2.5431964463029644e-05,7.629589338908893e-05,✓
single_stage_ivf_batch_np32,25,0.1155,"[0.072,0.159]",2.7015948487196795e-05,7.629589338908893e-05,✓
