predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
date==20200915,natural,0.04934,6538,1000.0,postfilter_hnsw_K1x,0.2372,0.212,0.2636,0.0705,0.069,0.0714,0.0906,0.0882,0.0918,0.1019,,,,203.0,False
date==20200915,natural,0.04934,6538,1000.0,postfilter_hnsw_K2x,0.2569,0.2319,0.2831,0.0936,0.091,0.0956,0.1234,0.1202,0.1284,0.1395,,,,406.0,False
date==20200915,natural,0.04934,6538,1000.0,postfilter_hnsw_K4x,0.2693,0.2444,0.2945,0.1139,0.111,0.1167,0.1476,0.1428,0.1505,0.1671,,,,812.0,False
date==20200915,natural,0.04934,6538,1000.0,prefilter_hnsw_ef64,0.9939,0.9921,0.9955,0.0396,0.039,0.0404,0.0481,0.0472,0.0492,0.0516,0.859,,,,
date==20200915,natural,0.04934,6538,1000.0,prefilter_flat,1.0,1.0,1.0,0.4993,0.4982,0.5008,0.6232,0.6069,0.651,0.6953,0.002,,,,
date==20200915,natural,0.04934,6538,1000.0,single_stage_ivf_batch_np8,0.2718,0.2456,0.2993,0.0624,0.0621,0.0626,0.082,0.0801,0.083,0.0909,,0.41,,,
date==20200915,natural,0.04934,6538,1000.0,single_stage_ivf_batch_np32,0.3652,0.3371,0.3936,0.0733,0.0727,0.0739,0.1339,0.1306,0.1371,0.1627,,0.41,,,
date==20200915,natural,0.04934,6538,1000.0,single_stage_ivf_batch_np128,0.7027,0.6781,0.7268,0.1206,0.1163,0.1251,0.3578,0.3489,0.3721,0.4336,,0.41,True,,
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,single_stage_ivf_batch_np8,0.9634,0.9579,0.9685,0.0672,0.067,0.0673,0.0721,0.0714,0.0728,0.0753,,0.51,,,
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,single_stage_ivf_batch_np32,0.9984,0.9974,0.9992,0.0937,0.0932,0.0939,0.1019,0.1011,0.1031,0.1113,,0.51,,,
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0338,0.0333,0.0348,0.0472,0.0462,0.0491,0.0523,0.955,,,,
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,postfilter_hnsw_K1x,0.8436,0.8334,0.854,0.0733,0.0717,0.0743,0.0935,0.0916,0.0954,0.105,,,,203.0,False
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,postfilter_hnsw_K4x,0.8943,0.8867,0.9019,0.1175,0.1144,0.1199,0.1542,0.1486,0.1609,0.168,,,,812.0,False
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,prefilter_flat,1.0,1.0,1.0,0.5031,0.5022,0.505,0.6131,0.6053,0.635,0.6792,0.002,,,,
CTRL(s=0.0493)|date==20200915,control,0.04934,6538,105.8,postfilter_hnsw_K2x,0.8943,0.8865,0.902,0.0924,0.0894,0.0942,0.1221,0.1189,0.1262,0.1338,,,,406.0,False
hour==01,natural,0.02637,3494,1000.0,postfilter_hnsw_K2x,0.1484,0.13,0.1669,0.1114,0.1087,0.1131,0.1453,0.1398,0.1533,0.1669,,,,760.0,False
hour==01,natural,0.02637,3494,1000.0,prefilter_flat,1.0,1.0,1.0,0.1935,0.193,0.194,0.2561,0.2384,0.2711,0.3498,0.001,,,,
hour==01,natural,0.02637,3494,1000.0,postfilter_hnsw_K4x,0.1486,0.1301,0.1672,0.137,0.1345,0.1421,0.1773,0.1726,0.182,0.2074,,,,1520.0,False
hour==01,natural,0.02637,3494,1000.0,prefilter_hnsw_ef64,0.9886,0.9857,0.9912,0.0291,0.028,0.0296,0.0382,0.0373,0.039,0.0435,0.348,,,,
hour==01,natural,0.02637,3494,1000.0,single_stage_ivf_batch_np8,0.1669,0.1449,0.1902,0.0599,0.0598,0.06,0.0732,0.0702,0.0757,0.0839,,0.26,,,
hour==01,natural,0.02637,3494,1000.0,single_stage_ivf_batch_np32,0.3601,0.3315,0.3899,0.0707,0.0703,0.0711,0.1145,0.1053,0.1195,0.1292,,0.26,,,
hour==01,natural,0.02637,3494,1000.0,single_stage_ivf_batch_np128,0.7382,0.7121,0.7639,0.1207,0.1172,0.1245,0.2377,0.2296,0.2495,0.2873,,0.26,True,,
hour==01,natural,0.02637,3494,1000.0,postfilter_hnsw_K1x,0.1321,0.1142,0.1509,0.0924,0.0901,0.0945,0.1218,0.1186,0.1285,0.1414,,,,380.0,False
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0333,0.0328,0.0338,0.0433,0.0426,0.0441,0.0467,0.399,,,,
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,postfilter_hnsw_K4x,0.72,0.7077,0.7318,0.1392,0.137,0.1446,0.1846,0.1786,0.1897,0.1989,,,,1520.0,False
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,postfilter_hnsw_K2x,0.72,0.708,0.7316,0.1142,0.1113,0.1171,0.1482,0.1446,0.1541,0.1727,,,,760.0,False
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,postfilter_hnsw_K1x,0.7152,0.7032,0.7269,0.0931,0.0907,0.0954,0.1229,0.1202,0.1265,0.1361,,,,380.0,False
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,single_stage_ivf_batch_np8,0.9168,0.9087,0.9247,0.0647,0.0646,0.0649,0.0679,0.0674,0.0688,0.0723,,0.31,,,
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,single_stage_ivf_batch_np32,0.9968,0.9955,0.9979,0.0841,0.0837,0.0844,0.0903,0.0891,0.0917,0.0959,,0.31,,,
CTRL(s=0.0264)|hour==01,control,0.02637,3494,197.4,prefilter_flat,1.0,1.0,1.0,0.1963,0.1957,0.1969,0.2604,0.2499,0.2743,0.2963,0.001,,,,
hour==02,natural,0.06573,8711,1000.0,prefilter_flat,1.0,1.0,1.0,0.7562,0.7536,0.7599,0.8673,0.8355,0.8969,0.961,0.005,,,,
hour==02,natural,0.06573,8711,1000.0,single_stage_ivf_batch_np8,0.2243,0.1993,0.2491,0.06,0.0599,0.0601,0.0853,0.0755,0.091,0.1293,,0.54,,,
hour==02,natural,0.06573,8711,1000.0,single_stage_ivf_batch_np32,0.4606,0.4308,0.4888,0.0717,0.0711,0.0725,0.1924,0.1493,0.2098,0.2635,,0.54,,,
hour==02,natural,0.06573,8711,1000.0,single_stage_ivf_batch_np128,0.8525,0.8331,0.8726,0.1293,0.1235,0.134,0.3932,0.3576,0.4209,0.4542,,0.54,True,,
hour==02,natural,0.06573,8711,1000.0,postfilter_hnsw_K2x,0.1766,0.1555,0.1984,0.0843,0.0822,0.0857,0.1088,0.1058,0.1124,0.1211,,,,306.0,False
hour==02,natural,0.06573,8711,1000.0,postfilter_hnsw_K4x,0.2082,0.1869,0.2297,0.103,0.1007,0.1057,0.141,0.1352,0.1449,0.1595,,,,612.0,False
hour==02,natural,0.06573,8711,1000.0,postfilter_hnsw_K1x,0.1337,0.1145,0.1542,0.0624,0.0613,0.0635,0.0797,0.0781,0.0825,0.0899,,,,153.0,False
hour==02,natural,0.06573,8711,1000.0,prefilter_hnsw_ef64,0.9942,0.9919,0.9962,0.0321,0.0315,0.0329,0.0434,0.0421,0.0454,0.0479,1.164,,,,
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,postfilter_hnsw_K2x,0.9418,0.9357,0.9477,0.0848,0.0831,0.0868,0.1103,0.1074,0.1127,0.1253,,,,306.0,False
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,single_stage_ivf_batch_np8,0.9742,0.9696,0.9785,0.0671,0.0668,0.0674,0.0725,0.0719,0.0732,0.0757,,0.63,,,
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,single_stage_ivf_batch_np32,0.9984,0.9974,0.9992,0.0992,0.0987,0.0999,0.1093,0.1076,0.112,0.1228,,0.63,,,
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,postfilter_hnsw_K1x,0.86,0.849,0.8705,0.0637,0.0623,0.0647,0.0821,0.08,0.0844,0.0956,,,,153.0,False
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0343,0.0334,0.0354,0.0476,0.0468,0.0489,0.0517,1.349,,,,
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,prefilter_flat,1.0,1.0,1.0,0.7482,0.7471,0.7491,0.7981,0.7906,0.8369,0.881,0.002,,,,
CTRL(s=0.0657)|hour==02,control,0.06573,8711,81.2,postfilter_hnsw_K4x,0.9418,0.9358,0.9478,0.1031,0.1001,0.1054,0.1397,0.1342,0.1468,0.1573,,,,612.0,False
hour==05,natural,0.05311,7038,1000.0,prefilter_flat,1.0,1.0,1.0,0.5622,0.5613,0.5634,0.6536,0.6374,0.666,0.7178,0.002,,,,
hour==05,natural,0.05311,7038,1000.0,postfilter_hnsw_K1x,0.2019,0.1796,0.2256,0.0688,0.0669,0.0697,0.0875,0.0859,0.0903,0.1002,,,,189.0,False
hour==05,natural,0.05311,7038,1000.0,single_stage_ivf_batch_np8,0.3378,0.3111,0.3662,0.06,0.0597,0.0603,0.076,0.0743,0.0795,0.0888,,0.44,,,
hour==05,natural,0.05311,7038,1000.0,single_stage_ivf_batch_np32,0.5577,0.5279,0.5863,0.0767,0.0737,0.0799,0.1243,0.1198,0.127,0.1351,,0.44,,,
hour==05,natural,0.05311,7038,1000.0,single_stage_ivf_batch_np128,0.8972,0.8823,0.9118,0.1696,0.1628,0.1752,0.2984,0.2863,0.3102,0.3418,,0.44,True,,
hour==05,natural,0.05311,7038,1000.0,postfilter_hnsw_K2x,0.2745,0.2507,0.2993,0.0909,0.0888,0.0931,0.1204,0.1162,0.1239,0.1336,,,,378.0,False
hour==05,natural,0.05311,7038,1000.0,prefilter_hnsw_ef64,0.9871,0.9836,0.9902,0.035,0.0341,0.0363,0.0472,0.046,0.048,0.0504,0.864,,,,
hour==05,natural,0.05311,7038,1000.0,postfilter_hnsw_K4x,0.2893,0.2653,0.3129,0.1115,0.109,0.1134,0.1462,0.14,0.1505,0.1633,,,,756.0,False
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,prefilter_flat,1.0,1.0,1.0,0.5671,0.5653,0.5691,0.6801,0.6631,0.6918,0.7809,0.002,,,,
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0346,0.0337,0.0351,0.0466,0.0456,0.0475,0.0507,1.017,,,,
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,single_stage_ivf_batch_np8,0.9665,0.961,0.9717,0.0677,0.0675,0.068,0.0744,0.0734,0.076,0.0798,,0.55,,,
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,single_stage_ivf_batch_np32,0.9986,0.9977,0.9994,0.0949,0.0945,0.0955,0.1058,0.104,0.1079,0.1172,,0.55,,,
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,postfilter_hnsw_K4x,0.9102,0.9029,0.9174,0.1145,0.1126,0.1165,0.1522,0.1463,0.1582,0.1692,,,,756.0,False
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,postfilter_hnsw_K1x,0.8547,0.8443,0.8654,0.0711,0.0704,0.0723,0.0913,0.089,0.0933,0.1052,,,,189.0,False
CTRL(s=0.0531)|hour==05,control,0.05311,7038,98.6,postfilter_hnsw_K2x,0.9102,0.903,0.9176,0.0932,0.0911,0.0951,0.1221,0.1187,0.1277,0.1399,,,,378.0,False
hour==06,natural,0.18291,24239,233.0,postfilter_hnsw_K4x,0.4878,0.4606,0.5147,0.0753,0.0742,0.0765,0.0973,0.0948,0.0996,0.1097,,,,220.0,False
hour==06,natural,0.18291,24239,233.0,postfilter_hnsw_K1x,0.2955,0.2696,0.3231,0.0475,0.0465,0.0481,0.0637,0.0622,0.0663,0.0735,,,,55.0,False
hour==06,natural,0.18291,24239,233.0,postfilter_hnsw_K2x,0.3777,0.3489,0.4056,0.0569,0.056,0.058,0.0754,0.0727,0.0789,0.0863,,,,110.0,False
hour==06,natural,0.18291,24239,233.0,prefilter_hnsw_ef64,0.9951,0.9932,0.9969,0.0357,0.0347,0.0366,0.052,0.0498,0.054,0.0599,4.224,,,,
hour==06,natural,0.18291,24239,233.0,prefilter_flat,1.0,1.0,1.0,2.3193,2.3148,2.3236,2.402,2.3886,2.4322,2.5273,0.018,,,,
hour==06,natural,0.18291,24239,233.0,single_stage_ivf_batch_np8,0.6736,0.648,0.6992,0.0688,0.0677,0.0699,0.1037,0.0957,0.1146,0.1307,,1.33,,,
hour==06,natural,0.18291,24239,233.0,single_stage_ivf_batch_np32,0.9468,0.9365,0.9567,0.1053,0.1017,0.1087,0.2162,0.1807,0.2474,0.2827,,1.33,,,
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,prefilter_flat,1.0,1.0,1.0,2.3077,2.3047,2.3114,2.3874,2.3729,2.4092,2.4737,0.019,,,,
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,postfilter_hnsw_K2x,0.9968,0.9953,0.9981,0.0562,0.0552,0.0571,0.0726,0.071,0.0747,0.083,,,,110.0,False
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,postfilter_hnsw_K4x,0.9972,0.9958,0.9984,0.0744,0.0729,0.0756,0.0955,0.093,0.0983,0.109,,,,220.0,False
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0353,0.0344,0.0361,0.0509,0.0498,0.0534,0.0562,4.761,,,,
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,postfilter_hnsw_K1x,0.8844,0.8739,0.8946,0.0478,0.0467,0.0485,0.0638,0.0616,0.0661,0.0735,,,,55.0,False
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,single_stage_ivf_batch_np8,0.9908,0.9882,0.9933,0.077,0.0766,0.0776,0.0894,0.0875,0.0901,0.0973,,1.74,,,
CTRL(s=0.1829)|hour==06,control,0.18291,24239,28.5,single_stage_ivf_batch_np32,0.9996,0.9992,0.9999,0.1426,0.1417,0.1435,0.1738,0.1665,0.186,0.2065,,1.74,,,
hour==07,natural,0.0474,6281,1000.0,single_stage_ivf_batch_np8,0.3657,0.3378,0.3948,0.0625,0.0621,0.0629,0.0787,0.076,0.0807,0.085,,0.45,,,
hour==07,natural,0.0474,6281,1000.0,single_stage_ivf_batch_np32,0.5066,0.4785,0.5344,0.0752,0.0735,0.0775,0.1195,0.1168,0.1236,0.1328,,0.45,,,
hour==07,natural,0.0474,6281,1000.0,single_stage_ivf_batch_np128,0.8366,0.8167,0.8564,0.1547,0.1452,0.1615,0.279,0.2712,0.2849,0.3231,,0.45,True,,
hour==07,natural,0.0474,6281,1000.0,prefilter_flat,1.0,1.0,1.0,0.4756,0.4752,0.4771,0.5607,0.5516,0.5696,0.625,0.002,,,,
hour==07,natural,0.0474,6281,1000.0,prefilter_hnsw_ef64,0.9883,0.9856,0.9909,0.0391,0.0383,0.0398,0.0487,0.0478,0.0497,0.0536,0.829,,,,
hour==07,natural,0.0474,6281,1000.0,postfilter_hnsw_K2x,0.3167,0.2898,0.3426,0.096,0.0935,0.0985,0.1272,0.1252,0.1303,0.1429,,,,422.0,False
hour==07,natural,0.0474,6281,1000.0,postfilter_hnsw_K4x,0.3303,0.3044,0.3561,0.1182,0.1156,0.1211,0.1544,0.1497,0.1571,0.1696,,,,844.0,False
hour==07,natural,0.0474,6281,1000.0,postfilter_hnsw_K1x,0.2761,0.2495,0.3022,0.0741,0.0726,0.0752,0.0943,0.0924,0.0971,0.1065,,,,211.0,False
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,postfilter_hnsw_K4x,0.8896,0.8818,0.8975,0.119,0.1164,0.1214,0.1545,0.1489,0.1585,0.1708,,,,844.0,False
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,postfilter_hnsw_K1x,0.8439,0.8334,0.8542,0.0744,0.0728,0.0756,0.0942,0.0921,0.0972,0.1074,,,,211.0,False
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,prefilter_flat,1.0,1.0,1.0,0.4818,0.4804,0.4836,0.5816,0.5691,0.5873,0.6282,0.002,,,,
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,single_stage_ivf_batch_np8,0.9597,0.9537,0.9652,0.0645,0.0643,0.0647,0.0692,0.0685,0.0696,0.0749,,0.5,,,
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,single_stage_ivf_batch_np32,0.998,0.997,0.9989,0.0893,0.0889,0.0897,0.0977,0.0965,0.0995,0.1099,,0.5,,,
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,prefilter_hnsw_ef64,0.9998,0.9995,1.0,0.0327,0.0317,0.0336,0.0435,0.0429,0.045,0.0476,0.836,,,,
CTRL(s=0.0474)|hour==07,control,0.0474,6281,110.8,postfilter_hnsw_K2x,0.8896,0.8812,0.8976,0.0934,0.0905,0.0959,0.1257,0.1218,0.1283,0.1369,,,,422.0,False
hour==08,natural,0.02978,3947,1000.0,prefilter_hnsw_ef64,0.9975,0.9964,0.9984,0.0346,0.0342,0.0352,0.0432,0.0423,0.0442,0.047,0.439,,,,
hour==08,natural,0.02978,3947,1000.0,prefilter_flat,1.0,1.0,1.0,0.2205,0.2201,0.2212,0.3076,0.2964,0.3212,0.336,0.001,,,,
hour==08,natural,0.02978,3947,1000.0,postfilter_hnsw_K2x,0.291,0.2676,0.3165,0.1064,0.1042,0.1088,0.1428,0.1374,0.1498,0.1576,,,,672.0,False
hour==08,natural,0.02978,3947,1000.0,single_stage_ivf_batch_np8,0.3423,0.3157,0.3686,0.0607,0.0604,0.0609,0.0726,0.0718,0.0741,0.0786,,0.3,,,
hour==08,natural,0.02978,3947,1000.0,single_stage_ivf_batch_np32,0.4988,0.4709,0.5264,0.0726,0.0717,0.0744,0.1081,0.1032,0.1114,0.1171,,0.3,,,
hour==08,natural,0.02978,3947,1000.0,single_stage_ivf_batch_np128,0.8205,0.8008,0.8398,0.1352,0.1289,0.141,0.2208,0.2155,0.2266,0.2587,,0.3,True,,
hour==08,natural,0.02978,3947,1000.0,postfilter_hnsw_K4x,0.2921,0.2684,0.3168,0.1348,0.1325,0.1381,0.174,0.1687,0.18,0.1983,,,,1344.0,False
hour==08,natural,0.02978,3947,1000.0,postfilter_hnsw_K1x,0.2671,0.2432,0.2928,0.0888,0.0874,0.0913,0.1164,0.1146,0.1202,0.1294,,,,336.0,False
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,prefilter_hnsw_ef64,0.9997,0.9993,1.0,0.0333,0.0324,0.0343,0.0436,0.0427,0.0443,0.0467,0.469,,,,
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,postfilter_hnsw_K2x,0.7697,0.7584,0.7809,0.1091,0.1065,0.1117,0.1462,0.1406,0.1545,0.1632,,,,672.0,False
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,postfilter_hnsw_K4x,0.7697,0.7583,0.7808,0.1351,0.1324,0.1401,0.1736,0.1674,0.1791,0.1896,,,,1344.0,False
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,single_stage_ivf_batch_np8,0.9338,0.9265,0.9411,0.0652,0.0651,0.0654,0.069,0.0683,0.0694,0.074,,0.34,,,
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,single_stage_ivf_batch_np32,0.9966,0.9952,0.9978,0.0859,0.0856,0.0861,0.091,0.0905,0.0926,0.0972,,0.34,,,
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,prefilter_flat,1.0,1.0,1.0,0.2273,0.2271,0.2276,0.3176,0.2982,0.3241,0.3538,0.001,,,,
CTRL(s=0.0298)|hour==08,control,0.02978,3947,173.2,postfilter_hnsw_K1x,0.7618,0.7504,0.7737,0.0892,0.0874,0.0918,0.1168,0.1135,0.1211,0.1315,,,,336.0,False
hour==11,natural,0.05464,7241,1000.0,single_stage_ivf_batch_np8,0.2489,0.2238,0.2747,0.0621,0.062,0.0622,0.0862,0.084,0.0934,0.1018,,0.46,,,
hour==11,natural,0.05464,7241,1000.0,single_stage_ivf_batch_np32,0.4392,0.4101,0.4689,0.0731,0.0727,0.0738,0.1358,0.1322,0.1451,0.1544,,0.46,,,
hour==11,natural,0.05464,7241,1000.0,single_stage_ivf_batch_np128,0.7998,0.779,0.8214,0.1369,0.1324,0.1444,0.3521,0.3302,0.3845,0.4267,,0.46,True,,
hour==11,natural,0.05464,7241,1000.0,prefilter_flat,1.0,1.0,1.0,0.5793,0.5777,0.581,0.6781,0.6606,0.6854,0.721,0.003,,,,
hour==11,natural,0.05464,7241,1000.0,postfilter_hnsw_K2x,0.219,0.1946,0.2428,0.0889,0.0868,0.0911,0.1159,0.1142,0.1204,0.1336,,,,368.0,False
hour==11,natural,0.05464,7241,1000.0,prefilter_hnsw_ef64,0.9824,0.9776,0.9868,0.0334,0.0326,0.0345,0.0435,0.0424,0.0441,0.046,0.866,,,,
hour==11,natural,0.05464,7241,1000.0,postfilter_hnsw_K1x,0.1925,0.1692,0.2164,0.0671,0.066,0.068,0.086,0.0835,0.0885,0.0971,,,,184.0,False
hour==11,natural,0.05464,7241,1000.0,postfilter_hnsw_K4x,0.2345,0.2108,0.2589,0.1089,0.107,0.1114,0.1462,0.1398,0.1518,0.1687,,,,736.0,False
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,postfilter_hnsw_K1x,0.864,0.8536,0.8737,0.0676,0.0667,0.069,0.0872,0.0847,0.0899,0.098,,,,184.0,False
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,prefilter_hnsw_ef64,0.9997,0.9993,1.0,0.0327,0.0318,0.0334,0.0459,0.0445,0.0469,0.0504,1.052,,,,
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,postfilter_hnsw_K2x,0.9164,0.9093,0.9237,0.0901,0.0881,0.0931,0.1177,0.1158,0.1218,0.1354,,,,368.0,False
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,prefilter_flat,1.0,1.0,1.0,0.5818,0.5806,0.5836,0.6758,0.661,0.6946,0.7389,0.002,,,,
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,single_stage_ivf_batch_np8,0.9661,0.9607,0.9712,0.068,0.0677,0.0682,0.0747,0.0739,0.0764,0.0799,,0.56,,,
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,single_stage_ivf_batch_np32,0.9985,0.9976,0.9993,0.0959,0.0954,0.0964,0.1071,0.1052,0.11,0.1233,,0.56,,,
CTRL(s=0.0546)|hour==11,control,0.05464,7241,93.2,postfilter_hnsw_K4x,0.9164,0.9091,0.9235,0.1139,0.1106,0.1162,0.1484,0.1439,0.1554,0.1711,,,,736.0,False
hour==12,natural,0.15815,20958,175.4,postfilter_hnsw_K1x,0.3697,0.3421,0.3983,0.0485,0.0475,0.0495,0.0647,0.063,0.0664,0.073,,,,64.0,False
hour==12,natural,0.15815,20958,175.4,single_stage_ivf_batch_np8,0.5912,0.5628,0.6204,0.0693,0.067,0.0707,0.1265,0.1126,0.1349,0.1869,,1.33,,,
hour==12,natural,0.15815,20958,175.4,single_stage_ivf_batch_np32,0.7379,0.7119,0.764,0.1059,0.1019,0.1089,0.295,0.2803,0.3118,0.3443,,1.33,,,
hour==12,natural,0.15815,20958,175.4,single_stage_ivf_batch_np128,0.9369,0.9241,0.949,0.2932,0.2791,0.3054,0.7134,0.6984,0.7215,0.7718,,1.33,True,,
hour==12,natural,0.15815,20958,175.4,prefilter_hnsw_ef64,0.9763,0.9695,0.9824,0.0364,0.0356,0.0374,0.0502,0.0487,0.0521,0.0566,3.572,,,,
hour==12,natural,0.15815,20958,175.4,postfilter_hnsw_K4x,0.519,0.4904,0.5477,0.077,0.0757,0.0784,0.0981,0.0966,0.1025,0.1145,,,,256.0,False
hour==12,natural,0.15815,20958,175.4,postfilter_hnsw_K2x,0.4549,0.4255,0.4833,0.0573,0.0561,0.0585,0.0745,0.0722,0.0768,0.0843,,,,128.0,False
hour==12,natural,0.15815,20958,175.4,prefilter_flat,1.0,1.0,1.0,2.0174,2.0111,2.0263,2.1138,2.0979,2.1508,2.2453,0.016,,,,
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,prefilter_flat,1.0,1.0,1.0,1.9888,1.9848,1.993,2.0495,2.0385,2.0631,2.1117,0.016,,,,
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,single_stage_ivf_batch_np8,0.9885,0.9856,0.9913,0.0741,0.0737,0.0745,0.0842,0.0829,0.0847,0.0882,,1.57,,,
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,single_stage_ivf_batch_np32,0.9993,0.9987,0.9997,0.1302,0.1291,0.131,0.1496,0.1467,0.1578,0.1683,,1.57,,,
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,postfilter_hnsw_K1x,0.8969,0.8877,0.9065,0.0472,0.0463,0.0482,0.0628,0.0614,0.0645,0.072,,,,64.0,False
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,postfilter_hnsw_K2x,0.9949,0.9932,0.9965,0.0586,0.0575,0.0594,0.076,0.0737,0.0793,0.0876,,,,128.0,False
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,postfilter_hnsw_K4x,0.9951,0.9934,0.9966,0.0788,0.077,0.0804,0.1006,0.0973,0.1041,0.1167,,,,256.0,False
CTRL(s=0.1581)|hour==12,control,0.15815,20958,32.3,prefilter_hnsw_ef64,0.9997,0.9993,1.0,0.0348,0.0341,0.0355,0.0512,0.0498,0.0525,0.0555,4.048,,,,
hour==13,natural,0.04921,6522,1000.0,postfilter_hnsw_K2x,0.3343,0.308,0.361,0.0929,0.0911,0.0956,0.1241,0.1202,0.1267,0.1356,,,,408.0,False
hour==13,natural,0.04921,6522,1000.0,postfilter_hnsw_K4x,0.3474,0.3203,0.3745,0.1161,0.1134,0.1189,0.1525,0.1493,0.1588,0.1688,,,,816.0,False
hour==13,natural,0.04921,6522,1000.0,prefilter_flat,1.0,1.0,1.0,0.5079,0.5065,0.5093,0.6089,0.59,0.6238,0.7004,0.002,,,,
hour==13,natural,0.04921,6522,1000.0,prefilter_hnsw_ef64,0.994,0.9909,0.9966,0.0364,0.0356,0.0373,0.0471,0.0462,0.0484,0.0529,0.859,,,,
hour==13,natural,0.04921,6522,1000.0,postfilter_hnsw_K1x,0.3061,0.2793,0.3333,0.0724,0.071,0.0739,0.0928,0.0915,0.0953,0.1044,,,,204.0,False
hour==13,natural,0.04921,6522,1000.0,single_stage_ivf_batch_np8,0.3571,0.3291,0.3863,0.0628,0.0624,0.0632,0.0825,0.0801,0.0853,0.0908,,0.47,,,
hour==13,natural,0.04921,6522,1000.0,single_stage_ivf_batch_np32,0.5283,0.4998,0.5578,0.0758,0.0744,0.0788,0.1399,0.1331,0.145,0.1582,,0.47,,,
hour==13,natural,0.04921,6522,1000.0,single_stage_ivf_batch_np128,0.8215,0.7989,0.8428,0.1478,0.1401,0.1575,0.3558,0.3449,0.3775,0.4268,,0.47,True,,
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,postfilter_hnsw_K4x,0.8972,0.8896,0.9048,0.1168,0.1134,0.1188,0.1518,0.1462,0.1557,0.1725,,,,816.0,False
