predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
location==원골네거리,natural,0.04678,6199,1000.0,prefilter_hnsw_ef64,0.9826,0.9793,0.9856,0.0369,0.0364,0.0378,0.0468,0.046,0.0476,0.0515,0.755,,,,
location==원골네거리,natural,0.04678,6199,1000.0,postfilter_hnsw_K1x,0.0983,0.082,0.1153,0.0723,0.0709,0.0736,0.0927,0.0903,0.0946,0.1046,,,,214.0,False
location==원골네거리,natural,0.04678,6199,1000.0,postfilter_hnsw_K4x,0.1319,0.1143,0.1499,0.1151,0.1132,0.1177,0.1484,0.1453,0.154,0.1656,,,,856.0,False
location==원골네거리,natural,0.04678,6199,1000.0,prefilter_flat,1.0,1.0,1.0,0.4635,0.4611,0.468,0.5746,0.5618,0.5822,0.641,0.001,,,,
location==원골네거리,natural,0.04678,6199,1000.0,single_stage_ivf_batch_np8,0.1293,0.1108,0.149,0.0606,0.0604,0.0609,0.0872,0.0779,0.0961,0.1243,,0.38,,,
location==원골네거리,natural,0.04678,6199,1000.0,single_stage_ivf_batch_np32,0.2699,0.2446,0.2953,0.0716,0.0714,0.072,0.1838,0.1594,0.2078,0.2513,,0.38,,,
location==원골네거리,natural,0.04678,6199,1000.0,single_stage_ivf_batch_np128,0.5254,0.497,0.554,0.1128,0.1099,0.1169,0.573,0.5434,0.5986,0.6464,,0.38,True,,
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0345,0.0337,0.0353,0.0473,0.046,0.0482,0.0508,0.877,,,,
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,postfilter_hnsw_K4x,0.884,0.8757,0.8923,0.1198,0.1176,0.1227,0.156,0.1502,0.1593,0.1787,,,,856.0,False
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,postfilter_hnsw_K1x,0.8316,0.8206,0.8426,0.0753,0.074,0.0766,0.0966,0.0944,0.1004,0.1105,,,,214.0,False
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,postfilter_hnsw_K2x,0.884,0.8757,0.892,0.0973,0.0949,0.1001,0.1284,0.1258,0.1317,0.1429,,,,428.0,False
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,prefilter_flat,1.0,1.0,1.0,0.4775,0.4741,0.4807,0.5968,0.5789,0.6189,0.6658,0.002,,,,
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,single_stage_ivf_batch_np8,0.9611,0.9551,0.9667,0.0647,0.0645,0.0649,0.0696,0.0687,0.071,0.0749,,0.47,,,
CTRL(s=0.0468)|location==원골네거리,control,0.04678,6199,112.1,single_stage_ivf_batch_np32,0.9979,0.9969,0.9988,0.0889,0.0886,0.0893,0.0985,0.0975,0.1003,0.1125,,0.47,,,
location==연구단지네거리,natural,0.04417,5853,1000.0,postfilter_hnsw_K1x,0.0753,0.0604,0.0906,0.0736,0.0724,0.0748,0.0942,0.0923,0.0979,0.1095,,,,227.0,False
location==연구단지네거리,natural,0.04417,5853,1000.0,prefilter_hnsw_ef64,0.9902,0.9878,0.9924,0.0376,0.0372,0.0381,0.0463,0.0451,0.0475,0.0507,0.725,,,,
location==연구단지네거리,natural,0.04417,5853,1000.0,single_stage_ivf_batch_np8,0.0983,0.0821,0.1157,0.0592,0.0592,0.0593,0.0751,0.0642,0.1059,0.1391,,0.37,,,
location==연구단지네거리,natural,0.04417,5853,1000.0,single_stage_ivf_batch_np32,0.2535,0.2287,0.2776,0.0696,0.0694,0.0699,0.1256,0.1065,0.1696,0.2265,,0.37,,,
location==연구단지네거리,natural,0.04417,5853,1000.0,single_stage_ivf_batch_np128,0.5833,0.5558,0.6102,0.1152,0.1105,0.1195,0.3643,0.3278,0.4307,0.5159,,0.37,True,,
location==연구단지네거리,natural,0.04417,5853,1000.0,postfilter_hnsw_K2x,0.1167,0.0999,0.1344,0.0953,0.092,0.0972,0.1282,0.1253,0.132,0.143,,,,454.0,False
location==연구단지네거리,natural,0.04417,5853,1000.0,prefilter_flat,1.0,1.0,1.0,0.4203,0.4186,0.4223,0.5303,0.5221,0.5495,0.5786,0.001,,,,
