scoring,treatment,control,queries,pair_clusters,mean_delta_ndcg10,query_bootstrap_ci_lo,query_bootstrap_ci_hi,pair_cluster_bootstrap_ci_lo,pair_cluster_bootstrap_ci_hi,wilcoxon_p_two_sided,negative,zero,positive
strict,bm25_dose_1.00,bm25_dose_0.00,85,25,0.21846886806937504,0.16350933662100559,0.27658601825235973,0.15605414652136787,0.3131360533635839,5.812619143948268e-11,3,25,57
strict,bge_full_contamination,bge_clean_reembedded,85,25,0.19502815100080614,0.14440995131933643,0.24934782475799022,0.13417545268365266,0.28812534971453907,4.939123172362068e-10,4,31,50
semantic,bm25_dose_1.00,bm25_dose_0.00,85,25,0.6957263804398304,0.640215387881808,0.7492088068859033,0.5934009591930075,0.7904805314475818,1.2394379788906457e-15,1,0,84
semantic,bge_full_contamination,bge_clean_reembedded,85,25,0.6311076769137577,0.5802430843028482,0.6802918069870234,0.5358404650105257,0.7180698542876425,2.4907573351495072e-15,0,2,83
