predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.2034,0.1997,0.2081,0.2706,0.2585,0.3009,,,,23.86,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0464,0.0453,0.0477,0.0687,0.0637,0.077,58.0,False,,,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,prefilter_flat,1.0,1.0,1.0,4.9836,4.9629,5.0061,5.2727,5.182,5.4043,,,0.039,,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0577,0.0555,0.0588,0.0833,0.0768,0.0916,116.0,False,,,
time_of_day==evening,natural,0.29478,42398,621.8,postfilter_hnsw_K2x,0.3405,0.2735,0.406,0.049,0.0475,0.0506,0.0715,0.0683,0.0832,68.0,False,,,
time_of_day==evening,natural,0.29478,42398,621.8,prefilter_hnsw_ef64,0.9785,0.967,0.9875,0.0454,0.0429,0.0484,0.0681,0.0637,0.0718,,,9.951,,
time_of_day==evening,natural,0.29478,42398,621.8,prefilter_flat,1.0,1.0,1.0,4.1197,4.1076,4.1286,4.25,4.2177,4.2702,,,0.032,,
time_of_day==evening,natural,0.29478,42398,621.8,single_stage_ivf_batch_np8,0.4215,0.357,0.4885,0.0627,0.0618,0.0671,0.1243,0.1177,0.1324,,,,2.36,
time_of_day==evening,natural,0.29478,42398,621.8,single_stage_ivf_batch_np32,0.717,0.6615,0.772,0.095,0.0901,0.1031,0.4047,0.3637,0.4483,,,,2.36,
time_of_day==evening,natural,0.29478,42398,621.8,single_stage_ivf_batch_np128,0.987,0.979,0.994,0.3376,0.2819,0.4296,1.4554,1.3859,1.5364,,,,2.36,True
time_of_day==evening,natural,0.29478,42398,621.8,single_stage_ivf_bitmap_np32,0.717,0.663,0.7715,0.0918,0.0869,0.0979,0.3786,0.3459,0.4006,,,,20.23,
time_of_day==evening,natural,0.29478,42398,621.8,postfilter_hnsw_K4x,0.3465,0.2825,0.414,0.0608,0.0591,0.0621,0.0904,0.0817,0.0958,136.0,False,,,
time_of_day==evening,natural,0.29478,42398,621.8,postfilter_hnsw_K1x,0.3265,0.2645,0.3895,0.0452,0.0441,0.0465,0.0701,0.0623,0.0773,34.0,False,,,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0492,0.0479,0.0508,0.0731,0.0668,0.081,68.0,False,,,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0611,0.0599,0.0624,0.0879,0.082,0.0938,136.0,False,,,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,single_stage_ivf_batch_np8,0.9965,0.9925,0.9995,0.0883,0.0864,0.089,0.1062,0.0989,0.1081,,,,2.9,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,single_stage_ivf_batch_np32,0.9995,0.9985,1.0,0.2002,0.1951,0.2038,0.2596,0.2418,0.2722,,,,2.9,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,single_stage_ivf_bitmap_np32,0.9995,0.9985,1.0,0.1841,0.1791,0.1881,0.2326,0.2191,0.2576,,,,19.91,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,prefilter_flat,1.0,1.0,1.0,4.1117,4.1041,4.1191,4.2055,4.1887,4.2167,,,0.034,,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,postfilter_hnsw_K1x,0.897,0.8755,0.917,0.0459,0.0448,0.0473,0.0704,0.0647,0.0768,34.0,False,,,
CTRL(s=0.2948)|time_of_day==evening,control,0.29478,42398,18.0,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0407,0.0389,0.0427,0.0596,0.0562,0.067,,,11.95,,
sig_has_yellow==True,natural,0.62846,90392,8.1,postfilter_hnsw_K1x,0.7935,0.752,0.8345,0.043,0.0421,0.0443,0.0678,0.06,0.0738,16.0,False,,,
sig_has_yellow==True,natural,0.62846,90392,8.1,postfilter_hnsw_K4x,0.979,0.962,0.9935,0.0465,0.0456,0.0479,0.0694,0.0658,0.0789,64.0,False,,,
sig_has_yellow==True,natural,0.62846,90392,8.1,postfilter_hnsw_K2x,0.9195,0.889,0.9485,0.0441,0.0429,0.0452,0.0657,0.0627,0.0731,32.0,False,,,
sig_has_yellow==True,natural,0.62846,90392,8.1,prefilter_flat,1.0,1.0,1.0,8.9204,8.8938,8.9407,9.2118,9.1723,9.2691,,,0.069,,
