predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,postfilter_hnsw_K1x,0.8835,0.8605,0.9055,0.0453,0.0442,0.0468,0.0702,0.0642,0.0769,37.0,False,,,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,single_stage_ivf_batch_np8,0.997,0.993,0.9995,0.0858,0.0851,0.0871,0.1008,0.0983,0.1034,,,,2.38,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.194,0.1883,0.1987,0.2503,0.2365,0.2871,,,,2.38,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.1733,0.1693,0.1757,0.2108,0.2024,0.2275,,,,17.64,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,prefilter_hnsw_ef64,1.0,1.0,1.0,0.042,0.0406,0.0437,0.0655,0.0605,0.0691,,,10.894,,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,prefilter_flat,1.0,1.0,1.0,3.8505,3.8354,3.8673,3.9968,3.9717,4.0227,,,0.031,,
CTRL(s=0.2727)|veh_density_bin==mid,control,0.27268,39220,18.9,postfilter_hnsw_K4x,0.9985,0.996,1.0,0.0631,0.0616,0.0647,0.0949,0.0844,0.101,148.0,False,,,
veh_density_bin==high,natural,0.32931,47365,58.1,postfilter_hnsw_K1x,0.4555,0.392,0.5215,0.045,0.0437,0.0463,0.0695,0.0642,0.0777,31.0,False,,,
veh_density_bin==high,natural,0.32931,47365,58.1,prefilter_flat,1.0,1.0,1.0,4.6334,4.6238,4.648,4.8235,4.7832,4.8927,,,0.036,,
veh_density_bin==high,natural,0.32931,47365,58.1,prefilter_hnsw_ef64,0.993,0.9855,0.9985,0.0436,0.0417,0.0461,0.0626,0.06,0.0652,,,11.961,,
veh_density_bin==high,natural,0.32931,47365,58.1,single_stage_ivf_batch_np8,0.7975,0.7505,0.8425,0.0756,0.0716,0.0797,0.1382,0.1309,0.142,,,,2.48,
veh_density_bin==high,natural,0.32931,47365,58.1,single_stage_ivf_batch_np32,0.98,0.967,0.9905,0.1563,0.1459,0.1711,0.4144,0.4025,0.4401,,,,2.48,
veh_density_bin==high,natural,0.32931,47365,58.1,single_stage_ivf_bitmap_np32,0.98,0.968,0.9905,0.1406,0.1262,0.1584,0.3719,0.3618,0.3976,,,,21.64,
veh_density_bin==high,natural,0.32931,47365,58.1,postfilter_hnsw_K4x,0.583,0.52,0.644,0.0584,0.0571,0.06,0.0871,0.0779,0.092,124.0,False,,,
veh_density_bin==high,natural,0.32931,47365,58.1,postfilter_hnsw_K2x,0.5125,0.449,0.578,0.0473,0.0459,0.0485,0.0688,0.0654,0.0811,62.0,False,,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0408,0.0391,0.0424,0.0607,0.0562,0.0685,,,13.401,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,prefilter_flat,1.0,1.0,1.0,4.6528,4.6412,4.6648,4.8248,4.7843,4.9,,,0.037,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,postfilter_hnsw_K4x,1.0,1.0,1.0,0.06,0.0583,0.0615,0.0866,0.0804,0.0926,124.0,False,,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0483,0.047,0.0495,0.0737,0.0679,0.0799,62.0,False,,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,postfilter_hnsw_K1x,0.906,0.8865,0.9255,0.0457,0.0448,0.0473,0.0677,0.0641,0.0764,31.0,False,,,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,single_stage_ivf_batch_np8,0.997,0.993,1.0,0.0906,0.0893,0.0922,0.1091,0.1033,0.1128,,,,3.07,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.2215,0.2172,0.2281,0.2879,0.2718,0.2984,,,,3.07,
CTRL(s=0.3293)|veh_density_bin==high,control,0.32931,47365,16.2,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.1958,0.1911,0.1995,0.2521,0.2367,0.2813,,,,21.34,
hour==6,natural,0.06983,10043,188.9,single_stage_ivf_batch_np8,0.8695,0.833,0.9045,0.0658,0.0654,0.0666,0.0708,0.0699,0.0722,,,,0.57,
hour==6,natural,0.06983,10043,188.9,single_stage_ivf_batch_np32,0.972,0.9565,0.9845,0.0921,0.0905,0.093,0.1083,0.106,0.1114,,,,0.57,
hour==6,natural,0.06983,10043,188.9,prefilter_flat,1.0,1.0,1.0,0.8891,0.8862,0.8943,1.0013,0.9453,1.0264,,,0.003,,
hour==6,natural,0.06983,10043,188.9,postfilter_hnsw_K4x,0.687,0.6425,0.73,0.1011,0.0978,0.1052,0.1548,0.1443,0.1704,576.0,False,,,
hour==6,natural,0.06983,10043,188.9,prefilter_hnsw_ef64,0.9995,0.9985,1.0,0.0386,0.0373,0.0401,0.054,0.052,0.0555,,,1.803,,
hour==6,natural,0.06983,10043,188.9,postfilter_hnsw_K2x,0.6225,0.5725,0.6725,0.0839,0.0812,0.086,0.1208,0.1099,0.131,288.0,False,,,
hour==6,natural,0.06983,10043,188.9,postfilter_hnsw_K1x,0.4325,0.3765,0.49,0.0618,0.0607,0.0632,0.0912,0.0832,0.0936,144.0,False,,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,postfilter_hnsw_K1x,0.866,0.844,0.887,0.062,0.0605,0.0634,0.0889,0.0831,0.1002,144.0,False,,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,postfilter_hnsw_K4x,0.944,0.9305,0.957,0.1015,0.098,0.1056,0.1625,0.1457,0.1713,576.0,False,,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,postfilter_hnsw_K2x,0.944,0.93,0.9565,0.0833,0.0814,0.0858,0.1191,0.1125,0.1299,288.0,False,,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0411,0.0395,0.0429,0.0578,0.0544,0.0592,,,1.895,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,prefilter_flat,1.0,1.0,1.0,0.879,0.8725,0.8888,0.9747,0.9512,1.0066,,,0.003,,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,single_stage_ivf_batch_np8,0.9845,0.975,0.9925,0.0661,0.0654,0.0667,0.0716,0.0702,0.0727,,,,0.67,
CTRL(s=0.0698)|hour==6,control,0.06983,10043,75.7,single_stage_ivf_batch_np32,0.9975,0.9945,0.9995,0.1023,0.101,0.1035,0.1151,0.1121,0.1169,,,,0.67,
hour==7,natural,0.07033,10115,107.6,prefilter_hnsw_ef64,0.9975,0.995,0.9995,0.0353,0.0337,0.0366,0.0495,0.0472,0.0509,,,1.666,,
hour==7,natural,0.07033,10115,107.6,postfilter_hnsw_K4x,0.644,0.5845,0.704,0.0984,0.0946,0.102,0.149,0.1413,0.1654,572.0,False,,,
hour==7,natural,0.07033,10115,107.6,prefilter_flat,1.0,1.0,1.0,0.8823,0.878,0.8869,1.0187,0.9481,1.0711,,,0.002,,
hour==7,natural,0.07033,10115,107.6,single_stage_ivf_batch_np8,0.7085,0.6455,0.767,0.0654,0.0645,0.0663,0.0741,0.072,0.0751,,,,0.58,
hour==7,natural,0.07033,10115,107.6,single_stage_ivf_batch_np32,0.821,0.77,0.869,0.0958,0.0914,0.099,0.1204,0.1138,0.128,,,,0.58,
hour==7,natural,0.07033,10115,107.6,single_stage_ivf_batch_np128,0.9815,0.967,0.992,0.2144,0.2051,0.2258,0.3154,0.2818,0.3535,,,,0.58,True
hour==7,natural,0.07033,10115,107.6,postfilter_hnsw_K2x,0.6295,0.5665,0.6885,0.0814,0.0792,0.0838,0.1158,0.1106,0.1273,286.0,False,,,
hour==7,natural,0.07033,10115,107.6,postfilter_hnsw_K1x,0.5645,0.501,0.6275,0.0604,0.0591,0.0621,0.0867,0.0822,0.0922,143.0,False,,,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,prefilter_flat,1.0,1.0,1.0,0.8949,0.8874,0.9043,0.9737,0.9547,1.0128,,,0.003,,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,postfilter_hnsw_K1x,0.872,0.849,0.8955,0.0617,0.0603,0.0635,0.0892,0.0823,0.0948,143.0,False,,,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,single_stage_ivf_batch_np8,0.985,0.976,0.9925,0.0689,0.0683,0.0695,0.0751,0.074,0.0764,,,,0.77,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,single_stage_ivf_batch_np32,0.999,0.9975,1.0,0.1074,0.1063,0.1087,0.1229,0.1197,0.127,,,,0.77,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,postfilter_hnsw_K4x,0.948,0.935,0.9605,0.1025,0.098,0.1057,0.1631,0.1461,0.172,572.0,False,,,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,prefilter_hnsw_ef64,1.0,1.0,1.0,0.042,0.0407,0.0429,0.0562,0.0534,0.0589,,,1.896,,
CTRL(s=0.0703)|hour==7,control,0.07033,10115,70.7,postfilter_hnsw_K2x,0.948,0.9345,0.9605,0.0835,0.081,0.0859,0.1179,0.1119,0.1308,286.0,False,,,
hour==8,natural,0.07039,10124,104.8,prefilter_hnsw_ef64,0.9995,0.9985,1.0,0.0383,0.0357,0.0395,0.0519,0.0498,0.0539,,,1.753,,
hour==8,natural,0.07039,10124,104.8,prefilter_flat,1.0,1.0,1.0,0.9035,0.8993,0.9088,0.977,0.9596,1.0098,,,0.002,,
hour==8,natural,0.07039,10124,104.8,postfilter_hnsw_K4x,0.6365,0.577,0.695,0.1029,0.098,0.1057,0.1554,0.1414,0.1712,572.0,False,,,
hour==8,natural,0.07039,10124,104.8,postfilter_hnsw_K1x,0.561,0.497,0.625,0.0626,0.0615,0.0644,0.0896,0.0832,0.0955,143.0,False,,,
hour==8,natural,0.07039,10124,104.8,postfilter_hnsw_K2x,0.628,0.564,0.6885,0.0836,0.0817,0.0855,0.118,0.1104,0.1306,286.0,False,,,
hour==8,natural,0.07039,10124,104.8,single_stage_ivf_batch_np8,0.7045,0.6395,0.768,0.0677,0.0669,0.0686,0.0759,0.0747,0.0781,,,,0.55,
hour==8,natural,0.07039,10124,104.8,single_stage_ivf_batch_np32,0.8125,0.7635,0.8585,0.0996,0.0963,0.1034,0.1219,0.1177,0.1315,,,,0.55,
hour==8,natural,0.07039,10124,104.8,single_stage_ivf_batch_np128,0.9805,0.9655,0.993,0.2255,0.2127,0.2336,0.2977,0.2897,0.3174,,,,0.55,True
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,single_stage_ivf_batch_np8,0.983,0.9735,0.991,0.0689,0.0685,0.0694,0.0755,0.0744,0.077,,,,0.7,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,single_stage_ivf_batch_np32,0.9965,0.993,0.999,0.1067,0.1059,0.1077,0.1178,0.116,0.1235,,,,0.7,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,postfilter_hnsw_K2x,0.953,0.9415,0.964,0.0839,0.0814,0.0857,0.1203,0.1105,0.1299,286.0,False,,,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,postfilter_hnsw_K4x,0.953,0.941,0.964,0.1003,0.0979,0.1053,0.155,0.1437,0.1688,572.0,False,,,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,prefilter_flat,1.0,1.0,1.0,0.9051,0.9012,0.909,0.9582,0.9488,0.9711,,,0.003,,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,postfilter_hnsw_K1x,0.872,0.848,0.895,0.0602,0.0587,0.0618,0.0868,0.0805,0.0949,143.0,False,,,
CTRL(s=0.0704)|hour==8,control,0.07039,10124,73.8,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0399,0.0377,0.042,0.055,0.0535,0.0566,,,1.887,,
hour==9,natural,0.0467,6717,162.6,prefilter_flat,1.0,1.0,1.0,0.5212,0.5188,0.524,0.6114,0.5983,0.624,,,0.002,,
hour==9,natural,0.0467,6717,162.6,single_stage_ivf_batch_np8,0.6855,0.6215,0.7445,0.062,0.0613,0.0629,0.0688,0.0678,0.069,,,,0.41,
hour==9,natural,0.0467,6717,162.6,single_stage_ivf_batch_np32,0.8075,0.7565,0.854,0.0871,0.0854,0.0899,0.1017,0.0988,0.1059,,,,0.41,
hour==9,natural,0.0467,6717,162.6,single_stage_ivf_batch_np128,0.9745,0.9575,0.9875,0.1785,0.1724,0.183,0.2152,0.2101,0.225,,,,0.41,True
hour==9,natural,0.0467,6717,162.6,postfilter_hnsw_K2x,0.586,0.5285,0.646,0.0904,0.0879,0.0945,0.1338,0.1273,0.1445,430.0,False,,,
hour==9,natural,0.0467,6717,162.6,postfilter_hnsw_K4x,0.59,0.532,0.6485,0.1133,0.1102,0.117,0.1622,0.1529,0.1853,860.0,False,,,
hour==9,natural,0.0467,6717,162.6,postfilter_hnsw_K1x,0.541,0.479,0.5985,0.0715,0.0702,0.0736,0.1045,0.0961,0.1107,215.0,False,,,
hour==9,natural,0.0467,6717,162.6,prefilter_hnsw_ef64,0.9985,0.9965,1.0,0.0366,0.0353,0.0382,0.0501,0.0484,0.0511,,,0.975,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,postfilter_hnsw_K4x,0.8775,0.8585,0.8955,0.1156,0.1111,0.1183,0.1634,0.1536,0.1883,860.0,False,,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,postfilter_hnsw_K1x,0.8395,0.8145,0.864,0.0719,0.0706,0.0739,0.1003,0.0977,0.11,215.0,False,,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,postfilter_hnsw_K2x,0.8775,0.8585,0.896,0.0923,0.0887,0.0959,0.1349,0.1292,0.1517,430.0,False,,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,prefilter_flat,1.0,1.0,1.0,0.5131,0.5107,0.5144,0.6106,0.5908,0.6363,,,0.005,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0389,0.0372,0.0409,0.0524,0.0501,0.0545,,,1.038,,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,single_stage_ivf_batch_np8,0.9725,0.9585,0.984,0.0645,0.064,0.065,0.0693,0.0679,0.0708,,,,0.5,
CTRL(s=0.0467)|hour==9,control,0.0467,6717,108.3,single_stage_ivf_batch_np32,0.995,0.9905,0.9985,0.0924,0.0916,0.0935,0.1038,0.1008,0.1066,,,,0.5,
hour==13,natural,0.02319,3336,278.2,single_stage_ivf_batch_np8,0.6685,0.606,0.727,0.0613,0.0608,0.0617,0.0651,0.0642,0.0662,,,,0.25,
hour==13,natural,0.02319,3336,278.2,single_stage_ivf_batch_np32,0.792,0.742,0.841,0.0828,0.0816,0.0838,0.0922,0.0896,0.0937,,,,0.25,
hour==13,natural,0.02319,3336,278.2,single_stage_ivf_batch_np128,0.969,0.952,0.9835,0.1526,0.1509,0.1545,0.1769,0.1672,0.1828,,,,0.25,True
hour==13,natural,0.02319,3336,278.2,prefilter_flat,1.0,1.0,1.0,0.1785,0.1777,0.1791,0.2473,0.2131,0.2643,,,0.002,,
hour==13,natural,0.02319,3336,278.2,postfilter_hnsw_K1x,0.4965,0.443,0.5525,0.0935,0.0892,0.0972,0.1371,0.13,0.1477,432.0,False,,,
hour==13,natural,0.02319,3336,278.2,prefilter_hnsw_ef64,0.9995,0.9985,1.0,0.0372,0.0359,0.0383,0.0452,0.0444,0.0468,,,0.383,,
hour==13,natural,0.02319,3336,278.2,postfilter_hnsw_K4x,0.501,0.446,0.5575,0.1479,0.1416,0.1517,0.2102,0.1961,0.2237,1728.0,False,,,
hour==13,natural,0.02319,3336,278.2,postfilter_hnsw_K2x,0.501,0.444,0.5565,0.1172,0.1133,0.1203,0.1661,0.1551,0.1874,864.0,False,,,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,prefilter_flat,1.0,1.0,1.0,0.1803,0.1798,0.1812,0.2377,0.1932,0.2453,,,0.001,,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,postfilter_hnsw_K4x,0.6805,0.651,0.71,0.1487,0.1441,0.1549,0.211,0.1974,0.228,1728.0,False,,,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0403,0.0392,0.0413,0.0489,0.0476,0.0508,,,0.404,,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,single_stage_ivf_batch_np8,0.922,0.906,0.938,0.0642,0.0637,0.0644,0.0681,0.0673,0.0687,,,,0.31,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,single_stage_ivf_batch_np32,0.9915,0.986,0.996,0.0858,0.085,0.0863,0.094,0.0913,0.0978,,,,0.31,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,postfilter_hnsw_K1x,0.6805,0.65,0.709,0.0946,0.091,0.0982,0.1449,0.1319,0.1505,432.0,False,,,
CTRL(s=0.0232)|hour==13,control,0.02319,3336,218.7,postfilter_hnsw_K2x,0.6805,0.6505,0.7095,0.1333,0.1259,0.1434,0.1949,0.1889,0.2068,864.0,False,,,
hour==14,natural,0.11434,16446,104.7,single_stage_ivf_batch_np8,0.715,0.657,0.773,0.0788,0.0774,0.0839,0.1031,0.1006,0.1074,,,,1.14,
hour==14,natural,0.11434,16446,104.7,single_stage_ivf_batch_np32,0.828,0.779,0.874,0.1141,0.1103,0.1196,0.1422,0.1388,0.1465,,,,1.14,
hour==14,natural,0.11434,16446,104.7,single_stage_ivf_batch_np128,0.983,0.9675,0.995,0.3232,0.3037,0.3442,0.4754,0.4392,0.5127,,,,1.14,True
hour==14,natural,0.11434,16446,104.7,prefilter_flat,1.0,1.0,1.0,1.5674,1.5626,1.5748,1.6329,1.6243,1.654,,,0.004,,
hour==14,natural,0.11434,16446,104.7,postfilter_hnsw_K1x,0.47,0.406,0.534,0.05,0.049,0.0511,0.073,0.069,0.0837,88.0,False,,,
hour==14,natural,0.11434,16446,104.7,postfilter_hnsw_K4x,0.633,0.571,0.695,0.0873,0.0851,0.0905,0.1254,0.1182,0.1367,352.0,False,,,
hour==14,natural,0.11434,16446,104.7,postfilter_hnsw_K2x,0.587,0.5225,0.6495,0.0653,0.0644,0.0668,0.0966,0.0865,0.1015,176.0,False,,,
hour==14,natural,0.11434,16446,104.7,prefilter_hnsw_ef64,0.9975,0.994,1.0,0.0397,0.0365,0.0418,0.0602,0.0565,0.0628,,,3.382,,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,postfilter_hnsw_K1x,0.881,0.8575,0.9035,0.0513,0.0497,0.0524,0.0755,0.0694,0.0826,88.0,False,,,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,prefilter_flat,1.0,1.0,1.0,1.5584,1.5513,1.5674,1.646,1.6209,1.6836,,,0.013,,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,postfilter_hnsw_K4x,0.9885,0.9825,0.9935,0.09,0.0875,0.0931,0.1326,0.1233,0.1411,352.0,False,,,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0422,0.0407,0.0441,0.0617,0.0587,0.0638,,,3.767,,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,single_stage_ivf_batch_np8,0.988,0.979,0.995,0.0726,0.0721,0.0737,0.0811,0.0791,0.0837,,,,1.13,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,single_stage_ivf_batch_np32,0.9985,0.9965,1.0,0.1249,0.1237,0.1269,0.1478,0.1432,0.1527,,,,1.13,
CTRL(s=0.1143)|hour==14,control,0.11434,16446,44.6,postfilter_hnsw_K2x,0.9885,0.9825,0.9935,0.0676,0.0662,0.0688,0.1009,0.0894,0.1065,176.0,False,,,
hour==15,natural,0.11256,16190,117.7,postfilter_hnsw_K4x,0.6405,0.5815,0.6975,0.0894,0.0869,0.0928,0.1286,0.1236,0.1401,356.0,False,,,
hour==15,natural,0.11256,16190,117.7,single_stage_ivf_batch_np8,0.7145,0.656,0.7725,0.0712,0.0703,0.0725,0.0816,0.0802,0.0844,,,,0.89,
hour==15,natural,0.11256,16190,117.7,single_stage_ivf_batch_np32,0.8285,0.779,0.8725,0.1161,0.1112,0.1215,0.1434,0.14,0.1474,,,,0.89,
hour==15,natural,0.11256,16190,117.7,single_stage_ivf_batch_np128,0.977,0.9615,0.9895,0.321,0.3061,0.3433,0.4435,0.4217,0.4786,,,,0.89,True
hour==15,natural,0.11256,16190,117.7,postfilter_hnsw_K2x,0.5765,0.5125,0.639,0.068,0.0665,0.0698,0.0998,0.0915,0.1035,178.0,False,,,
hour==15,natural,0.11256,16190,117.7,prefilter_hnsw_ef64,0.996,0.991,0.9995,0.0407,0.0384,0.0423,0.0596,0.0568,0.062,,,3.384,,
hour==15,natural,0.11256,16190,117.7,postfilter_hnsw_K1x,0.456,0.392,0.521,0.0522,0.0511,0.0538,0.0772,0.0726,0.0842,89.0,False,,,
hour==15,natural,0.11256,16190,117.7,prefilter_flat,1.0,1.0,1.0,1.5614,1.5553,1.5667,1.6335,1.6206,1.657,,,0.012,,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,single_stage_ivf_batch_np8,0.9935,0.9885,0.9975,0.0724,0.0716,0.073,0.0811,0.0789,0.0826,,,,1.12,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.1245,0.1236,0.1262,0.143,0.1403,0.1493,,,,1.12,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,prefilter_flat,1.0,1.0,1.0,1.5564,1.5485,1.569,1.6692,1.6446,1.7448,,,0.005,,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,postfilter_hnsw_K1x,0.8965,0.876,0.9165,0.0507,0.0496,0.0521,0.0776,0.0703,0.0821,89.0,False,,,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,postfilter_hnsw_K2x,0.9915,0.987,0.9955,0.066,0.0646,0.0675,0.0949,0.089,0.101,178.0,False,,,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0398,0.0384,0.0414,0.0585,0.0533,0.0603,,,3.601,,
CTRL(s=0.1126)|hour==15,control,0.11256,16190,46.1,postfilter_hnsw_K4x,0.9915,0.987,0.995,0.0874,0.085,0.0907,0.1267,0.1173,0.1381,356.0,False,,,
hour==16,natural,0.01943,2794,311.7,postfilter_hnsw_K2x,0.4515,0.401,0.5025,0.1226,0.1196,0.1267,0.1742,0.1648,0.1928,1030.0,False,,,
hour==16,natural,0.01943,2794,311.7,prefilter_flat,1.0,1.0,1.0,0.1427,0.1425,0.1431,0.1846,0.146,0.1997,,,0.001,,
hour==16,natural,0.01943,2794,311.7,postfilter_hnsw_K1x,0.446,0.394,0.497,0.0963,0.0931,0.0995,0.1452,0.1357,0.1587,515.0,False,,,
hour==16,natural,0.01943,2794,311.7,single_stage_ivf_batch_np8,0.661,0.598,0.72,0.0607,0.0602,0.061,0.0647,0.0635,0.0672,,,,0.23,
hour==16,natural,0.01943,2794,311.7,single_stage_ivf_batch_np32,0.786,0.733,0.8365,0.0785,0.0774,0.0792,0.0859,0.084,0.0876,,,,0.23,
hour==16,natural,0.01943,2794,311.7,single_stage_ivf_batch_np128,0.965,0.947,0.9805,0.1443,0.1422,0.1462,0.1618,0.1579,0.1746,,,,0.23,True
hour==16,natural,0.01943,2794,311.7,postfilter_hnsw_K4x,0.4515,0.401,0.5035,0.1622,0.1595,0.167,0.2265,0.2114,0.2435,2060.0,False,,,
hour==16,natural,0.01943,2794,311.7,prefilter_hnsw_ef64,0.9995,0.9985,1.0,0.037,0.036,0.0379,0.0429,0.0423,0.0442,,,0.302,,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,postfilter_hnsw_K4x,0.622,0.5935,0.6495,0.1623,0.1593,0.1681,0.2223,0.2099,0.2419,2060.0,False,,,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,single_stage_ivf_batch_np8,0.8845,0.8615,0.9065,0.061,0.0606,0.0612,0.0641,0.0635,0.0651,,,,0.25,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,single_stage_ivf_batch_np32,0.985,0.9775,0.9915,0.0803,0.0795,0.0809,0.0892,0.086,0.0921,,,,0.25,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0389,0.0379,0.0398,0.0478,0.0466,0.0492,,,0.316,,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,prefilter_flat,1.0,1.0,1.0,0.1457,0.1447,0.1462,0.1742,0.162,0.1792,,,0.001,,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,postfilter_hnsw_K2x,0.622,0.5945,0.649,0.1262,0.1234,0.1284,0.1713,0.1653,0.1926,1030.0,False,,,
CTRL(s=0.0194)|hour==16,control,0.01943,2794,257.2,postfilter_hnsw_K1x,0.622,0.5945,0.6505,0.0998,0.0949,0.1028,0.1538,0.1403,0.1633,515.0,False,,,
hour==17,natural,0.07809,11232,121.6,prefilter_hnsw_ef64,0.9985,0.996,1.0,0.0395,0.0381,0.0406,0.0559,0.0544,0.0583,,,2.113,,
hour==17,natural,0.07809,11232,121.6,single_stage_ivf_batch_np8,0.9285,0.9005,0.9545,0.0676,0.0669,0.0683,0.0759,0.0744,0.0779,,,,0.7,
hour==17,natural,0.07809,11232,121.6,single_stage_ivf_batch_np32,0.984,0.9745,0.9915,0.1003,0.0989,0.1018,0.1138,0.1115,0.1222,,,,0.7,
hour==17,natural,0.07809,11232,121.6,prefilter_flat,1.0,1.0,1.0,1.0245,1.0145,1.0353,1.1605,1.1208,1.184,,,0.003,,
hour==17,natural,0.07809,11232,121.6,postfilter_hnsw_K1x,0.499,0.4425,0.556,0.0593,0.0579,0.0615,0.0848,0.0792,0.0907,129.0,False,,,
hour==17,natural,0.07809,11232,121.6,postfilter_hnsw_K4x,0.759,0.7185,0.7985,0.099,0.0954,0.1016,0.1545,0.1372,0.1666,516.0,False,,,
hour==17,natural,0.07809,11232,121.6,postfilter_hnsw_K2x,0.723,0.6765,0.766,0.0791,0.0774,0.0817,0.1135,0.1079,0.12,258.0,False,,,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,single_stage_ivf_batch_np8,0.9835,0.971,0.993,0.0693,0.0684,0.0699,0.0782,0.075,0.0806,,,,0.85,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,single_stage_ivf_batch_np32,0.998,0.9955,1.0,0.1091,0.1081,0.1099,0.1291,0.1213,0.1347,,,,0.85,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,postfilter_hnsw_K4x,0.9585,0.946,0.9695,0.0984,0.0949,0.1017,0.1491,0.1377,0.1616,516.0,False,,,
