dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_113,caption_stack,5162
VRU,vru_accident:CAP_DATA:VRU_113,center_frame_stack,54932
VRU,vru_accident:CAP_DATA:VRU_113,visual_4frame_stack,232212
VRU,vru_accident:CAP_DATA:VRU_113,fusion_stack,237374
VRU,vru_accident:CAP_DATA:VRU_114,raw_video,6103451
VRU,vru_accident:CAP_DATA:VRU_114,caption_stack,5238
VRU,vru_accident:CAP_DATA:VRU_114,center_frame_stack,44968
VRU,vru_accident:CAP_DATA:VRU_114,visual_4frame_stack,178101
VRU,vru_accident:CAP_DATA:VRU_114,fusion_stack,183339
VRU,vru_accident:CAP_DATA:VRU_115,raw_video,3612026
VRU,vru_accident:CAP_DATA:VRU_115,caption_stack,4962
VRU,vru_accident:CAP_DATA:VRU_115,center_frame_stack,31807
VRU,vru_accident:CAP_DATA:VRU_115,visual_4frame_stack,128574
VRU,vru_accident:CAP_DATA:VRU_115,fusion_stack,133536
VRU,vru_accident:CAP_DATA:VRU_116,raw_video,3687300
VRU,vru_accident:CAP_DATA:VRU_116,caption_stack,5132
VRU,vru_accident:CAP_DATA:VRU_116,center_frame_stack,37907
VRU,vru_accident:CAP_DATA:VRU_116,visual_4frame_stack,162678
VRU,vru_accident:CAP_DATA:VRU_116,fusion_stack,167810
VRU,vru_accident:CAP_DATA:VRU_117,raw_video,2882940
VRU,vru_accident:CAP_DATA:VRU_117,caption_stack,4895
VRU,vru_accident:CAP_DATA:VRU_117,center_frame_stack,37087
VRU,vru_accident:CAP_DATA:VRU_117,visual_4frame_stack,149877
VRU,vru_accident:CAP_DATA:VRU_117,fusion_stack,154772
VRU,vru_accident:CAP_DATA:VRU_118,raw_video,3470403
VRU,vru_accident:CAP_DATA:VRU_118,caption_stack,4994
VRU,vru_accident:CAP_DATA:VRU_118,center_frame_stack,38763
VRU,vru_accident:CAP_DATA:VRU_118,visual_4frame_stack,155082
VRU,vru_accident:CAP_DATA:VRU_118,fusion_stack,160076
VRU,vru_accident:CAP_DATA:VRU_119,raw_video,2135255
VRU,vru_accident:CAP_DATA:VRU_119,caption_stack,4875
VRU,vru_accident:CAP_DATA:VRU_119,center_frame_stack,45467
VRU,vru_accident:CAP_DATA:VRU_119,visual_4frame_stack,180817
VRU,vru_accident:CAP_DATA:VRU_119,fusion_stack,185692
VRU,vru_accident:CAP_DATA:VRU_12,raw_video,1425413
VRU,vru_accident:CAP_DATA:VRU_12,caption_stack,5047
