structure,M,efSearch,nlist,nprobe,seeds,recall_mean,recall_std,recall_min,recall_max,latency_p95_median_ms,latency_p95_max_ms,build_s_mean,index_mb_mean,all_seeds_recall_ge_099
hnsw,32.0,256.0,,,5,0.9894117647058824,0.0018601633295108678,0.9870588235294119,0.9917647058823531,3.1788838499999987,3.29456525,185.51457550628112,1217.3988132,False
hnsw,32.0,512.0,,,5,0.9981176470588234,0.0017842059868357235,0.996470588235294,1.0,5.757020099999992,6.356161749999999,185.51457550628112,1217.3988132,True
hnsw,32.0,1024.0,,,5,1.0,0.0,1.0,1.0,10.147963149999994,10.654725549999993,185.51457550628112,1217.3988132,True
ivfflat,,,1024.0,128.0,5,0.9931764705882353,0.0030452186130693355,0.9894117647058824,0.9964705882352941,21.155066799999997,23.002607649999998,75.50757202999667,1187.802939,False
ivfflat,,,1024.0,256.0,5,0.999529411764706,0.0006443794794178054,0.9988235294117648,1.0,37.58741344999999,39.008690349999995,75.50757202999667,1187.802939,True
ivfflat,,,1024.0,512.0,5,1.0,0.0,1.0,1.0,68.57995274999999,70.30008289999999,75.50757202999667,1187.802939,True
