strategy,query_id,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B2_vector_only,acctv2:night:0010,0.02,1.0,0.1,1.0,0.18,1.0,0.36,1.0,1.0,0.92663607790064
B2_vector_only,acctv2:night:0012,0.0,0.0,0.05,1.0,0.125,1.0,0.175,1.0,0.5,0.43227884214719164
B2_vector_only,acctv2:night:0013,0.0,0.0,0.05,1.0,0.1,1.0,0.125,1.0,0.5,0.3845937724137609
B2_vector_only,acctv2:night:0015,0.027777777777777776,1.0,0.1111111111111111,1.0,0.25,1.0,0.5277777777777778,1.0,1.0,0.8899541168509599
B2_vector_only,acctv2:night:0017,0.037037037037037035,1.0,0.14814814814814814,1.0,0.2962962962962963,1.0,0.5555555555555556,1.0,1.0,0.8115558478722845
B2_vector_only,acctv2:night:0018,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.6296296296296297,1.0,1.0,1.0
B2_vector_only,acctv2:nofilter:0001,0.015873015873015872,1.0,0.047619047619047616,1.0,0.12698412698412698,1.0,0.23809523809523808,1.0,1.0,0.7951657524814091
B2_vector_only,acctv2:nofilter:0004,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B2_vector_only,acctv2:nofilter:0009,0.02,1.0,0.1,1.0,0.2,1.0,0.38,1.0,1.0,1.0
B2_vector_only,acctv2:nofilter:0011,0.025,1.0,0.1,1.0,0.175,1.0,0.275,1.0,1.0,0.7605591431973848
B2_vector_only,acctv2:nofilter:0014,0.027777777777777776,1.0,0.1388888888888889,1.0,0.2777777777777778,1.0,0.5555555555555556,1.0,1.0,1.0
B2_vector_only,acctv2:nofilter:0016,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.7037037037037037,1.0,1.0,1.0
B2_vector_only,acctv2:place_type:0007,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B2_vector_only,acctv2:place_type:0008,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B3_vector_postfilter,acctv2:night:0002,0.0,0.0,0.015873015873015872,1.0,0.06349206349206349,1.0,0.12698412698412698,1.0,0.25,0.30887207873939243
B3_vector_postfilter,acctv2:night:0003,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.2698412698412698,1.0,1.0,1.0
B3_vector_postfilter,acctv2:night:0005,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.3584905660377358,1.0,1.0,1.0
B3_vector_postfilter,acctv2:night:0006,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.3584905660377358,1.0,1.0,1.0
B3_vector_postfilter,acctv2:night:0010,0.02,1.0,0.1,1.0,0.2,1.0,0.4,1.0,1.0,1.0
B3_vector_postfilter,acctv2:night:0012,0.0,0.0,0.05,1.0,0.1,1.0,0.175,1.0,0.5,0.35969100690634187
B3_vector_postfilter,acctv2:night:0013,0.025,1.0,0.05,1.0,0.05,1.0,0.2,1.0,1.0,0.31488013066763093
B3_vector_postfilter,acctv2:night:0015,0.027777777777777776,1.0,0.1111111111111111,1.0,0.25,1.0,0.5277777777777778,1.0,1.0,0.8899541168509599
B3_vector_postfilter,acctv2:night:0017,0.037037037037037035,1.0,0.14814814814814814,1.0,0.2222222222222222,1.0,0.4444444444444444,1.0,1.0,0.6816808362189438
B3_vector_postfilter,acctv2:night:0018,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.37037037037037035,1.0,1.0,1.0
B3_vector_postfilter,acctv2:nofilter:0001,0.015873015873015872,1.0,0.047619047619047616,1.0,0.12698412698412698,1.0,0.23809523809523808,1.0,1.0,0.7951657524814091
B3_vector_postfilter,acctv2:nofilter:0004,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B3_vector_postfilter,acctv2:nofilter:0009,0.02,1.0,0.1,1.0,0.2,1.0,0.38,1.0,1.0,1.0
B3_vector_postfilter,acctv2:nofilter:0011,0.025,1.0,0.1,1.0,0.175,1.0,0.275,1.0,1.0,0.7605591431973848
B3_vector_postfilter,acctv2:nofilter:0014,0.027777777777777776,1.0,0.1388888888888889,1.0,0.2777777777777778,1.0,0.5555555555555556,1.0,1.0,1.0
B3_vector_postfilter,acctv2:nofilter:0016,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.7037037037037037,1.0,1.0,1.0
B3_vector_postfilter,acctv2:place_type:0007,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B3_vector_postfilter,acctv2:place_type:0008,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.18867924528301888,1.0,1.0,1.0
B4_prefilter_vector,acctv2:night:0002,0.0,0.0,0.015873015873015872,1.0,0.06349206349206349,1.0,0.12698412698412698,1.0,0.25,0.30887207873939243
B4_prefilter_vector,acctv2:night:0003,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.2698412698412698,1.0,1.0,1.0
B4_prefilter_vector,acctv2:night:0005,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.3584905660377358,1.0,1.0,1.0
B4_prefilter_vector,acctv2:night:0006,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.3584905660377358,1.0,1.0,1.0
B4_prefilter_vector,acctv2:night:0010,0.02,1.0,0.1,1.0,0.2,1.0,0.4,1.0,1.0,1.0
B4_prefilter_vector,acctv2:night:0012,0.0,0.0,0.05,1.0,0.1,1.0,0.175,1.0,0.5,0.35969100690634187
B4_prefilter_vector,acctv2:night:0013,0.025,1.0,0.05,1.0,0.05,1.0,0.2,1.0,1.0,0.31488013066763093
B4_prefilter_vector,acctv2:night:0015,0.027777777777777776,1.0,0.1111111111111111,1.0,0.25,1.0,0.5277777777777778,1.0,1.0,0.8899541168509599
B4_prefilter_vector,acctv2:night:0017,0.037037037037037035,1.0,0.14814814814814814,1.0,0.2222222222222222,1.0,0.4444444444444444,1.0,1.0,0.6816808362189438
B4_prefilter_vector,acctv2:night:0018,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.37037037037037035,1.0,1.0,1.0
B4_prefilter_vector,acctv2:nofilter:0001,0.015873015873015872,1.0,0.047619047619047616,1.0,0.12698412698412698,1.0,0.23809523809523808,1.0,1.0,0.7951657524814091
B4_prefilter_vector,acctv2:nofilter:0004,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B4_prefilter_vector,acctv2:nofilter:0009,0.02,1.0,0.1,1.0,0.2,1.0,0.38,1.0,1.0,1.0
B4_prefilter_vector,acctv2:nofilter:0011,0.025,1.0,0.1,1.0,0.175,1.0,0.275,1.0,1.0,0.7605591431973848
B4_prefilter_vector,acctv2:nofilter:0014,0.027777777777777776,1.0,0.1388888888888889,1.0,0.2777777777777778,1.0,0.5555555555555556,1.0,1.0,1.0
B4_prefilter_vector,acctv2:nofilter:0016,0.037037037037037035,1.0,0.18518518518518517,1.0,0.37037037037037035,1.0,0.7037037037037037,1.0,1.0,1.0
B4_prefilter_vector,acctv2:place_type:0007,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B4_prefilter_vector,acctv2:place_type:0008,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.18867924528301888,1.0,1.0,1.0
B5_hybrid,acctv2:night:0002,0.015873015873015872,1.0,0.07936507936507936,1.0,0.14285714285714285,1.0,0.23809523809523808,1.0,1.0,0.933745776545611
B5_hybrid,acctv2:night:0003,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.2698412698412698,1.0,1.0,1.0
B5_hybrid,acctv2:night:0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
B5_hybrid,acctv2:night:0006,0.0,0.0,0.05660377358490566,1.0,0.1509433962264151,1.0,0.2641509433962264,1.0,0.5,0.6698623505528797
B5_hybrid,acctv2:night:0010,0.02,1.0,0.08,1.0,0.12,1.0,0.26,1.0,1.0,0.6987957033953601
B5_hybrid,acctv2:night:0012,0.0,0.0,0.05,1.0,0.15,1.0,0.275,1.0,0.3333333333333333,0.4922818839877925
B5_hybrid,acctv2:night:0013,0.025,1.0,0.1,1.0,0.15,1.0,0.25,1.0,1.0,0.6961622681399228
B5_hybrid,acctv2:night:0015,0.0,0.0,0.05555555555555555,1.0,0.1388888888888889,1.0,0.3055555555555556,1.0,0.3333333333333333,0.4042383682811875
