strategy,queries,latency_mean_ms,latency_p50_ms,latency_p95_ms
B0_metadata_only,18,0.025113656496008236,0.022881198674440384,0.04011224955320355
B1_bm25_only,18,5.2976314392354755,4.518226720392704,6.794887315481882
B2_vector_only,18,6.023177437277304,4.288136027753353,9.10554626025255
B3_vector_postfilter,18,3.541781489426891,3.2109396997839212,4.262526077218345
B4_prefilter_vector,18,2.8787641268637447,2.577670617029071,4.805069370195268
B5_hybrid,18,7.364028650853369,7.161643588915467,9.06491531059146
