protocol,repeat,doc_id,expected_version,expected_deleted,expected_epoch,dense_version,sparse_version,cache_version,stale,future,mixed,missing,answer_error,update_window,latency_ms
naive_eager,0,92,1,0,0,1,1,1,0,0,0,0,0,1,3.4221578389406204
naive_eager,0,8,1,0,0,1,1,1,0,0,0,0,0,1,6.4881835132837296
naive_eager,0,97,1,0,0,1,1,1,0,0,0,0,0,1,9.582624770700932
naive_eager,0,12,1,0,0,1,1,1,0,0,0,0,0,1,12.573149055242538
naive_eager,0,26,2,0,0,1,1,1,1,0,0,1,1,1,21.399895660579205
naive_eager,0,26,2,0,0,1,1,1,1,0,0,1,1,1,17.946666106581688
naive_eager,0,34,1,0,0,1,1,1,0,0,0,0,0,1,24.372355081140995
naive_eager,0,58,2,0,0,1,1,1,1,0,0,1,1,1,21.69010043144226
naive_eager,0,9,2,0,0,1,1,1,1,0,0,1,1,1,11.330029927194118
naive_eager,0,3,2,1,0,1,1,1,1,0,0,0,1,1,11.111689731478691
naive_eager,0,26,2,0,0,1,1,1,1,0,0,1,1,1,10.836002416908741
naive_eager,0,81,2,0,0,1,1,1,1,0,0,1,1,1,10.170970112085342
naive_eager,0,14,1,0,0,1,1,1,0,0,0,0,0,1,10.209469124674797
naive_eager,0,90,1,0,0,1,1,1,0,0,0,0,0,1,10.86413860321045
naive_eager,0,48,2,0,0,1,1,1,1,0,0,1,1,1,11.514084413647652
naive_eager,0,115,2,1,0,1,1,1,1,0,0,0,1,1,11.693088337779045
naive_eager,0,48,2,0,0,1,1,1,1,0,0,1,1,1,11.547033675014973
naive_eager,0,115,2,1,0,1,1,1,1,0,0,0,1,1,11.44622266292572
naive_eager,0,21,1,0,0,1,1,1,0,0,0,0,0,1,10.747709311544895
naive_eager,0,26,2,0,0,1,1,1,1,0,0,1,1,1,11.249734088778496
naive_eager,0,58,2,0,0,2,1,1,1,0,1,0,1,1,25.498836301267147
naive_eager,0,64,2,1,0,1,1,1,1,0,0,0,1,1,19.657577387988567
naive_eager,0,115,2,1,0,1,1,1,1,0,0,0,1,1,24.768845178186893
