dataset,clips_with_frames,keyframes,frame_errors,visual_model,visual_embedding_dim,text_queries,m2_recall_at_10,m2_ndcg_at_10,m4_recall_at_10,m4_ndcg_at_10,m6_recall_at_10,m6_ndcg_at_10,im1_queries,im1_recall_at_1,im1_recall_at_10,rerank_best_strategy,rerank_hit_at_1,rerank_ndcg_at_10,service_equal_top1,service_equal_hit_at_k,service_rerank_top1,service_rerank_hit_at_k,service_rerank_frame_coverage
vru_accident,1000,4000,0,openai/clip-vit-base-patch32,512,244,0.0615776229444195,0.0883255191425731,0.2467097951683595,0.2451973818258013,0.4928367753969497,0.6232410419287345,1000,0.755,0.98,RW_t4_v1,0.8442622950819673,0.8847406657616024,0.7467845659163987,0.9485530546623794,0.772508038585209,0.9662379421221864,1.0
aihub_intelligent_cctv,269,1076,0,openai/clip-vit-base-patch32,512,133,0.0999698107337969,0.1331115923556549,0.7524390959461603,0.7436968350938995,0.8015597301985936,0.8950926575366422,269,0.8810408921933085,1.0,RW_t4_v1,0.9699248120300752,0.9767789118525744,0.8955223880597015,0.9825870646766168,0.9104477611940298,0.9900497512437813,1.0
