candidate,baseline,scoring,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
joint_matched,caption,strict,85,25,0.016793832293591198,-0.0014195123253770057,0.036446012379369355,0.005898646139305238,0.028907882964649037,0.0664,0.0028,21,46,18,0.22719999999999999,0.0112
joint_matched,caption,semantic,85,25,0.03715989486128435,0.0156032633479944,0.058555433781659325,-0.004839681560399681,0.07420882914779824,0.0008,0.0822,47,16,22,0.0032,0.3288
joint_matched,representative_frame,strict,85,25,0.01691658047520938,-0.004892007538198087,0.040340178744250006,0.0001323259389744954,0.035754967805511434,0.133,0.0478,27,38,20,0.22719999999999999,0.0956
joint_matched,representative_frame,semantic,85,25,0.031669785895074444,0.002970604096572531,0.061412430792978694,-0.016523334916959294,0.08362375202213575,0.0288,0.199,44,15,26,0.0576,0.398
joint_matched,joint_shuffled,strict,85,25,0.02227111330157718,-0.00950326007500315,0.05552318379579322,-0.011965134753484654,0.06111449267796282,0.1704,0.2012,30,38,17,0.22719999999999999,0.26826666666666665
joint_matched,joint_shuffled,semantic,85,25,0.02241346725444427,-0.034545785430147205,0.07987220530279249,-0.09303286959737811,0.14449142443256266,0.4482,0.7266,41,3,41,0.5976,0.8416
joint_shuffled,caption,strict,85,25,-0.005477281007985983,-0.03910688679756669,0.026605898291728797,-0.048573605389727825,0.03306876046279787,0.7644,0.7748,22,43,20,0.7644,0.7748
joint_shuffled,caption,semantic,85,25,0.0147464276068401,-0.05145666820544258,0.07959177463039993,-0.1278265543714101,0.14469527193345683,0.6314,0.8416,45,4,36,0.6314,0.8416
