method,predicate,natural_loss,shuffle_mean_loss,natural_minus_shuffle,shuffle_sd,z_score,p_two_sided,holm_p
hnsw,time_of_day==morning,0.18599998950958252,0.0007400017976760864,0.18525998771190644,0.0005966137361759416,310.51914576984063,0.019801980198019802,0.43564356435643564
hnsw,time_of_day==afternoon,0.2090001106262207,0.00017000436782836913,0.20883010625839232,0.0003033506249405164,688.4116566410289,0.019801980198019802,0.43564356435643564
hnsw,time_of_day==evening,0.653499960899353,0.00037000536918640136,0.6531299555301666,0.00040588679189828186,1609.1431615095414,0.019801980198019802,0.43564356435643564
hnsw,sig_has_yellow==True,0.0209999680519104,5.0002336502075196e-06,0.020994967818260192,5.0002336502075214e-05,419.8797353677433,0.019801980198019802,0.43564356435643564
hnsw,sig_has_pedestrian==True,0.03750002384185791,0.00012500405311584471,0.03737501978874207,0.0002875833453373023,129.9623931452131,0.019801980198019802,0.43564356435643564
hnsw,sig_has_yellow==False,0.22300004959106445,0.0005900037288665772,0.22241004586219787,0.0005044157332426747,440.9260679329292,0.019801980198019802,0.43564356435643564
hnsw,sig_has_pedestrian==False,0.05649995803833008,3.0001401901245116e-05,0.056469956636428835,0.00011934720512721404,473.1569254280956,0.019801980198019802,0.43564356435643564
hnsw,veh_density_bin==low,0.3819999694824219,0.00036000728607177735,0.3816399621963501,0.0004087416995193586,933.6947090182441,0.019801980198019802,0.43564356435643564
hnsw,veh_density_bin==mid,0.3370000720024109,0.0005700033903121948,0.3364300686120987,0.0005076106931852754,662.7718311073943,0.019801980198019802,0.43564356435643564
hnsw,veh_density_bin==high,0.4169999957084656,0.00023500680923461915,0.41676498889923097,0.0003441845654077072,1210.876462184026,0.019801980198019802,0.43564356435643564
hnsw,hour==6,0.31300002336502075,0.04819002151489258,0.26481000185012815,0.005752812869812389,46.03139504844769,0.019801980198019802,0.43564356435643564
hnsw,hour==7,0.35600000619888306,0.04790502190589905,0.308094984292984,0.00545860921482772,56.44202985919515,0.019801980198019802,0.43564356435643564
hnsw,hour==8,0.3634999990463257,0.0471850198507309,0.3163149791955948,0.005666506961857319,55.82186368512213,0.019801980198019802,0.43564356435643564
hnsw,hour==9,0.4100000262260437,0.12280000984668732,0.2872000163793564,0.010245706420274626,28.031255688825237,0.019801980198019802,0.43564356435643564
hnsw,hour==13,0.49900001287460327,0.343469997048378,0.15553001582622528,0.013011036912851513,11.95369876113426,0.019801980198019802,0.43564356435643564
hnsw,hour==14,0.3669999837875366,0.01079499900341034,0.35620498478412627,0.002494526861139671,142.79460780044974,0.019801980198019802,0.43564356435643564
hnsw,hour==15,0.359499990940094,0.01103000283241272,0.34846998810768126,0.0025935215155756942,134.36171090731438,0.019801980198019802,0.43564356435643564
hnsw,hour==16,0.5485000610351562,0.40793499767780306,0.1405650633573532,0.012255005761524334,11.470012017348008,0.019801980198019802,0.43564356435643564
hnsw,hour==17,0.24100005626678467,0.034810019731521605,0.20619003653526308,0.004155918730248083,49.61358725197083,0.019801980198019802,0.43564356435643564
hnsw,hour==18,0.6225000023841858,0.012385002374649047,0.6101150000095368,0.002554313967525331,238.85669802785756,0.019801980198019802,0.43564356435643564
hnsw,hour==19,0.6260000467300415,0.011769998669624328,0.6142300480604171,0.0028879953637449647,212.6838760793312,0.019801980198019802,0.43564356435643564
hnsw,hour==20,0.6115000247955322,0.03847502052783966,0.5730250042676925,0.005270164009355898,108.73001357271342,0.019801980198019802,0.43564356435643564
