method,anchor,mean_within_selectivity_slope
hnsw,0,0.5464999973773956
hnsw,1,0.41060000658035284
hnsw,2,0.49690000414848334
hnsw,3,0.4316999852657318
hnsw,4,0.4902999937534332
hnsw,5,0.47880002856254583
hnsw,6,0.432550036907196
hnsw,7,0.45554995536804205
hnsw,8,0.47729998230934145
hnsw,9,0.43100001811981203
