dataset,query_id,difficulty,event_type,event_family,contract_family,cluster,positive_count,candidate_count,representation,vector_bytes_per_clip,ndcg_at_10,hit_at_10,recall_at_10
VRU,vru2:road_type:0008,road_type,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,101,241,fusion,12288,0.5384109300791363,1.0,0.04950495049504951
VRU,vru2:road_type:0009,road_type,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,44,133,caption,4096,0.2726701556894781,1.0,0.09090909090909091
VRU,vru2:road_type:0009,road_type,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,44,133,center_frame,2048,0.24261785528500343,1.0,0.06818181818181818
VRU,vru2:road_type:0009,road_type,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,44,133,visual_4frame,8192,0.43042149375026467,1.0,0.11363636363636363
VRU,vru2:road_type:0009,road_type,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,44,133,fusion,12288,0.5958595188912911,1.0,0.11363636363636363
VRU,vru2:location:0010,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,390,873,caption,4096,0.41628452663299526,1.0,0.01282051282051282
VRU,vru2:location:0010,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,390,873,center_frame,2048,0.4516672227755298,1.0,0.01282051282051282
VRU,vru2:location:0010,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,390,873,visual_4frame,8192,0.4074153667635757,1.0,0.010256410256410256
VRU,vru2:location:0010,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,390,873,fusion,12288,0.5734923014668308,1.0,0.015384615384615385
VRU,vru2:location:0011,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,28,111,caption,4096,0.3824147140836781,1.0,0.14285714285714285
VRU,vru2:location:0011,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,28,111,center_frame,2048,0.20323893375270083,1.0,0.10714285714285714
VRU,vru2:location:0011,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,28,111,visual_4frame,8192,0.14465249243306438,1.0,0.07142857142857142
VRU,vru2:location:0011,location,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,28,111,fusion,12288,0.3621108234757073,1.0,0.10714285714285714
VRU,vru2:nofilter:0012,nofilter,ego-car hits a crossing pedestrian,dynamic_event,open_event,VRU|ego-car hits a crossing pedestrian,197,1000,caption,4096,0.15840915256850252,1.0,0.01015228426395939
VRU,vru2:nofilter:0012,nofilter,ego-car hits a crossing pedestrian,dynamic_event,open_event,VRU|ego-car hits a crossing pedestrian,197,1000,center_frame,2048,0.3301376494471203,1.0,0.01015228426395939
VRU,vru2:nofilter:0012,nofilter,ego-car hits a crossing pedestrian,dynamic_event,open_event,VRU|ego-car hits a crossing pedestrian,197,1000,visual_4frame,8192,0.2172607128522299,1.0,0.01015228426395939
VRU,vru2:nofilter:0012,nofilter,ego-car hits a crossing pedestrian,dynamic_event,open_event,VRU|ego-car hits a crossing pedestrian,197,1000,fusion,12288,0.15457433957839828,1.0,0.01015228426395939
VRU,vru2:weather_light:0013,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,125,695,caption,4096,0.4189179618884326,1.0,0.04
VRU,vru2:weather_light:0013,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,125,695,center_frame,2048,0.0,0.0,0.0
VRU,vru2:weather_light:0013,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,125,695,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0013,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,125,695,fusion,12288,0.2394408568026152,1.0,0.024
VRU,vru2:weather_light:0014,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,34,110,caption,4096,0.2941924851321474,1.0,0.11764705882352941
VRU,vru2:weather_light:0014,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,34,110,center_frame,2048,0.16421958630632805,1.0,0.058823529411764705
VRU,vru2:weather_light:0014,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,34,110,visual_4frame,8192,0.20483424751859092,1.0,0.058823529411764705
VRU,vru2:weather_light:0014,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,34,110,fusion,12288,0.3621108234757073,1.0,0.08823529411764706
VRU,vru2:weather_light:0015,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,24,102,caption,4096,0.0,0.0,0.0
VRU,vru2:weather_light:0015,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,24,102,center_frame,2048,0.06943122193677728,1.0,0.041666666666666664
VRU,vru2:weather_light:0015,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,24,102,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0015,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,24,102,fusion,12288,0.0,0.0,0.0
VRU,vru2:weather_light:0016,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,5,54,caption,4096,0.0,0.0,0.0
VRU,vru2:weather_light:0016,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,5,54,center_frame,2048,0.0,0.0,0.0
VRU,vru2:weather_light:0016,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,5,54,visual_4frame,8192,0.11305340175787204,1.0,0.2
VRU,vru2:weather_light:0016,weather_light,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,5,54,fusion,12288,0.10699313236726378,1.0,0.2
VRU,vru2:road_type:0017,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,148,584,caption,4096,0.17366667134799182,1.0,0.013513513513513514
VRU,vru2:road_type:0017,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,148,584,center_frame,2048,0.14782949091545264,1.0,0.013513513513513514
VRU,vru2:road_type:0017,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,148,584,visual_4frame,8192,0.15139734109601005,1.0,0.013513513513513514
VRU,vru2:road_type:0017,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,148,584,fusion,12288,0.3647442587311446,1.0,0.02027027027027027
VRU,vru2:road_type:0018,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,18,133,caption,4096,0.4115325995630327,1.0,0.2777777777777778
VRU,vru2:road_type:0018,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,18,133,center_frame,2048,0.0,0.0,0.0
VRU,vru2:road_type:0018,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,18,133,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:road_type:0018,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,18,133,fusion,12288,0.12987501165334078,1.0,0.1111111111111111
VRU,vru2:road_type:0019,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,15,241,caption,4096,0.09478836436955079,1.0,0.06666666666666667
VRU,vru2:road_type:0019,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,15,241,center_frame,2048,0.0,0.0,0.0
VRU,vru2:road_type:0019,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,15,241,visual_4frame,8192,0.07336392209936006,1.0,0.06666666666666667
VRU,vru2:road_type:0019,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,15,241,fusion,12288,0.15139734109601005,1.0,0.13333333333333333
VRU,vru2:road_type:0020,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,24,caption,4096,0.5202575115704144,1.0,0.7142857142857143
VRU,vru2:road_type:0020,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,24,center_frame,2048,0.6920788373899056,1.0,0.5714285714285714
VRU,vru2:road_type:0020,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,24,visual_4frame,8192,0.6645997082078611,1.0,0.5714285714285714
VRU,vru2:road_type:0020,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,24,fusion,12288,0.606740874130346,1.0,0.7142857142857143
VRU,vru2:road_type:0021,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,13,caption,4096,0.8498259896365307,1.0,0.8571428571428571
VRU,vru2:road_type:0021,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,13,center_frame,2048,0.4779805399941162,1.0,0.7142857142857143
VRU,vru2:road_type:0021,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,13,visual_4frame,8192,0.523193734561916,1.0,0.7142857142857143
VRU,vru2:road_type:0021,road_type,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,7,13,fusion,12288,0.7205883808625818,1.0,0.7142857142857143
VRU,vru2:location:0022,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,156,873,caption,4096,0.24261785528500343,1.0,0.019230769230769232
VRU,vru2:location:0022,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,156,873,center_frame,2048,0.0,0.0,0.0
VRU,vru2:location:0022,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,156,873,visual_4frame,8192,0.07839826897867534,1.0,0.00641025641025641
VRU,vru2:location:0022,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,156,873,fusion,12288,0.32730659600127,1.0,0.019230769230769232
VRU,vru2:location:0023,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,32,111,caption,4096,0.5215784827120727,1.0,0.1875
