dataset,arm,clips,total_bytes,total_gib,mean_kib_per_clip,median_kib_per_clip,p95_kib_per_clip,raw_to_arm_ratio
AIHUB,caption_stack,269,1137385,0.001059272326529026,4.129098658224907,4.1181640625,4.2265625,12246.62859278081
AIHUB,center_frame_stack,269,13762053,0.01281691063195467,49.96098469447026,51.16796875,73.1814453125,1012.1405332474741
AIHUB,fusion_stack,269,54143926,0.05042546056210995,196.56106964451672,194.3740234375,296.85625,257.2612052919842
AIHUB,raw_video,269,13929131662,12.97251476161182,50567.53769023002,42159.60546875,107343.76601562498,1.0
AIHUB,visual_4frame_stack,269,53006541,0.04936618823558092,192.43197098629182,190.279296875,292.7546875,262.7813737553635
VRU,caption_stack,1000,5022552,0.004677616059780121,4.9048359375,4.908203125,5.156298828125,637.5390339413111
VRU,center_frame_stack,1000,32944116,0.03068159893155098,32.17198828125,31.5556640625,46.58564453125,97.19711252837988
VRU,fusion_stack,1000,138198193,0.1287070969119668,134.9591728515625,132.42724609375,193.85444335937498,23.170150640102797
VRU,raw_video,1000,3202072950,2.9821628239005804,3127.024365234375,2247.9697265625,8665.346337890624,1.0
VRU,visual_4frame_stack,1000,133175641,0.12402948085218668,130.0543369140625,127.5595703125,188.71064453124998,24.043983764268123
