clip_id,cot_1view_bytes,cot_2view_bytes,visual_1view_bytes,visual_2view_bytes
aihub_multi_angle_cctv:Training:ab_e0496,4321,8689,184406,376407
aihub_multi_angle_cctv:Validation:ab_e0826,4281,8641,183351,344218
aihub_multi_angle_cctv:Training:ph_e2070,4422,8830,152167,343852
aihub_multi_angle_cctv:Training:ms_e3216,4460,8902,175777,342865
aihub_multi_angle_cctv:Validation:ms_e3238,4452,8933,119191,169861
aihub_multi_angle_cctv:Training:md_e2261,4342,8684,218151,402543
aihub_multi_angle_cctv:Validation:md_e2236,4417,8801,136852,283806
aihub_multi_angle_cctv:Training:mp_e2712,4541,9067,139129,287580
aihub_multi_angle_cctv:Validation:mp_e2854,4505,9010,228519,427502
aihub_multi_angle_cctv:Training:bs_e4532,4307,8673,174645,332058
aihub_multi_angle_cctv:Validation:bs_e4560,4338,8716,172503,341495
aihub_multi_angle_cctv:Training:st_e4701,4490,8946,147484,301296
aihub_multi_angle_cctv:Validation:st_e4698,4416,8853,192273,382436
aihub_multi_angle_cctv:Training:es_e3760,4490,8968,93522,137923
aihub_multi_angle_cctv:Validation:es_e3841,4479,8962,151017,306310
aihub_multi_angle_cctv:Training:lo_e1293,4326,8663,137148,284947
aihub_multi_angle_cctv:Validation:lo_e1272,4329,8680,136716,290235
aihub_multi_angle_cctv:Training:fp_e1600,4361,8688,197204,382800
aihub_multi_angle_cctv:Validation:fp_e1486,4406,8797,126387,285639
aihub_multi_angle_cctv:Training:bl_e0036,4314,8616,183957,362532
aihub_multi_angle_cctv:Validation:bl_e0269,4343,8728,187365,356803
aihub_multi_angle_cctv:Training:ab_e0944,4379,8716,159935,324079
aihub_multi_angle_cctv:Validation:ab_e0449,4321,8683,174933,361476
aihub_multi_angle_cctv:Training:ph_e2063,4363,8830,140226,296830
aihub_multi_angle_cctv:Training:ms_e3364,4336,8672,162632,298447
aihub_multi_angle_cctv:Validation:ms_e3264,4393,8841,144747,250323
aihub_multi_angle_cctv:Training:md_e2578,4373,8714,90027,207874
aihub_multi_angle_cctv:Training:mp_e2847,4490,8982,226624,419801
aihub_multi_angle_cctv:Training:bs_e4321,4361,8737,104788,181600
aihub_multi_angle_cctv:Validation:bs_e4433,4367,8689,133118,275006
aihub_multi_angle_cctv:Training:st_e4846,4419,8852,191082,411627
aihub_multi_angle_cctv:Validation:st_e4838,4568,9092,187457,401063
aihub_multi_angle_cctv:Training:es_e3945,4332,8681,140070,293264
aihub_multi_angle_cctv:Validation:es_e4062,4545,9069,150874,243212
aihub_multi_angle_cctv:Training:lo_e1302,4298,8588,132750,280114
aihub_multi_angle_cctv:Validation:lo_e1354,4371,8711,137140,293613
aihub_multi_angle_cctv:Training:fp_e1388,4409,8797,135298,310798
aihub_multi_angle_cctv:Validation:fp_e1594,4321,8673,198729,388028
aihub_multi_angle_cctv:Training:bl_e0080,4304,8635,155539,312976
aihub_multi_angle_cctv:Validation:bl_e0096,4328,8652,134706,297672
aihub_multi_angle_cctv:Training:ab_e0474,4316,8673,173011,357440
aihub_multi_angle_cctv:Validation:ab_e0463,4352,8706,186463,378794
aihub_multi_angle_cctv:Training:ph_e2042,4351,8703,182869,332299
aihub_multi_angle_cctv:Training:ms_e3186,4334,8722,174261,342131
aihub_multi_angle_cctv:Validation:ms_e3503,4430,8872,95183,249792
aihub_multi_angle_cctv:Training:md_e2274,4469,8930,225140,417556
aihub_multi_angle_cctv:Training:mp_e2842,4466,8944,229573,428364
aihub_multi_angle_cctv:Training:bs_e4556,4319,8694,174251,340118
aihub_multi_angle_cctv:Validation:bs_e4530,4348,8694,171794,331578
aihub_multi_angle_cctv:Training:st_e4850,4435,8846,190875,404181
aihub_multi_angle_cctv:Training:es_e3790,4380,8732,146142,310022
aihub_multi_angle_cctv:Validation:es_e3727,4410,8822,139892,264445
aihub_multi_angle_cctv:Training:lo_e1299,4420,8803,133174,283602
aihub_multi_angle_cctv:Validation:lo_e1273,4360,8678,137535,282056
aihub_multi_angle_cctv:Training:fp_e1894,4352,8721,100353,268933
aihub_multi_angle_cctv:Validation:fp_e1521,4506,8893,132531,300338
aihub_multi_angle_cctv:Training:bl_e0168,4429,8818,188778,343765
aihub_multi_angle_cctv:Validation:bl_e0244,4343,8676,201717,393418
aihub_multi_angle_cctv:Training:ab_e0501,4464,8924,171022,356068
aihub_multi_angle_cctv:Validation:ab_e0856,4348,8661,185299,368205
aihub_multi_angle_cctv:Training:ms_e3271,4512,9036,135854,235619
aihub_multi_angle_cctv:Validation:ms_e3259,4360,8818,135624,236287
aihub_multi_angle_cctv:Training:md_e2286,4534,8993,186467,406113
aihub_multi_angle_cctv:Training:mp_e2836,4466,8902,224750,417189
aihub_multi_angle_cctv:Training:bs_e4559,4345,8684,172697,341644
aihub_multi_angle_cctv:Validation:bs_e4460,4365,8735,148648,241629
aihub_multi_angle_cctv:Training:st_e4723,4414,8784,150165,305644
aihub_multi_angle_cctv:Training:es_e3873,4393,8777,150042,301298
aihub_multi_angle_cctv:Validation:es_e3943,4350,8685,139540,292210
aihub_multi_angle_cctv:Training:lo_e1219,4326,8671,160208,318458
aihub_multi_angle_cctv:Validation:lo_e1286,4313,8674,136588,284440
aihub_multi_angle_cctv:Training:fp_e1876,4279,8630,105586,274540
aihub_multi_angle_cctv:Validation:fp_e1591,4311,8657,196957,388523
aihub_multi_angle_cctv:Training:bl_e0128,4292,8603,140687,302984
aihub_multi_angle_cctv:Validation:bl_e0065,4319,8653,170055,332128
aihub_multi_angle_cctv:Training:ab_e0829,4297,8595,177938,339779
aihub_multi_angle_cctv:Validation:ab_e0924,4412,8748,163618,325144
aihub_multi_angle_cctv:Training:ms_e3130,4330,8654,131176,256180
aihub_multi_angle_cctv:Validation:ms_e3278,4476,8971,147516,260296
aihub_multi_angle_cctv:Training:md_e2270,4467,8909,224831,419056
aihub_multi_angle_cctv:Training:mp_e2849,4474,8949,222877,412440
aihub_multi_angle_cctv:Training:bs_e4284,4341,8671,132495,258859
aihub_multi_angle_cctv:Validation:bs_e4423,4352,8686,142316,285504
aihub_multi_angle_cctv:Training:st_e4729,4491,8976,150573,305329
aihub_multi_angle_cctv:Training:es_e3759,4449,8903,96665,161500
aihub_multi_angle_cctv:Validation:es_e3829,4365,8688,161982,304536
aihub_multi_angle_cctv:Training:lo_e1104,4369,8766,164816,326302
aihub_multi_angle_cctv:Validation:lo_e1364,4324,8643,136085,293578
aihub_multi_angle_cctv:Training:fp_e1691,4364,8711,167279,298664
aihub_multi_angle_cctv:Validation:fp_e1588,4338,8652,198173,388575
aihub_multi_angle_cctv:Training:bl_e0119,4305,8642,135865,301910
aihub_multi_angle_cctv:Validation:bl_e0101,4340,8677,139069,302121
aihub_multi_angle_cctv:Training:ab_e0955,4290,8574,157067,320122
aihub_multi_angle_cctv:Validation:ab_e0660,4377,8813,178604,322952
aihub_multi_angle_cctv:Training:ms_e3527,4434,8918,152147,247647
aihub_multi_angle_cctv:Validation:ms_e3138,4423,8773,136311,261509
aihub_multi_angle_cctv:Training:md_e2295,4527,9027,191451,405585
aihub_multi_angle_cctv:Training:mp_e2853,4448,8900,228625,422983
aihub_multi_angle_cctv:Training:bs_e4543,4407,8775,172663,334515
aihub_multi_angle_cctv:Validation:bs_e4634,4338,8668,151193,288747
aihub_multi_angle_cctv:Training:st_e4699,4469,8908,152713,308104
aihub_multi_angle_cctv:Training:es_e4050,4395,8750,152451,246033
aihub_multi_angle_cctv:Validation:es_e3939,4360,8685,138508,293140
aihub_multi_angle_cctv:Training:lo_e1153,4369,8820,156585,311972
aihub_multi_angle_cctv:Validation:lo_e1280,4302,8624,133441,280133
aihub_multi_angle_cctv:Training:fp_e1589,4318,8681,197992,390907
aihub_multi_angle_cctv:Validation:fp_e1641,4402,8780,164842,299039
aihub_multi_angle_cctv:Training:bl_e0155,4359,8711,183957,316114
aihub_multi_angle_cctv:Validation:bl_e0308,4303,8611,204201,369681
aihub_multi_angle_cctv:Training:ab_e0920,4271,8617,161336,324828
aihub_multi_angle_cctv:Validation:ab_e0597,4302,8588,193871,366805
aihub_multi_angle_cctv:Training:ms_e3234,4373,8744,133780,227232
aihub_multi_angle_cctv:Validation:ms_e3174,4419,8790,183617,349718
aihub_multi_angle_cctv:Training:md_e2290,4476,8939,194092,407916
aihub_multi_angle_cctv:Training:mp_e2835,4461,8937,222680,411055
aihub_multi_angle_cctv:Training:bs_e4268,4307,8614,132186,260980
aihub_multi_angle_cctv:Validation:bs_e4307,4380,8736,160066,380108
aihub_multi_angle_cctv:Training:st_e4712,4421,8877,149264,302827
aihub_multi_angle_cctv:Training:es_e4090,4399,8824,150748,316269
aihub_multi_angle_cctv:Validation:es_e3802,4328,8645,147090,309934
aihub_multi_angle_cctv:Training:lo_e1210,4315,8637,148660,310531
aihub_multi_angle_cctv:Validation:lo_e1114,4414,8834,171477,331456
aihub_multi_angle_cctv:Training:fp_e1590,4351,8698,199043,392325
aihub_multi_angle_cctv:Validation:fp_e1673,4485,8980,172963,307225
aihub_multi_angle_cctv:Training:bl_e0275,4297,8654,197697,366890
aihub_multi_angle_cctv:Validation:bl_e0037,4338,8644,178745,362623
aihub_multi_angle_cctv:Training:ab_e0504,4461,8917,183455,377332
aihub_multi_angle_cctv:Validation:ab_e0455,4345,8661,183425,376352
aihub_multi_angle_cctv:Training:ms_e3501,4420,8871,93239,247151
aihub_multi_angle_cctv:Validation:ms_e3655,4346,8688,159300,293263
aihub_multi_angle_cctv:Training:md_e2281,4346,8681,189612,410634
aihub_multi_angle_cctv:Training:mp_e2927,4468,8920,114218,203205
aihub_multi_angle_cctv:Training:bs_e4434,4343,8704,131429,270878
aihub_multi_angle_cctv:Validation:bs_e4308,4380,8772,160831,381847
aihub_multi_angle_cctv:Training:st_e4911,4406,8905,175873,342792
aihub_multi_angle_cctv:Training:es_e3733,4351,8702,169378,384218
aihub_multi_angle_cctv:Validation:es_e3749,4348,8708,166012,374114
aihub_multi_angle_cctv:Training:lo_e1034,4301,8712,139263,322537
aihub_multi_angle_cctv:Validation:lo_e1103,4381,8771,162480,328964
aihub_multi_angle_cctv:Training:fp_e2025,4480,8901,110340,224900
aihub_multi_angle_cctv:Validation:fp_e1621,4364,8716,154704,314469
aihub_multi_angle_cctv:Training:bl_e0058,4373,8716,186061,361483
aihub_multi_angle_cctv:Validation:bl_e0277,4258,8599,192534,360863
aihub_multi_angle_cctv:Training:ab_e0549,4387,8801,210872,405807
aihub_multi_angle_cctv:Validation:ab_e0544,4358,8738,211333,404221
aihub_multi_angle_cctv:Training:ms_e3151,4440,8860,133870,255481
aihub_multi_angle_cctv:Validation:ms_e3159,4346,8678,160075,375819
aihub_multi_angle_cctv:Training:md_e2576,4383,8739,88086,205946
aihub_multi_angle_cctv:Training:mp_e2852,4418,8852,224715,418551
aihub_multi_angle_cctv:Training:bs_e4519,4359,8696,174522,340595
aihub_multi_angle_cctv:Validation:bs_e4464,4355,8710,150027,242287
aihub_multi_angle_cctv:Training:st_e4851,4383,8750,191214,405422
aihub_multi_angle_cctv:Training:es_e3764,4353,8703,154075,298792
aihub_multi_angle_cctv:Validation:es_e3723,4387,8796,142796,272403
aihub_multi_angle_cctv:Training:lo_e1269,4338,8703,140970,297057
aihub_multi_angle_cctv:Validation:lo_e1288,4347,8700,135186,282166
aihub_multi_angle_cctv:Training:fp_e1696,4351,8707,127532,294676
aihub_multi_angle_cctv:Validation:fp_e1559,4448,8927,133160,305451
aihub_multi_angle_cctv:Training:bl_e0043,4345,8663,182185,368257
aihub_multi_angle_cctv:Validation:bl_e0114,4266,8604,136064,295989
aihub_multi_angle_cctv:Training:ab_e0585,4377,8756,193696,373268
aihub_multi_angle_cctv:Validation:ab_e0481,4347,8688,177548,362115
aihub_multi_angle_cctv:Training:bl_e0013,4320,8677,196830,367793
aihub_multi_angle_cctv:Training:ab_e0674,4348,8741,97186,215650
aihub_multi_angle_cctv:Validation:ab_e0675,4399,8783,117005,214226
aihub_multi_angle_cctv:Training:ph_e2041,4338,8662,185052,341026
aihub_multi_angle_cctv:Validation:ph_e2058,4339,8689,157676,331336
aihub_multi_angle_cctv:Training:ms_e3634,4422,8815,159757,290480
aihub_multi_angle_cctv:Validation:ms_e3578,4343,8694,161294,310631
aihub_multi_angle_cctv:Training:md_e2505,4439,8923,163743,305761
aihub_multi_angle_cctv:Validation:md_e2359,4483,8987,143935,312318
aihub_multi_angle_cctv:Training:mp_e2938,4433,8794,173501,311055
aihub_multi_angle_cctv:Validation:mp_e2890,4403,8832,148348,301845
aihub_multi_angle_cctv:Training:bs_e4628,4413,8801,156522,302018
aihub_multi_angle_cctv:Validation:bs_e4577,4312,8641,185899,330180
aihub_multi_angle_cctv:Training:st_e4937,4410,8878,174174,336024
aihub_multi_angle_cctv:Validation:st_e4817,4425,8875,64124,163239
aihub_multi_angle_cctv:Training:es_e3674,4381,8772,153550,290213
aihub_multi_angle_cctv:Validation:es_e3682,4406,8794,140929,306767
aihub_multi_angle_cctv:Training:lo_e1042,4388,8724,181337,318779
aihub_multi_angle_cctv:Validation:lo_e1091,4351,8741,170026,335202
aihub_multi_angle_cctv:Training:fp_e1969,4380,8726,198619,357656
aihub_multi_angle_cctv:Validation:fp_e1439,4428,8856,127204,292535
aihub_multi_angle_cctv:Training:ab_e0415,4324,8654,211306,375366
aihub_multi_angle_cctv:Validation:ab_e0677,4343,8689,115319,212773
aihub_multi_angle_cctv:Training:ph_e2048,4341,8663,144584,291984
aihub_multi_angle_cctv:Training:ms_e3624,4413,8816,158123,292112
aihub_multi_angle_cctv:Validation:ms_e3169,4411,8724,167453,380782
aihub_multi_angle_cctv:Training:md_e2557,4398,8802,91248,211256
aihub_multi_angle_cctv:Validation:md_e2633,4368,8747,140748,258245
aihub_multi_angle_cctv:Training:mp_e3010,4459,8919,110233,256999
aihub_multi_angle_cctv:Validation:mp_e2962,4443,8847,92518,260091
aihub_multi_angle_cctv:Training:bs_e4332,4312,8649,128926,279097
aihub_multi_angle_cctv:Validation:bs_e4608,4471,8938,143128,318538
aihub_multi_angle_cctv:Training:st_e5104,4473,9024,162234,331175
aihub_multi_angle_cctv:Validation:st_e5113,4414,8790,161923,329637
aihub_multi_angle_cctv:Training:es_e4089,4401,8791,167240,335220
aihub_multi_angle_cctv:Validation:es_e4093,4414,8813,175697,346297
aihub_multi_angle_cctv:Training:lo_e1329,4265,8537,158662,359279
aihub_multi_angle_cctv:Validation:lo_e1190,4368,8830,171702,336880
aihub_multi_angle_cctv:Training:fp_e1640,4374,8761,166714,301105
aihub_multi_angle_cctv:Validation:fp_e1725,4392,8744,153561,357344
aihub_multi_angle_cctv:Training:ab_e0707,4333,8723,96562,211576
