intent,representation_a,representation_b,n,mean_delta,p_randomization,q_bh_50,material_positive,material_negative
buses,caption,representative_frame,20,-0.018804055114860864,0.4428677856610717,0.736128672297815,False,False
buses,caption,joint_image_caption,20,-0.024268226381856946,0.3412032939835301,0.6128987212206797,False,False
buses,caption,multi_frame,20,-0.019636323809510296,0.5001774991125044,0.736128672297815,False,False
buses,caption,dual,20,0.0015913163707645173,0.891240543797281,1.0,False,False
buses,representative_frame,joint_image_caption,20,-0.0054641712669960835,0.8472207638961805,1.0,False,False
buses,representative_frame,multi_frame,20,-0.0008322686946494274,0.9565852170739146,1.0,False,False
buses,representative_frame,dual,20,0.02039537148562538,0.19731901340493296,0.44599777001114993,False,False
buses,joint_image_caption,multi_frame,20,0.004631902572346654,0.8618056909715451,1.0,False,False
buses,joint_image_caption,dual,20,0.02585954275262146,0.21407892960535196,0.44599777001114993,False,False
buses,multi_frame,dual,20,0.021227640180274808,0.30427347863260684,0.5851413050627055,False,False
crowded_scene,caption,representative_frame,12,0.11699710750491632,0.07178464107679462,0.2012767713939208,False,False
crowded_scene,caption,joint_image_caption,12,0.020238762696474035,0.30339348303258484,0.5851413050627055,False,False
crowded_scene,caption,multi_frame,12,0.12095121659600398,0.07245963770181149,0.2012767713939208,False,False
crowded_scene,caption,dual,12,0.08871325354146335,0.062839685801571,0.2012767713939208,False,False
crowded_scene,representative_frame,joint_image_caption,12,-0.0967583448084423,0.044019779901100495,0.16930684577346344,False,False
crowded_scene,representative_frame,multi_frame,12,0.003954109091087669,0.8912205438972806,1.0,False,False
crowded_scene,representative_frame,dual,12,-0.028283853963452968,0.20357898210508948,0.44599777001114993,False,False
crowded_scene,joint_image_caption,multi_frame,12,0.10071245389952994,0.04785976070119649,0.17092771678998747,False,False
crowded_scene,joint_image_caption,dual,12,0.06847449084498931,0.03415482922585387,0.1423534548993922,False,False
crowded_scene,multi_frame,dual,12,-0.03223796305454064,0.3432232838835806,0.6128987212206797,False,False
parked_vehicle,caption,representative_frame,15,0.004628748129118484,1.0,1.0,False,False
parked_vehicle,caption,joint_image_caption,15,-0.0016904761621849007,1.0,1.0,False,False
parked_vehicle,caption,multi_frame,15,0.004628748129118484,1.0,1.0,False,False
parked_vehicle,caption,dual,15,-0.007336392209936006,0.49842250788746056,0.736128672297815,False,False
parked_vehicle,representative_frame,joint_image_caption,15,-0.006319224291303385,1.0,1.0,False,False
parked_vehicle,representative_frame,multi_frame,15,0.0,1.0,1.0,False,False
parked_vehicle,representative_frame,dual,15,-0.01196514033905449,0.49891750541247293,0.736128672297815,False,False
parked_vehicle,joint_image_caption,multi_frame,15,0.006319224291303385,1.0,1.0,False,False
parked_vehicle,joint_image_caption,dual,15,-0.005645916047751105,0.4992975035124824,0.736128672297815,False,False
parked_vehicle,multi_frame,dual,15,-0.01196514033905449,0.5005674971625141,0.736128672297815,False,False
stopped_vehicle,caption,representative_frame,17,-0.055125240828782014,0.023474882625586873,0.13041601458659374,False,False
stopped_vehicle,caption,joint_image_caption,17,-0.051103456833040524,0.03167984160079199,0.1423534548993922,False,False
stopped_vehicle,caption,multi_frame,17,-0.16582277979120064,0.0008899955500222498,0.04449977750111249,False,True
stopped_vehicle,caption,dual,17,-0.11692176591721966,0.007609961950190249,0.0822853028592,False,False
stopped_vehicle,representative_frame,joint_image_caption,17,0.004021783995741493,0.8316258418707907,1.0,False,False
stopped_vehicle,representative_frame,multi_frame,17,-0.11069753896241864,0.011519942400287999,0.0822853028592,False,False
stopped_vehicle,representative_frame,dual,17,-0.061796525088437644,0.19321903390483047,0.44599777001114993,False,False
stopped_vehicle,joint_image_caption,multi_frame,17,-0.11471932295816013,0.017279913600431997,0.10799946000269998,False,False
stopped_vehicle,joint_image_caption,dual,17,-0.06581830908417914,0.18751906240468796,0.44599777001114993,False,False
stopped_vehicle,multi_frame,dual,17,0.048901013873981,0.034164829175854124,0.1423534548993922,False,False
two_wheeler,caption,representative_frame,21,-0.007131081912938865,0.6461067694661526,0.8731172560353413,False,False
two_wheeler,caption,joint_image_caption,21,-0.01385049814673043,0.565837170814146,0.7858849594640916,False,False
two_wheeler,caption,multi_frame,21,-0.07623934760339426,0.010054949725251373,0.0822853028592,False,False
two_wheeler,caption,dual,21,-0.05850382169395432,0.011139944300278499,0.0822853028592,False,False
two_wheeler,representative_frame,joint_image_caption,21,-0.006719416233791562,0.7941360293198534,1.0,False,False
two_wheeler,representative_frame,multi_frame,21,-0.0691082656904554,0.0032649836750816247,0.08162459187704062,False,False
two_wheeler,representative_frame,dual,21,-0.051372739781015454,0.011279943600281998,0.0822853028592,False,False
two_wheeler,joint_image_caption,multi_frame,21,-0.06238884945666384,0.06919465402672986,0.2012767713939208,False,False
two_wheeler,joint_image_caption,dual,21,-0.0446533235472239,0.21369893150534247,0.44599777001114993,False,False
two_wheeler,multi_frame,dual,21,0.017735525909439942,0.5646271768641157,0.7858849594640916,False,False
