model_id,strategy_label,queries,latency_mean_ms,latency_p50_ms,latency_p95_ms
bge-m3,B0 Metadata,244,0.0567740825630846,0.0300591345876455,0.1391776604577899
bge-m3,B1 BM25,244,131.10348251342896,129.23289719037712,145.3539066016674
bge-m3,B2 Vector,244,118.29540422224424,117.45168687775733,122.35227334313096
bge-m3,B3 Postfilter,244,4.876636310297324,4.8481367994099855,5.049803061410785
bge-m3,B4 Prefilter,244,49.44230524105493,22.914691362529997,138.09716335963458
bge-m3,B5 Hybrid,244,179.29973427519263,159.9660615902394,263.6774093378335
e5-large-v2,B0 Metadata,244,0.056669843138852,0.0306181609630584,0.1401185756549239
e5-large-v2,B1 BM25,244,131.55409066411133,129.6433995012194,148.86320556979626
e5-large-v2,B2 Vector,244,119.6051547990837,118.9082618802786,125.65519786439836
e5-large-v2,B3 Postfilter,244,5.030859149152749,4.969693953171372,5.38550023920834
e5-large-v2,B4 Prefilter,244,48.246625423446666,22.416377440094948,135.0898023229092
e5-large-v2,B5 Hybrid,244,178.9702426291025,161.32310219109058,258.912117802538
