model_id,strategy_label,recall_at_10,recall_at_20,mrr,ndcg_at_10,latency_mean_ms,latency_p95_ms
bge-m3,B0 Metadata,0.2140896916393171,0.2879070328634486,0.2424339803089232,0.2102214185712671,0.0567740825630846,0.1391776604577899
bge-m3,B1 BM25,0.3997785965363053,0.5434320018877483,0.4791430599867682,0.4494697693975366,131.10348251342896,145.3539066016674
bge-m3,B2 Vector,0.3852615673635848,0.5230308596746632,0.4888283835304005,0.447586190146701,118.29540422224424,122.35227334313096
bge-m3,B3 Postfilter,0.7342735908115147,0.8216697741975615,0.9590314209548114,0.9488438674622656,4.876636310297324,5.049803061410785
bge-m3,B4 Prefilter,0.7629302392632452,0.8590562487203065,0.9672281422662868,0.9736068807212784,49.44230524105493,138.09716335963458
bge-m3,B5 Hybrid,0.7568145108622887,0.8604987074845565,0.9726429660289352,0.965142837669185,179.29973427519263,263.6774093378335
e5-large-v2,B0 Metadata,0.2140896916393171,0.2879070328634486,0.2424339803089232,0.2102214185712671,0.056669843138852,0.1401185756549239
e5-large-v2,B1 BM25,0.3997785965363053,0.5434320018877483,0.4791430599867682,0.4494697693975366,131.55409066411133,148.86320556979626
e5-large-v2,B2 Vector,0.3338806458837556,0.4875917401926368,0.359558354140839,0.3481576212071653,119.6051547990837,125.65519786439836
e5-large-v2,B3 Postfilter,0.6665539078153503,0.7673234751160504,0.7799168377281407,0.7910869639606107,5.030859149152749,5.38550023920834
e5-large-v2,B4 Prefilter,0.7141654742998677,0.8258902463302981,0.8008355535751353,0.8311217599641559,48.246625423446666,135.0898023229092
e5-large-v2,B5 Hybrid,0.7390498898453701,0.8481840133414136,0.92703068345981,0.9229371854083032,178.9702426291025,258.912117802538
