discordance,ICC,delta,obs_per_cluster,power,DEFF,n_pairs,n_clusters_needed
0.4,0.3,0.03,2,0.9,1.3,6005,3903
0.4,0.3,0.03,4,0.8,1.9,4653,2211
0.4,0.3,0.03,4,0.9,1.9,6005,2853
0.4,0.3,0.03,6,0.8,2.5,4653,1939
0.4,0.3,0.03,6,0.9,2.5,6005,2502
0.4,0.3,0.05,2,0.8,1.3,1676,1089
0.4,0.3,0.05,2,0.9,1.3,2162,1405
0.4,0.3,0.05,4,0.8,1.9,1676,796
0.4,0.3,0.05,4,0.9,1.9,2162,1027
0.4,0.3,0.05,6,0.8,2.5,1676,698
0.4,0.3,0.05,6,0.9,2.5,2162,901
0.4,0.3,0.08,2,0.8,1.3,655,426
0.4,0.3,0.08,2,0.9,1.3,845,549
0.4,0.3,0.08,4,0.8,1.9,655,311
0.4,0.3,0.08,4,0.9,1.9,845,402
0.4,0.3,0.08,6,0.8,2.5,655,273
0.4,0.3,0.08,6,0.9,2.5,845,352
0.4,0.3,0.1,2,0.8,1.3,419,273
0.4,0.3,0.1,2,0.9,1.3,541,352
0.4,0.3,0.1,4,0.8,1.9,419,199
0.4,0.3,0.1,4,0.9,1.9,541,257
0.4,0.3,0.1,6,0.8,2.5,419,175
0.4,0.3,0.1,6,0.9,2.5,541,226
